stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,CYLBURN AVE & GREENSPRING AVE fs wb,,39.350945,-76.660393,,,,,,0
3,3,LANIER AVE & SINAI HOSPITAL sb,,39.351545,-76.663359,,,,,,0
4,4,LANIER AVE & BELVEDERE AVE nb,,39.352749,-76.664492,,,,,,0
8,8,YELLOWOOD AVE & FLAX TERR OPP sb,,39.346756,-76.658233,,,,,,0
10,10,TAMARIND RD & SPRINGARDEN DR nb,,39.348262,-76.654797,,,,,,0
11,11,GREENSPRING AVE & OAKLEY AVE fs sb,,39.348887,-76.659363,,,,,,0
12,12,GREENSPRING AVE & WOODLAND AVE fs sb,,39.346150,-76.659645,,,,,,0
15,15,GREENSPRING AVE & DUPONT AVE sb,,39.344454,-76.659011,,,,,,0
16,16,GREENSPRING AVE & COLD SPRING LN fs sb,,39.340440,-76.658224,,,,,,0
17,17,GREENSPRING AVE & LOYOLA SOUTHWAY sb,,39.338993,-76.657787,,,,,,0
18,18,GREENSPRING AVE & OSWEGO AVE sb,,39.337873,-76.656678,,,,,,0
19,19,GREENSPRING AVE & SHIRLEY AVE fs sb,,39.336248,-76.656389,,,,,,0
21,21,GREENSPRING AVE & DRUID PARK DR sb,,39.330559,-76.654241,,,,,,0
22,22,DRUID PARK DR & HILLDALE PL wb,,39.328889,-76.655886,,,,,,0
23,23,REISTERSTOWN RD & DRUID PARK DR fs sb,,39.324981,-76.657527,,,,,,0
24,24,REISTERSTOWN RD & WICHITA AVE sb,,39.322682,-76.655801,,,,,,0
25,25,REISTERSTOWN RD & OCALA AVE mb sb,,39.321251,-76.654724,,,,,,0
27,27,MONDAWMIN STATION ,,39.317969,-76.652923,,,,,,0
31,31,REISTERSTOWN RD & ELGIN AVE sb,,39.314786,-76.648330,,,,,,0
32,32,REISTERSTOWN RD & WINDSOR AVE sb ,,39.313782,-76.647158,,,,,,0
35,35,FULTON AVE & CLIFTON AVE sb,,39.312102,-76.646698,,,,,,0
36,36,FULTON AVE & NORTH AVE sb,,39.310126,-76.646581,,,,,,0
37,37,FULTON & PRESBURY sb,,39.308182,-76.646467,,,,,,0
38,38,FULTON AVE & BAKER ST sb,,39.306984,-76.646394,,,,,,0
48,48,CALHOUN & LANVALE sb,,39.297819,-76.640060,,,,,,0
50,50,CALHOUN & HARLEM sb,,39.296686,-76.639940,,,,,,0
51,51,CALHOUN & FRANKLIN sb,,39.294392,-76.639950,,,,,,0
52,52,CALHOUN & SARATOGA sb,,39.292266,-76.640000,,,,,,0
54,54,CALHOUN ST & FAYETTE ST sb,,39.289748,-76.639573,,,,,,0
55,55,BALTIMORE ST & CAREY ST wb,,39.288637,-76.637886,,,,,,0
56,56,BALTIMORE ST & ARLINGTON AVE eb,,39.288614,-76.635548,,,,,,0
58,58,BALTIMORE ST & POPPLETON ST eb,,39.288756,-76.632517,,,,,,0
59,59,BALTIMORE ST & MLK BLVD eb,,39.288950,-76.628363,,,,,,0
62,62,BALTIMORE ST & PACA ST eb,,39.289199,-76.622481,,,,,,0
66,66,BALTIMORE ST & CHARLES ST eb,,39.289415,-76.615426,,,,,,0
67,67,BALTIMORE ST & LIGHT ST mb eb,,39.289464,-76.614567,,,,,,0
68,68,LIGHT ST & REDWOOD ST sb,,39.288717,-76.613857,,,,,,0
70,70,LIGHT ST between LOMBARD ST & PRATT ST mb sb,,39.286755,-76.613687,,,,,,0
74,74,CHARLES ST & HILL sb ,,39.281157,-76.614771,,,,,,0
75,75,HANOVER & HENRIETTA sb,,39.279015,-76.615764,,,,,,0
77,77,HANOVER ST & CROSS ST sb,,39.276832,-76.615602,,,,,,0
79,79,HANOVER & OSTENDsb,,39.274806,-76.615482,,,,,,0
80,80,HANOVER & CLEMENT sb,,39.273758,-76.615407,,,,,,0
81,81,FORT AVE & CHARLES ST fs eb ,,39.272577,-76.613885,,,,,,0
82,82,FORT AVE & LIGHT ST eb,,39.272634,-76.611869,,,,,,0
84,84,FORT AVE & RIVERSIDE AVE eb,,39.272771,-76.608436,,,,,,0
86,86,FORT AVE & JACKSON ST eb,,39.272904,-76.605228,,,,,,0
89,89,FORT AVE & LAWRENCE ST eb,,39.271740,-76.601826,,,,,,0
91,91,FORT AVE & WOODALL ST eb,,39.270646,-76.598696,,,,,,0
93,93,FORT AVE & DECATUR ST eb,,39.269180,-76.594489,,,,,,0
95,95,FORT AVE & ANDRE ST eb,,39.268046,-76.591246,,,,,,0
97,97,FORT MCHENRY ,,39.265927,-76.584132,,,,,,0
99,99,FORT AVE & ANDRE ST wb,,39.268074,-76.590926,,,,,,0
102,102,FORT AVE & DECATUR ST wb,,39.269407,-76.594804,,,,,,0
104,104,FORT AVE & WOODALL ST wb,,39.270820,-76.598674,,,,,,0
105,105,FORT AVE & LAWRENCE ST wb,,39.271665,-76.601123,,,,,,0
108,108,FORT AVE & JACKSON ST wb,,39.273051,-76.605022,,,,,,0
110,110,FORT AVE & RIVERSIDE AVE wb,,39.272943,-76.608225,,,,,,0
112,112,FORT AVE & LIGHT ST wb,,39.272799,-76.611479,,,,,,0
113,113,FORT AVE & CHARLES ST wb,,39.272710,-76.613936,,,,,,0
114,114,CHARLES ST & OSTEND ST nb,,39.274650,-76.614134,,,,,,0
116,116,CHARLES ST & CROSS ST nb,,39.276677,-76.614251,,,,,,0
117,117,CHARLES ST & HENRIETTA ST nb,,39.278852,-76.614394,,,,,,0
119,119,CHARLES ST & LEE ST nb,,39.281921,-76.614640,,,,,,0
120,120,CHARLES ST & CONWAY ST nb,,39.284007,-76.614593,,,,,,0
121,121,CHARLES ST & PRATT ST nb,,39.286336,-76.614796,,,,,,0
122,122,CHARLES ST & LOMBARD ST nb,,39.287551,-76.614881,,,,,,0
125,125,FAYETTE ST & HOWARD ST wb,,39.290545,-76.619247,,,,,,0
126,126,FAYETTE ST & EUTAW ST wb,,39.290479,-76.620764,,,,,,0
127,127,FAYETTE ST & PACA ST wb,,39.290460,-76.622005,,,,,,0
128,128,FAYETTE ST & GREENE ST fs wb,,39.290320,-76.624263,,,,,,0
130,130,FAYETTE ST & FREMONT AVE wb,,39.290135,-76.629160,,,,,,0
131,131,FAYETTE ST & POPPLETON ST wb,,39.290031,-76.631905,,,,,,0
132,132,FAYETTE ST & SCHROEDER ST wb,,39.289976,-76.633462,,,,,,0
136,136,CAREY & MULBERRY nb,,39.293181,-76.638245,,,,,,0
137,137,CAREY ST & FRANKLIN ST nb,,39.294051,-76.638340,,,,,,0
138,138,CAREY ST & EDMONDSON AVE nb,,39.295252,-76.638429,,,,,,0
140,140,CAREY ST & LANVALE ST nb,,39.297576,-76.638559,,,,,,0
141,141,CAREY ST & LAFAYETTE AVE nb,,39.298759,-76.638624,,,,,,0
145,145,RIGGS & GILMOR wb,,39.301070,-76.642939,,,,,,0
151,151,FULTON AVE & BAKER ST nb,,39.306352,-76.646083,,,,,,0
152,152,FULTON & PRESBURY nb,,39.307833,-76.646170,,,,,,0
153,153,FULTON AVE & NORTH AVE nb,,39.309556,-76.646267,,,,,,0
154,154,FULTON AVE & CLIFTON AVE nb,,39.311792,-76.646395,,,,,,0
156,156,REISTERSTOWN RD & RUSKIN AVE nb,,39.314763,-76.647968,,,,,,0
159,159,GWYNNS FALLS PKWY & REISTERSTOWN RD fs wb,,39.316447,-76.651199,,,,,,0
160,160,GWYNNS FALLS PKWY & PULASKI ST fs wb,,39.315790,-76.652489,,,,,,0
161,161,GWYNNS FALLS PKWY & WARWICK AVE fs wb,,39.316088,-76.656887,,,,,,0
163,163,TIOGA PKWY & FOREST PARK AVE eb,,39.318462,-76.657625,,,,,,0
164,164,REISTERSTOWN RD & LIBERTY HEIGHTS AVE nb,,39.318227,-76.652247,,,,,,0
165,165,REISTERSTOWN RD & OCALA AVE nb,,39.320853,-76.654064,,,,,,0
167,167,REISTERSTOWN RD & CHOWAN AVE opp nb,,39.323398,-76.655952,,,,,,0
168,168,REISTERSTOWN RD & DRUID PARK DR nb,,39.325295,-76.657350,,,,,,0
170,170,GREENSPRING AVE & PARK HILL AVE nb,,39.331227,-76.654431,,,,,,0
172,172,GREENSPRING AVE & FOXWELL APARTMENTS nb,,39.333015,-76.655611,,,,,,0
175,175,GREENSPRING AVE & SHIRLEY AVE nb,,39.336503,-76.656249,,,,,,0
177,177,GREENSPRING AVE & COLD SPRING LN nb,,39.340705,-76.658031,,,,,,0
