trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
2496184,04:50:00,04:50:00,11943,0,,,,0,1
2496184,05:00:00,05:00:00,11946,1,,,,11.17,1
2496184,05:08:00,05:08:00,11947,2,,,,22.65,1
2496184,05:11:00,05:11:00,11948,3,,,,26.53,1
2496184,05:16:00,05:16:00,11949,4,,,,33.29,1
2496184,05:23:00,05:23:00,11950,5,,,,37.3,1
2496184,05:28:00,05:28:00,11951,6,,,,41.9,1
2496184,05:34:00,05:34:00,11952,7,,,,44.99,1
2496184,05:36:00,05:36:00,11953,8,,,,46.7,1
2496184,05:45:00,05:45:00,11954,9,,,,52.85,1
2496184,05:52:00,05:52:00,11956,10,,,,62.05,1
2496184,06:03:00,06:03:00,11957,11,,,,67.3,1
2496184,06:23:00,06:23:00,11958,12,,,,78.84,1
2496185,05:00:00,05:00:00,11944,0,,,,0,1
2496185,05:06:00,05:06:00,11945,1,,,,3.9,1
2496185,05:32:00,05:32:00,11947,2,,,,33.79,1
2496185,05:38:00,05:38:00,11949,3,,,,44.42,1
2496185,05:45:00,05:45:00,11950,4,,,,48.44,1
2496185,05:50:00,05:50:00,11951,5,,,,53.04,1
2496185,05:55:00,05:55:00,11952,6,,,,56.13,1
2496185,06:03:00,06:03:00,11954,7,,,,63.99,1
2496185,06:08:00,06:08:00,11955,8,,,,70.92,1
2496185,06:20:00,06:20:00,11957,9,,,,78.44,1
2496185,06:40:00,06:40:00,11958,10,,,,89.98,1
2496186,05:00:00,05:00:00,11940,0,,,,0,1
2496186,05:16:00,05:16:00,11941,1,,,,19.43,1
2496186,05:25:00,05:25:00,11942,2,,,,29.47,1
2496186,05:40:00,05:40:00,11943,3,,,,39.21,1
2496186,05:50:00,05:50:00,11946,4,,,,50.37,1
2496186,06:01:00,06:01:00,11948,5,,,,65.72,1
2496186,06:11:00,06:11:00,11950,6,,,,76.5,1
2496186,06:17:00,06:17:00,11951,7,,,,81.1,1
2496186,06:23:00,06:23:00,11952,8,,,,84.19,1
2496186,06:25:00,06:25:00,11953,9,,,,85.9,1
2496186,06:32:00,06:32:00,11954,10,,,,92.04,1
2496186,06:39:00,06:39:00,11956,11,,,,101.24,1
2496186,06:49:00,06:49:00,11957,12,,,,106.5,1
2496186,07:09:00,07:09:00,11958,13,,,,118.04,1
2496187,05:25:00,05:25:00,11940,0,,,,0,1
2496187,05:41:00,05:41:00,11941,1,,,,19.43,1
2496187,05:50:00,05:50:00,11942,2,,,,29.47,1
2496187,06:05:00,06:05:00,11943,3,,,,39.21,1
2496187,06:15:00,06:15:00,11946,4,,,,50.37,1
2496187,06:25:00,06:25:00,11948,5,,,,65.72,1
2496187,06:35:00,06:35:00,11950,6,,,,76.5,1
2496187,06:41:00,06:41:00,11951,7,,,,81.1,1
2496187,06:47:00,06:47:00,11952,8,,,,84.19,1
2496187,06:55:00,06:55:00,11954,9,,,,92.04,1
2496187,07:02:00,07:02:00,11956,10,,,,101.24,1
2496187,07:13:00,07:13:00,11957,11,,,,106.5,1
2496187,07:35:00,07:35:00,11958,12,,,,118.04,1
2496188,06:05:00,06:05:00,11944,0,,,,0,1
2496188,06:11:00,06:11:00,11945,1,,,,3.9,1
2496188,06:37:00,06:37:00,11947,2,,,,33.79,1
2496188,06:43:00,06:43:00,11949,3,,,,44.42,1
2496188,06:54:00,06:54:00,11950,4,,,,48.44,1
2496188,07:00:00,07:00:00,11951,5,,,,53.04,1
2496188,07:06:00,07:06:00,11952,6,,,,56.13,1
2496188,07:17:00,07:17:00,11954,7,,,,63.99,1
2496188,07:22:00,07:22:00,11955,8,,,,70.92,1
2496188,07:27:00,07:27:00,11956,9,,,,73.19,1
2496188,07:35:00,07:35:00,11957,10,,,,78.44,1
2496188,07:56:00,07:56:00,11958,11,,,,89.98,1
2496189,07:45:00,07:45:00,11943,0,,,,0,1
2496189,07:55:00,07:55:00,11946,1,,,,11.17,1
2496189,08:02:00,08:02:00,11947,2,,,,22.65,1
2496189,08:08:00,08:08:00,11948,3,,,,26.53,1
2496189,08:13:00,08:13:00,11949,4,,,,33.29,1
2496189,08:19:00,08:19:00,11950,5,,,,37.3,1
2496189,08:24:00,08:24:00,11951,6,,,,41.9,1
