trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2496192,11704,101,UNION STATION,Train 878,0,390459,116477,1,0
2496186,11704,101,UNION STATION,Train 872,0,390465,116480,1,0
2496187,11704,101,UNION STATION,Train 874,0,390464,116479,1,0
2496189,11704,101,UNION STATION,Train 880,0,390462,116476,1,0
2496184,11704,101,UNION STATION,Train 870,0,390467,116481,1,0
2496190,11704,101,UNION STATION,Train 876,0,390461,116478,1,0
2496191,11704,101,UNION STATION,Train 894,0,390460,116473,1,0
2496185,11704,101,UNION STATION,Train 890,0,390466,116475,1,0
2496188,11704,101,UNION STATION,Train 892,0,390463,116474,1,0
2496193,11704,101,MARTINSBURG,Train 881,1,390476,116486,1,0
2496200,11704,101,FREDERICK,Train 895,1,390469,116482,1,0
2496196,11704,101,FREDERICK,Train 891,1,390473,116484,1,0
2496198,11704,101,FREDERICK,Train 893,1,390471,116483,1,0
2496302,11706,101,BALTIMORE CAMDEN,Train 860,1,390578,116595,1,0
2496310,11706,101,BALTIMORE CAMDEN,Train 842,1,390566,116595,1,0
2496311,11706,101,BALTIMORE CAMDEN,Train 840,1,390565,116595,1,0
2496308,11706,101,BALTIMORE CAMDEN,Train 846,1,390574,116593,1,0
2496309,11706,101,BALTIMORE CAMDEN,Train 844,1,390567,116593,1,0
2496303,11706,101,BALTIMORE CAMDEN,Train 856,1,390577,116588,1,0
2496306,11706,101,BALTIMORE CAMDEN,Train 850,1,390576,116588,1,0
2496291,11706,101,WASHINGTON UNION STATION,Train 855,0,390573,116580,1,0
2496307,11706,101,BALTIMORE CAMDEN,Train 848,1,390575,116592,1,0
2496304,11706,101,BALTIMORE CAMDEN,Train 854,1,390570,116589,1,0
2496301,11706,101,BALTIMORE CAMDEN,Train 858,1,390572,116598,1,0
2496305,11706,101,BALTIMORE CAMDEN,Train 852,1,390571,116598,1,0
2496298,11706,101,WASHINGTON UNION STATION,Train 845,0,390567,116585,1,0
2496294,11706,101,WASHINGTON UNION STATION,Train 853,0,390570,116581,1,0
2496296,11706,101,WASHINGTON UNION STATION,Train 849,0,390569,116583,1,0
2496299,11706,101,WASHINGTON UNION STATION,Train 843,0,390566,116586,1,0
2496297,11706,101,WASHINGTON UNION STATION,Train 847,0,390568,116584,1,0
2496295,11706,101,WASHINGTON UNION STATION,Train 851,0,390565,116582,1,0
2496300,11706,101,WASHINGTON UNION STATION,Train 841,0,390565,116582,1,0
2496292,11706,101,WASHINGTON UNION STATION,Train 857,0,390572,116579,1,0
2496293,11706,101,WASHINGTON UNION STATION,Train 859,0,390571,116579,1,0
2496197,11704,101,BRUNSWICK,Train 877,1,390472,116488,1,0
2496202,11704,104,BRUNSWICK,Train 871,1,0,116488,1,0
2496195,11704,101,MARTINSBURG,Train 873,1,390474,116489,1,0
2496199,11704,101,MARTINSBURG,Train 875,1,390470,116489,1,0
2496194,11704,101,MARTINSBURG,Train 879,1,390475,116485,1,0
2496201,11704,101,MARTINSBURG,Train 883,1,390468,116485,1,0
2566888,11705,101,BALTIMORE,Train 613,0,401833,116492,1,1
2566916,11705,101,WASHINGTON,Train 641,0,401861,116498,1,0
2566895,11705,101,WASHINGTON,Train 511,0,401840,116503,1,1
2566897,11705,101,WASHINGTON,Train 517,0,401842,116502,1,1
2566893,11705,101,WASHINGTON,Train 505,0,401838,116504,1,1
2566889,11705,101,WASHINGTON,Train 525,0,401834,116525,1,1
2566914,11705,101,BALTIMORE,Train 579,0,401859,116499,1,1
2566906,11705,101,WASHINGTON EXPRESS,Train 537,0,401851,116500,1,0
2566938,11705,101,MARTIN AIRPORT,Train 612,1,401883,116541,1,0
2566945,11705,101,MARTIN AIRPORT,Train 642,1,401890,116541,1,1
2566920,11705,101,BALTIMORE EXPRESS,Train 408,1,401865,116574,1,1
2566918,11705,101,BALTIMORE EXPRESS,Train 404,1,401863,116576,1,1
2566929,11705,101,BALTIMORE EXPRESS,Train 430,1,401874,116565,1,0
2566943,11705,101,BALTIMORE,Train 438,1,401888,116564,1,1
2566937,11705,105,BALTIMORE EXPRESS,Train 428,1,401882,116566,1,1
2566941,11705,101,BALTIMORE,Train 412,1,401886,116573,1,0
2566942,11705,101,PERRYVILLE,Train 536,1,401887,116546,1,1
2566931,11705,101,MARTIN AIRPORT,Train 634,1,401876,116540,1,1
2566919,11705,101,PERRYVILLE,Train 502,1,401864,116549,1,0
2566917,11705,101,BALTIMORE,Train 400,1,401862,116571,1,1
2566922,11705,101,BALTIMORE,Train 414,1,401867,116571,1,0
2566923,11705,101,BALTIMORE,Train 416,1,401868,116571,1,0
2566924,11705,101,BALTIMORE,Train 418,1,401869,116571,1,0
2566926,11705,101,BALTIMORE,Train 422,1,401871,116571,1,0
2566927,11705,101,BALTIMORE,Train 424,1,401872,116571,1,1
2566928,11705,101,BALTIMORE,Train 426,1,401873,116571,1,1
2566933,11705,101,BALTIMORE,Train 446,1,401878,116571,1,1
2566934,11705,101,BALTIMORE,Train 448,1,401879,116571,1,1
2566935,11705,101,BALTIMORE,Train 452,1,401880,116571,1,1
2566939,11705,101,BALTIMORE,Train 410,1,401884,116571,1,0
2566944,11705,101,BALTIMORE,Train 440,1,401889,116571,1,1
2566921,11705,101,MARTIN AIRPORT,Train 610,1,401866,116542,1,0
2566930,11705,101,PERRYVILLE,Train 532,1,401875,116547,1,1
2566925,11705,101,PERRYVILLE,Train 520,1,401870,116544,1,0
2566932,11705,101,PERRYVILLE,Train 544,1,401877,116544,1,1
2566936,11705,101,PERRYVILLE,Train 548,1,401881,116544,1,1
2566940,11705,101,PERRYVILLE,Train 554,1,401885,116543,1,1
2566908,11705,101,WASHINGTON,Train 447,0,401853,116516,1,0
2566900,11705,101,WASHINGTON,Train 421,0,401845,116515,1,1
2566910,11705,101,WASHINGTON,Train 449,0,401855,116515,1,1
2566911,11705,101,WASHINGTON,Train 451,0,401856,116515,1,1
2566915,11705,105,WASHINGTON EXPRESS,Train 445,0,401860,116517,1,1
2566894,11705,101,WASHINGTON,Train 409,0,401839,116530,1,1
2566907,11705,101,WASHINGTON,Train 443,0,401852,116518,1,1
2566904,11705,101,WASHINGTON,Train 433,0,401849,116509,1,0
2566890,11705,101,WASHINGTON,Train 423,0,401835,116513,1,0
2566891,11705,101,WASHINGTON,Train 401,0,401836,116513,1,1
2566892,11705,101,WASHINGTON,Train 407,0,401837,116513,1,1
2566896,11705,101,WASHINGTON,Train 413,0,401841,116513,1,1
2566898,11705,101,WASHINGTON,Train 415,0,401843,116513,1,1
2566899,11705,101,WASHINGTON,Train 419,0,401844,116513,1,1
2566901,11705,101,WASHINGTON,Train 427,0,401846,116513,1,0
2566902,11705,101,WASHINGTON,Train 429,0,401847,116513,1,0
2566903,11705,101,WASHINGTON,Train 431,0,401848,116513,1,0
2566905,11705,101,WASHINGTON,Train 435,0,401850,116513,1,0
2566909,11705,101,WASHINGTON,Train 453,0,401854,116513,1,1
2566912,11705,101,WASHINGTON,Train 439,0,401857,116513,1,1
2566913,11705,101,WASHINGTON,Train 403,0,401858,116513,1,1
