trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
2560600,14:10:00,14:10:00,7627,1,,,,
2560600,14:13:00,14:13:00,7628,2,,,,1.5147
2560600,14:18:00,14:18:00,7630,3,,,,4.2968
2560600,14:21:00,14:21:00,7631,4,,,,5.8915
2560600,14:23:00,14:23:00,7632,5,,,,6.8553
2560600,14:25:00,14:25:00,7634,6,,,,8.3539
2560600,14:27:00,14:27:00,7635,7,,,,9.2603
2560600,14:29:00,14:29:00,7637,8,,,,10.9735
2560600,14:31:00,14:31:00,7638,9,,,,11.7175
2560600,14:34:00,14:34:00,7639,10,,,,13.8386
2560600,14:36:00,14:36:00,7640,11,,,,14.2543
2560600,14:38:00,14:38:00,7641,12,,,,14.7242
2560600,14:40:31,14:40:31,7642,13,,,,15.0457
2560600,14:43:00,14:43:00,7643,14,,,,15.3591
2560600,14:46:00,14:46:00,7644,15,,,,15.8621
2560600,14:49:00,14:49:00,7645,16,,,,16.5884
2560600,14:51:00,14:51:00,7646,17,,,,17.0796
2560600,14:53:00,14:53:00,7648,18,,,,17.6471
2560600,14:54:00,14:54:00,7649,19,,,,17.7557
2560600,14:57:00,14:57:00,7650,20,,,,20.6136
2560600,14:59:00,14:59:00,7651,21,,,,22.1983
2560600,15:03:00,15:03:00,7652,22,,,,24.9539
2560600,15:04:00,15:04:00,7654,23,,,,25.9561
2560600,15:11:00,15:11:00,7655,24,,,,32.9717
2560600,15:13:00,15:13:00,7656,25,,,,33.4882
2560600,15:15:00,15:15:00,7657,26,,,,35.2018
2560600,15:20:00,15:20:00,7658,27,,,,39.0174
2560600,15:23:00,15:23:00,7659,28,,,,40.3107
2560600,15:25:00,15:25:00,7660,29,,,,41.4543
2560600,15:28:00,15:28:00,7661,30,,,,42.0097
2560600,15:30:00,15:30:00,7662,31,,,,42.6014
2560601,13:40:00,13:40:00,7627,1,,,,
2560601,13:43:00,13:43:00,7628,2,,,,1.5147
2560601,13:48:00,13:48:00,7630,3,,,,4.2968
2560601,13:51:00,13:51:00,7631,4,,,,5.8915
2560601,13:53:00,13:53:00,7632,5,,,,6.8553
2560601,13:55:00,13:55:00,7634,6,,,,8.3539
2560601,13:57:00,13:57:00,7635,7,,,,9.2603
2560601,13:59:00,13:59:00,7637,8,,,,10.9735
2560601,14:01:00,14:01:00,7638,9,,,,11.7175
2560601,14:04:00,14:04:00,7639,10,,,,13.8386
2560601,14:06:00,14:06:00,7640,11,,,,14.2543
2560601,14:08:00,14:08:00,7641,12,,,,14.7242
2560601,14:10:31,14:10:31,7642,13,,,,15.0457
2560601,14:13:00,14:13:00,7643,14,,,,15.3591
2560601,14:16:00,14:16:00,7644,15,,,,15.8621
2560601,14:19:00,14:19:00,7645,16,,,,16.5884
2560601,14:21:00,14:21:00,7646,17,,,,17.0796
2560601,14:23:00,14:23:00,7648,18,,,,17.6471
2560601,14:24:00,14:24:00,7649,19,,,,17.7557
2560601,14:27:00,14:27:00,7650,20,,,,20.6136
2560601,14:29:00,14:29:00,7651,21,,,,22.1983
2560601,14:33:00,14:33:00,7652,22,,,,24.9539
2560601,14:34:00,14:34:00,7654,23,,,,25.9561
2560601,14:41:00,14:41:00,7655,24,,,,32.9717
2560601,14:43:00,14:43:00,7656,25,,,,33.4882
2560601,14:45:00,14:45:00,7657,26,,,,35.2018
2560601,14:50:00,14:50:00,7658,27,,,,39.0174
2560601,14:53:00,14:53:00,7659,28,,,,40.3107
2560601,14:55:00,14:55:00,7660,29,,,,41.4543
2560601,14:58:00,14:58:00,7661,30,,,,42.0097
2560601,15:00:00,15:00:00,7662,31,,,,42.6014
2560602,13:10:00,13:10:00,7627,1,,,,
2560602,13:13:00,13:13:00,7628,2,,,,1.5147
2560602,13:18:00,13:18:00,7630,3,,,,4.2968
2560602,13:21:00,13:21:00,7631,4,,,,5.8915
2560602,13:23:00,13:23:00,7632,5,,,,6.8553
2560602,13:25:00,13:25:00,7634,6,,,,8.3539
2560602,13:27:00,13:27:00,7635,7,,,,9.2603
2560602,13:29:00,13:29:00,7637,8,,,,10.9735
2560602,13:31:00,13:31:00,7638,9,,,,11.7175
2560602,13:34:00,13:34:00,7639,10,,,,13.8386
2560602,13:36:00,13:36:00,7640,11,,,,14.2543
2560602,13:38:00,13:38:00,7641,12,,,,14.7242
2560602,13:40:31,13:40:31,7642,13,,,,15.0457
2560602,13:43:00,13:43:00,7643,14,,,,15.3591
2560602,13:46:00,13:46:00,7644,15,,,,15.8621
2560602,13:49:00,13:49:00,7645,16,,,,16.5884
2560602,13:51:00,13:51:00,7646,17,,,,17.0796
2560602,13:53:00,13:53:00,7648,18,,,,17.6471
2560602,13:54:00,13:54:00,7649,19,,,,17.7557
2560602,13:57:00,13:57:00,7650,20,,,,20.6136
2560602,13:59:00,13:59:00,7651,21,,,,22.1983
2560602,14:03:00,14:03:00,7652,22,,,,24.9539
2560602,14:04:00,14:04:00,7654,23,,,,25.9561
2560602,14:11:00,14:11:00,7655,24,,,,32.9717
2560602,14:13:00,14:13:00,7656,25,,,,33.4882
2560602,14:15:00,14:15:00,7657,26,,,,35.2018
2560602,14:20:00,14:20:00,7658,27,,,,39.0174
2560602,14:23:00,14:23:00,7659,28,,,,40.3107
2560602,14:25:00,14:25:00,7660,29,,,,41.4543
2560602,14:28:00,14:28:00,7661,30,,,,42.0097
2560602,14:30:00,14:30:00,7662,31,,,,42.6014
2560603,12:40:00,12:40:00,7627,1,,,,
2560603,12:43:00,12:43:00,7628,2,,,,1.5147
