stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7625,7625,GLEN BURNIE LIGHT RAIL STATION nb,,39.172438,-76.633247,,,,,,0
7626,7626,FERNDALE LIGHT RAIL nb,,39.183717,-76.640218,,,,,,0
7627,7627,BWI AIRPORT LIGHT RAIL nb,,39.182863,-76.669843,,,,,,0
7628,7628,BWI BUSINESS PARK STATION,,39.191527,-76.673208,,,,,,0
7630,7630,LINTHICUM LIGHT RAIL nb,,39.202261,-76.655047,,,,,,0
7631,7631,NORTH LINTHICUM LIGHT RAIL nb,,39.214383,-76.646107,,,,,,0
7632,7632,NURSERY RD LIGHT RAIL STATION nb ,,39.222291,-76.640943,,,,,,0
7634,7634,BALTIMORE HIGHLANDS LIGHT RAIL nb,,39.235138,-76.632872,,,,,,0
7635,7635,PATAPSCO LIGHT RAIL STATION nb,,39.242013,-76.629838,,,,,,0
7637,7637,CHERRY HILL LIGHT RAIL STATION nb,,39.256034,-76.634892,,,,,,0
7638,7638,WESTPORT LIGHT RAIL STATION nb,,39.262119,-76.631971,,,,,,0
7639,7639,STADIUM/FEDERAL HILL LIGHT RAIL STATION nb,,39.279123,-76.619869,,,,,,0
7640,7640,CAMDEN STATION LIGHT RAIL STATION,,39.283299,-76.619402,,,,,,0
7641,7641,PRATT ST LIGHT RAIL STATION nb,,39.285750,-76.619426,,,,,,0
7642,7642,BALTIMORE ST LIGHT RAIL STATION nb,,39.288866,-76.619433,,,,,,0
7643,7643,LEXINGTON ST LIGHT RAIL STATION nb,,39.292209,-76.619634,,,,,,0
7644,7644,MT VERNON LIGHT RAIL STATION nb,,39.296796,-76.619940,,,,,,0
7645,7645,CULTURAL CENTER LIGHT RAIL STATION nb,,39.303599,-76.620492,,,,,,0
7646,7646,MT ROYAL/MICA LIGHT RAIL STATION nb,,39.307641,-76.620003,,,,,,0
7647,7647,PENN STATION LIGHT RAIL,,39.307791,-76.616141,,,,,,0
7648,7648,NORTH AVE LIGHT RAIL STATION nb ,,39.311472,-76.622241,,,,,,0
7649,7649,RELIEF PT & DIVISION,,39.312388,-76.622754,,,,,,0
7650,7650,WOODBERRY LIGHT RAIL STATIONnb,,39.331312,-76.643251,,,,,,0
7651,7651,COLDSPRING LIGHT RAIL STATION nb,,39.344154,-76.647801,,,,,,0
7652,7652,MT WASHINGTON LIGHT RAIL STATION nb,,39.367908,-76.651504,,,,,,0
7654,7654,FALLS RD LIGHT RAIL STATION nb,,39.376617,-76.649583,,,,,,0
7655,7655,LUTHERVILLE LIGHT RAIL STATION nb,,39.429489,-76.627229,,,,,,0
7656,7656,TIMONIUM LIGHT RAIL STATION nb,,39.434124,-76.628174,,,,,,0
7657,7657,FAIRGROUNDS LIGHT RAIL STATION nb ,,39.448592,-76.634893,,,,,,0
7658,7658,WARREN RD LIGHT RAIL STATION nb,,39.475893,-76.653760,,,,,,0
7659,7659,GILROY RD LIGHT RAILnb,,39.482158,-76.661714,,,,,,0
7660,7660,McCORMICK RD LIGHT RAIL nb,,39.489575,-76.658954,,,,,,0
7661,7661,PEPPER RD LIGHT RAIL STATION nb,,39.492111,-76.656398,,,,,,0
7662,7662,HUNT VALLEY LIGHT RAIL STATION nb,,39.496307,-76.654339,,,,,,0
7663,7663,HUNT VALLEY LIGHT RAIL STATION sb,,39.496216,-76.654270,,,,,,0
7664,7664,PEPPER RD & LIGHT RAIL STATION sb,,39.492092,-76.656282,,,,,,0
7665,7665,McCORMICK RD LIGHT RAIL,,39.489538,-76.658815,,,,,,0
7666,7666,GILROY RD LIGHT RAIL,,39.482131,-76.661726,,,,,,0
7667,7667,WARREN RD LIGHT RAIL sb,,39.475883,-76.653714,,,,,,0
7668,7668,TIMONIUM FAIRGROUNDS LIGHT RAIL STATION sb,,39.448547,-76.634983,,,,,,0
7669,7669,TIMONIUM BUSINESS PARK sb,,39.434422,-76.628334,,,,,,0
7670,7670,LUTHERVILLE LIGHT RAIL STATION sb,,39.428939,-76.627141,,,,,,0
7671,7671,FALLS RD LIGHT RAIL STATION sb,,39.376627,-76.649734,,,,,,0
7673,7673,MT WASHINGTON LIGHT RAIL STATION sb,,39.368416,-76.652138,,,,,,0
7674,7674,COLD SPRING LIGHT RAIL sb,,39.344073,-76.647894,,,,,,0
