service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,0,0,0,0,0,0,0,20200705,20200905
3,0,0,0,0,0,0,0,20200705,20200905
4,0,0,0,0,0,1,0,20200705,20200905
5,0,0,0,0,0,0,1,20200705,20200905
6,1,1,1,1,1,0,0,20200705,20200905
7,0,0,0,0,0,0,0,20200705,20200905
8,0,0,0,0,0,0,0,20200705,20200905
9,0,0,0,0,1,1,0,20200705,20200905
413,1,1,1,1,1,1,1,20200705,20200905
606,0,0,0,0,1,0,0,20200705,20200905
806,0,1,0,0,0,0,0,20200705,20200905
1306,0,0,0,0,0,0,0,20200705,20200905
824,0,0,0,0,0,1,0,20190225,20190317
825,0,0,0,0,0,0,1,20190225,20190317
826,1,1,1,1,1,0,0,20190225,20190317
