shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4110001,44.730902,-93.471486,10001
4110001,44.776028,-93.506573,10002
4110002,44.776028,-93.506573,10001
4110002,44.730902,-93.471486,10002
4200131,44.738817,-93.123902,10001
4200131,44.739209,-93.123895,10002
4200131,44.739205,-93.124696,10003
4200131,44.738357,-93.124711,10004
4200131,44.738357,-93.124711,20001
4200131,44.737946,-93.124718,20002
4200131,44.737953,-93.126108,20003
4200131,44.739193,-93.126112,20004
4200131,44.739182,-93.128152,20005
4200131,44.739167,-93.131158,20006
4200131,44.739151,-93.133864,20007
4200131,44.739141,-93.135490,20008
4200131,44.739141,-93.135490,30001
4200131,44.739141,-93.135502,30002
4200131,44.739137,-93.136125,30003
4200131,44.739136,-93.140449,30004
4200131,44.739136,-93.140449,40001
4200131,44.739136,-93.140592,40002
4200131,44.739138,-93.143863,40003
4200131,44.739140,-93.145736,40004
4200131,44.739140,-93.145736,50001
4200131,44.739140,-93.146277,50002
4200131,44.739142,-93.148348,50003
4200131,44.739138,-93.151611,50004
4200131,44.739138,-93.151611,60001
4200131,44.739138,-93.151830,60002
4200131,44.739122,-93.153200,60003
4200131,44.739125,-93.153497,60004
4200131,44.739149,-93.153885,60005
4200131,44.739207,-93.154532,60006
4200131,44.739234,-93.154761,60007
4200131,44.739241,-93.154936,60008
4200131,44.739237,-93.155700,60009
4200131,44.739237,-93.155700,70001
4200131,44.739235,-93.156030,70002
4200131,44.737125,-93.156103,70003
4200131,44.737125,-93.156103,80001
4200131,44.737034,-93.156106,80002
4200131,44.737057,-93.156450,80003
4200131,44.737080,-93.156798,80004
4200131,44.737137,-93.157202,80005
4200131,44.737263,-93.157708,80006
4200131,44.737515,-93.158393,80007
4200131,44.737641,-93.158776,80008
4200131,44.737706,-93.159156,80009
4200131,44.737713,-93.159552,80010
4200131,44.737677,-93.159825,80011
4200131,44.737677,-93.159825,90001
4200131,44.737660,-93.159950,90002
4200131,44.737519,-93.160398,90003
4200131,44.736710,-93.162072,90004
4200131,44.736538,-93.162537,90005
4200131,44.736450,-93.162888,90006
4200131,44.736389,-93.163305,90007
4200131,44.736370,-93.163724,90008
4200131,44.736393,-93.164132,90009
4200131,44.736550,-93.165246,90010
4200131,44.736535,-93.165650,90011
4200131,44.736491,-93.165894,90012
4200131,44.736491,-93.165894,100001
4200131,44.736470,-93.166017,100002
4200131,44.736207,-93.166756,100003
4200131,44.736126,-93.167242,100004
4200131,44.736130,-93.167550,100005
4200131,44.736168,-93.167830,100006
4200131,44.736241,-93.168098,100007
4200131,44.736348,-93.168351,100008
4200131,44.736500,-93.168587,100009
4200131,44.737433,-93.169792,100010
4200131,44.737335,-93.170005,100011
4200131,44.737322,-93.170034,100012
4200131,44.737322,-93.170034,110001
4200131,44.737247,-93.170206,110002
4200131,44.737167,-93.170436,110003
4200131,44.737108,-93.170706,110004
4200131,44.737073,-93.170955,110005
4200131,44.737069,-93.171393,110006
4200131,44.737034,-93.171697,110007
4200131,44.736966,-93.171998,110008
4200131,44.736855,-93.172300,110009
4200131,44.736717,-93.172544,110010
4200131,44.736489,-93.172836,110011
4200131,44.735897,-93.173374,110012
4200131,44.735897,-93.173374,120001
4200131,44.735817,-93.173446,120002
4200131,44.735921,-93.173709,120003
4200131,44.735989,-93.173964,120004
4200131,44.736030,-93.174231,120005
4200131,44.736045,-93.174537,120006
4200131,44.736000,-93.175009,120007
4200131,44.735846,-93.175567,120008
4200131,44.735796,-93.175857,120009
4200131,44.735794,-93.175990,120010
4200131,44.735795,-93.176629,120011
4200131,44.735795,-93.176629,130001
4200131,44.735796,-93.176756,130002
4200131,44.740459,-93.176746,130003
4200131,44.742825,-93.176728,130004
4200131,44.742824,-93.176911,130005
4200131,44.742827,-93.177452,130006
4200131,44.742827,-93.177452,140001
4200131,44.742836,-93.179282,140002
4200131,44.742833,-93.179801,140003
4200131,44.742798,-93.180183,140004
4200131,44.742489,-93.181623,140005
4200131,44.742440,-93.181974,140006
4200131,44.742433,-93.183738,140007
4200131,44.742433,-93.183738,150001
4200131,44.742432,-93.183875,150002
4200131,44.742440,-93.186165,150003
4200131,44.742439,-93.186897,150004
4200131,44.742439,-93.186897,160001
4200131,44.742439,-93.187035,160002
4200131,44.739826,-93.187050,160003
4200131,44.739826,-93.187050,170001
4200131,44.739735,-93.187050,170002
4200131,44.737291,-93.187057,170003
4200131,44.737291,-93.187184,170004
4200131,44.737291,-93.187184,180001
4200131,44.737289,-93.189581,180002
4200131,44.737286,-93.189831,180003
4200131,44.737277,-93.190080,180004
4200131,44.737263,-93.190329,180005
4200131,44.737243,-93.190577,180006
4200131,44.737218,-93.190824,180007
4200131,44.737187,-93.191069,180008
4200131,44.737150,-93.191313,180009
4200131,44.737108,-93.191556,180010
4200131,44.737061,-93.191796,180011
4200131,44.736650,-93.193750,180012
4200131,44.736509,-93.194422,180013
4200131,44.736451,-93.194783,180014
4200131,44.736420,-93.195075,180015
4200131,44.736404,-93.195369,180016
4200131,44.736403,-93.195897,180017
4200131,44.736411,-93.197735,180018
4200131,44.736411,-93.197735,190001
4200131,44.736412,-93.197862,190002
4200131,44.736394,-93.198589,190003
4200131,44.736338,-93.199087,190004
4200131,44.736245,-93.199573,190005
4200131,44.735985,-93.200520,190006
4200131,44.735860,-93.201255,190007
4200131,44.735823,-93.201756,190008
4200131,44.735819,-93.202266,190009
4200131,44.735819,-93.202266,200001
4200131,44.735819,-93.202393,200002
4200131,44.735816,-93.202941,200003
4200131,44.735762,-93.203452,200004
4200131,44.735680,-93.203810,200005
4200131,44.735479,-93.204402,200006
