stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00009,9,"143 St at Whispering Oaks NE corner",,  44.742837, -93.302058,,,0,
00032,32,"Evergreen Dr at Co Rd 11 NW corner",,  44.750199, -93.258608,,,0,
00035,35,"Evergreen Dr at Park Ave N corner",,  44.749466, -93.262950,,,0,
00037,37,"Evergreen Dr at Evergreen Ct NE corner",,  44.748108, -93.265078,,,0,
00039,39,"Evergreen Dr at Portland Av NE corner",,  44.747029, -93.268137,,,0,
00061,61,"Nicollet Av at Burnsville Pkwy NE corner",,  44.772301, -93.277552,,,0,
00064,64,"Burnsville Transit Station",,  44.779010, -93.275697,,,0,place_BTST
00074,74,"2 Av S at Washington Av S SE corner",,  44.980450, -93.265452,,,0,
00076,76,"Gateway Ramp",,  44.978141, -93.262092,,,0,
00079,79,"Marquette Av S at 2 St S NW corner",,  44.982204, -93.266027,,,0,
00089,89,"12 St S at 2 Av S/3 Av S S corner",,  44.970486, -93.272685,,,0,
00092,92,"Nicollet Av at Travelers Trl W NW corner",,  44.775296, -93.277857,,,0,
00094,94,"Nicollet Av at Burnsville Pkwy NW corner (HOC P&R)",,  44.772530, -93.277857,,,0,
00115,115,"Evergreen Dr at Portland Av SE corner",,  44.746933, -93.268023,,,0,
00117,117,"Evergreen Dr at Evergreen Ct SW corner",,  44.747902, -93.265177,,,0,
00119,119,"Evergreen Dr at Park Av SW corner",,  44.749272, -93.263041,,,0,
00121,121,"Evergreen Dr at Co Rd 11 SW corner",,  44.750096, -93.258440,,,0,
00149,149,"143 St at Co Rd 5 SE corner",,  44.742753, -93.302265,,,0,
00160,160,"Savage Park & Ride",,  44.747366, -93.330373,,,0,
00173,173,"Burnsville Pkwy at Co Rd 5 SE corner",,  44.759877, -93.302745,,,0,
00175,175,"Burnsville Pkwy at Lacota Ln SW corner",,  44.762173, -93.300669,,,0,
00177,177,"Burnsville Pkwy at Irving Av SW corner",,  44.764592, -93.298212,,,0,
00180,180,"Burnsville Pkwy at Girard Av SW corner",,  44.767643, -93.294894,,,0,
00182,182,"Burnsville Pkwy at I 35W ramp SW corner",,  44.769805, -93.290358,,,0,
00183,183,"Burnsville Pkwy at Harriet Av SW corn (Gateway Bl)",,  44.769654, -93.285654,,,0,
00189,189,"Nicollet Av at Travelers Trl E NE corner",,  44.775361, -93.277545,,,0,
00198,198,"Burnsville Pkwy at Gateway Blvd NE corn (Harriet)",,  44.769913, -93.285380,,,0,
00200,200,"Burnsville Pkwy at Aldrich Av NW corner",,  44.770031, -93.291163,,,0,
00202,202,"Burnsville Pkwy at Girard Av NE corn (Briar Ct)",,  44.767937, -93.294955,,,0,
00205,205,"Burnsville Pkwy at Irving Av NE corner",,  44.764882, -93.298327,,,0,
00207,207,"Burnsville Pkwy at Lacota Ln NE corner",,  44.762459, -93.300791,,,0,
00258,258,"Co Rd 5 at Burnsville Pkwy SW corner",,  44.759381, -93.303202,,,0,
00263,263,"Rahn Rd at Valley View Dr S NW corner",,  44.813027, -93.207796,,,0,
00267,267,"Rahn Rd at Carnelian Ln NW corner",,  44.809128, -93.207781,,,0,
00269,269,"Rahn Rd at Boulder Ct (N) W corner",,  44.806862, -93.207797,,,0,
00272,272,"Diffley Rd at Topaz Dr NE corner",,  44.804749, -93.211092,,,0,
00275,275,"Diffley Rd opp Metcalf JHS",,  44.804841, -93.226214,,,0,place_DFME
00289,289,"Co Rd 11 at Hwy 13 SW corner",,  44.786637, -93.248217,,,0,
00290,290,"Co Rd 11 at 121 St NW corner",,  44.784817, -93.248179,,,0,
00291,291,"122 St at Co Rd 11 NW corner",,  44.783139, -93.248377,,,0,
00293,293,"122 St at Oak Leaf Ct N corner",,  44.781735, -93.255831,,,0,
00313,313,"122 St at 17 Av SW corner",,  44.783032, -93.251299,,,0,
00314,314,"Co Rd 11 at 122 St NE corner",,  44.783200, -93.248057,,,0,
00315,315,"Co Rd 11 at Hwy 13 SE corner",,  44.787162, -93.248006,,,0,
00333,333,"Diffley Rd at Nicols Rd SE corner",,  44.804684, -93.217745,,,0,
00335,335,"Diffley Rd at Moonstone Dr SW corner",,  44.804638, -93.210223,,,0,
00338,338,"Rahn Rd at Boulder Ct Apts (N) SE corner",,  44.806870, -93.207644,,,0,
00340,340,"Rahn Rd at Carnelian Ln SE corner",,  44.809506, -93.207637,,,0,
00344,344,"Rahn Rd at Valley View (N) E corner",,  44.814373, -93.207766,,,0,
00345,345,"Cedar Grove Pkwy at Rahn Rd NW corner",,  44.815987, -93.209679,,,0,
00351,351,"Co Rd 42 at Burnsville Pkwy SW corner",,  44.746216, -93.323512,,,0,
00353,353,"Co Rd 42 at Judicial Rd SW corner (Rosemount Dr)",,  44.746212, -93.313319,,,0,
00359,359,"Nicollet Av at Grand Av SE corner",,  44.745301, -93.279177,,,0,
00360,360,"Nicollet Av at Arthur Terr SE corner",,  44.747720, -93.277633,,,0,
00361,361,"Nicollet Av at Nicollet Blvd SE corner",,  44.749409, -93.277643,,,0,
00367,367,"Burnsville Pkwy at Pleasant Av NE corner",,  44.770680, -93.282763,,,0,
00394,394,"Burnsville Pkwy at Pleasant Av SW corner",,  44.770300, -93.282903,,,0,
00395,395,"Burnsville Pkwy at Pillsbury Av SW corner",,  44.771698, -93.279978,,,0,
00398,398,"Nicollet Av at Nicollet Blvd SW corner",,  44.749390, -93.277926,,,0,
00400,400,"Nicollet Av at Grand Av NW corner",,  44.745563, -93.279369,,,0,
00404,404,"Co Rd 42 at Judicial Rd NE corner",,  44.746472, -93.313067,,,0,
00406,406,"Co Rd 42 at Burnsville Pkwy NE corner",,  44.746426, -93.323222,,,0,
00434,434,"Nicollet Blvd at Fairview Dr SW corner",,  44.749844, -93.274920,,,0,
00435,435,"Nicollet Blvd at Fairview Ridges Hosp. SW corner",,  44.750080, -93.272187,,,0,
00436,436,"Nicollet Blvd at Community Dr S corner",,  44.750836, -93.269747,,,0,
00440,440,"McAndrews Rd at Co Rd 11 (W) SE corner",,  44.753659, -93.258036,,,0,
00441,441,"McAndrews Rd at Echo Park Ln SW corner",,  44.753689, -93.254069,,,0,
00443,443,"McAndrews Rd at Frontier Ln SW corner",,  44.753704, -93.251315,,,0,
00444,444,"McAndrews Rd at Co Rd 11 (E) NW corner",,  44.754445, -93.247553,,,0,
00445,445,"McAndrews Rd at Frontier Ct NE corner",,  44.753941, -93.251070,,,0,
00446,446,"McAndrews Rd at Echo Park Ln NE corner",,  44.753918, -93.253817,,,0,
00450,450,"Nicollet Blvd at Community Dr NE corner",,  44.751118, -93.269877,,,0,
00451,451,"Nicollet Blvd at Fairview Ridges Hosp N corner",,  44.750313, -93.272264,,,0,
00452,452,"Nicollet Blvd at Fairview Dr NE corner",,  44.750126, -93.274805,,,0,
00453,453,"Aldrich Av at Office Max/Men's Whse SE corner",,  44.747769, -93.287737,,,0,
00458,458,"Burnhaven Dr at Co Rd 42 NW corner",,  44.746785, -93.293864,,,0,
00468,468,"Hwy 13 at Cliff Rd NE corner",,  44.790577, -93.242236,,,0,
00473,473,"Hwy 13 at River Hills Dr SW corner",,  44.801926, -93.231799,,,0,
00476,476,"Hwy 13 at 117 St SW corner",,  44.793843, -93.239878,,,0,
00477,477,"Hwy 13 at Cliff Rd SW corner",,  44.789940, -93.243502,,,0,
00486,486,"Burnhaven Dr at Co Rd 42 NE corner",,  44.746739, -93.293490,,,0,
00491,491,"Aldrich Av at Chipotle NW corner",,  44.748024, -93.288050,,,0,
