route_id,service_id,trip_id,trip_headsign,trip_destination,trip_short_name,trip_route_name,direction_id,pub_dir_id,block_id,rm_block_id,shape_id
903-77,20200523-Mixed-04,221-B-903.0S-2225-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,201-B-903.0S-0818-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,201,201-B,9030260
903-77,20200523-Mixed-04,212-B-903.0S-1638-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,212,212-B,9030260
903-77,20200523-Mixed-04,222-B-903.0S-2155-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,222,222-B,9030260
903-77,20200523-Mixed-04,221-B-903.0S-2125-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,221-B-903.0S-1820-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,222-B-903.0S-2055-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,222,222-B,9030260
903-77,20200523-Mixed-04,222-B-903.0S-1955-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,222,222-B,9030260
903-77,20200523-Mixed-04,222-B-903.0S-1850-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,222,222-B,9030260
903-77,20200523-Mixed-04,213-B-903.0S-1658-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,213,213-B,9030261
903-77,20200523-Mixed-04,221-B-903.0S-2025-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,212-B-903.0S-1738-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,212,212-B,9030261
903-77,20200523-Mixed-04,221-B-903.0S-1718-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,221-B-903.0S-1920-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,221,221-B,9030260
903-77,20200523-Mixed-04,202-B-903.0S-1138-20200523-Mixed-04,"SOUTHBOUND TO APPLE VALLEY","APPLE VALLEY",903,903,0,Southbound,202,202-B,9030261
