service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JUN20-MVS-BUS-Holiday-02,1,0,0,0,0,0,0,20200907,20200907
JUN20-MVS-BUS-Saturday-03,0,0,0,0,0,1,0,20200725,20200905
JUN20-MVS-BUS-Sunday-03,0,0,0,0,0,0,1,20200726,20200906
JUN20-MVS-BUS-Weekday-03,1,1,1,1,1,0,0,20200727,20200911
JUN20-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20200727,20200911
JUN20-MVS-SUB-Weekday-02,1,1,1,1,1,0,0,20200727,20200911
JUN20-MVS-UM-Weekday-06,1,1,1,1,1,0,0,20200803,20200828
JUN20-MVS-UM-Weekday-07,1,1,1,1,1,0,0,20200727,20200911
JUN20-RAIL-Saturday-34,0,0,0,0,0,1,0,20200725,20200905
JUN20-RAIL-Sunday-34,0,0,0,0,0,0,1,20200726,20200906
JUN20-RAIL-Weekday-34,1,1,1,1,1,0,0,20200727,20200911
