stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
8610,CaFt,Canal Street Ferry Terminal,CANAL ST FRY & ALGIERS FERRY LNDG,29.949989,-90.062179,,,,,,2
8611,ApFt,Algiers Point Ferry Terminal,ALGIERS FERRY LNDG & CANAL ST FRY,29.953127,-90.055998,,,,,,2
8697,ChFe,Chalmette Ferry,CHALMETTE-LOWER ALGIERS FRY & PARIS RD,29.928224,-89.970874,,,,,,2
8698,LoAg,Lower Algiers Ferry,CHALMETTE LOWER ALGIERS FERRY LNDG & CHALMETTE-LOWER ALGIERS FRY,29.922004,-89.973402,,,,,,2
2072,8327,L B Landry + Newton,,29.945031,-90.040665,,,,,,2
2077,8334,St Charles + Girod,,29.947405,-90.071277,,,,,,2
438,158,Camp + Race,,29.934604,-90.073664,,,,,,2
752,2116,St Claude + Montegut,,29.968171,-90.045853,,,,,,2
1302,3424,Napoleon + Claiborne,,29.939989,-90.103194,,,,,,2
679,1992,N. Miro + Allen,,29.979325,-90.064669,,,,,,2
1437,4360,Gentilly + Franklin,,30.002754,-90.050402,,,,,,2
780,215,St Charles + Hillary,,29.939907,-90.130222,,,,,,2
496,1643,Lake Forest + Crowder,,30.026779,-89.992039,,,,,,2
1045,2563,MacArthur + Eton,,29.922077,-89.998041,,,,,,2
2346,8676,Vespasian & Pace,,29.931002,-90.027655,,,,,,2
743,2106,St Claude + Forstall,,29.962673,-90.021273,,,,,,2
1645,5501,Canal + LaSalle (In),,29.957434,-90.075405,,,,,,2
354,1496,Hayne + Martin,,30.036234,-90.015423,,,,,,2
369,1510,Hayne + Nazareth Inn,,30.047413,-89.987779,,,,,,2
1839,749,Tulane + S. Claiborne,,29.956915,-90.080265,,,,,,2
470,162,Camp + Calliope,,29.941599,-90.071479,,,,,,2
1891,775,S. Claiborne + Leonidas,,29.95946,-90.12453,,,,,,2
2291,8600,Desire + Prieur,,29.974857,-90.037969,,,,,,2
1973,8150,Morrison + Avalon,,30.044055,-89.978722,,,,,,2
2268,8578,Desaix + Tensas,,29.98889,-90.084195,,,,,,2
1277,317,Jackson + St Charles,,29.934003,-90.08043,,,,,,2
688,200,Magazine + Henry Clay,,29.923237,-90.124259,,,,,,2
1725,622,Louisiana + Magazine,,29.922931,-90.088714,,,,,,2
1307,344,Jackson + St Charles,,29.934205,-90.080777,,,,,,2
1496,4658,N. Broad + Esplanade,,29.976184,-90.078335,,,,,,2
592,1789,Paris Rd. + Duane,,30.069888,-89.940506,,,,,,2
1428,4286,St Charles + Eighth Street,,29.929178,-90.089039,,,,,,2
2240,8548,Crowder + Morrison,,30.035385,-89.99633,,,,,,2
762,213,S. Carrollton + St Charles,,29.943235,-90.134078,,,,,,2
63,1092,St Anthony + R E Lee,,30.021901,-90.065984,,,,,,2
1989,8227,Paris Ave. + Aviator,,30.019852,-90.07519,,,,,,2
1561,5030,St Claude + Mandeville,,29.968618,-90.054423,,,,,,2
2289,86,S. Peters + Poydras,,29.948294,-90.065838,,,,,,2
922,2415,L B Landry + General DeGaulle,,29.931337,-90.041465,,,,,,2
988,2481,General Meyer + Pace,,29.942377,-90.02742,,,,,,2
1721,616,Louisiana + Magazine,,29.922992,-90.089129,,,,,,2
2016,8266,Mirabeau + St Bernard,,30.007003,-90.082413,,,,,,2
2226,8531,N. Claiborne + Elysian Fields,,29.97368,-90.056974,,,,,,2
2363,8691,Earhart + S. Claiborne (Out),,29.949398,-90.0859,,,,,,2
1008,250,St Charles + Lee Circle,,29.942725,-90.072751,,,,,,2
1988,8225,N. Claiborne + Egania,,29.967113,-90.017814,,,,,,2
2091,8349,Louisiana + Chestnut,,29.924899,-90.089981,,,,,,2
2406,939,R E Lee + Marshal Foch,,30.019044,-90.102125,,,,,,2
909,2401,Verret + Lamarque,,29.942454,-90.049782,,,,,,2
858,232,St Charles + Cadiz,,29.926254,-90.104522,,,,,,2
915,2408,L B Landry + Semmes,,29.935297,-90.04161,,,,,,2
1531,4702,Gentilly + Foy,,29.997768,-90.060741,,,,,,2
1114,2648,Opelousas + Vallette,,29.948571,-90.049261,,,,,,2
2322,8639,Congress + Madrid,,30.022666,-90.037743,,,,,,2
668,1977,Poland + N. Galvez,,29.975139,-90.029165,,,,,,2
581,1777,Read + Plainfield,,30.039649,-89.977783,,,,,,2
595,1791,I-10 Service Rd. + Ridgefield,,30.056861,-89.944969,,,,,,2
1232,279,St Charles + Milan,,29.926715,-90.099601,,,,,,2
1581,5201,Morrison + Shubrick,,30.040786,-89.985444,,,,,,2
1169,2706,E. Loyola + Joe Yenni,,30.042631,-90.262321,,,,,,2
372,1513,Hayne + Read,,30.049131,-89.984061,,,,,,2
1772,670,S. Carrollton + Palm,,29.964655,-90.111376,,,,,,2
23,1037,Esplanade + N. Villere,,29.968188,-90.067116,,,,,,2
736,2099,St Claude + Parish Line,,29.957696,-90.004684,,,,,,2
1665,5530,Canal + Basin (Out),,29.956271,-90.073594,,,,,,2
2085,8343,City Park + N. Carrollton,,29.983212,-90.091606,,,,,,2
918,2411,S. Rampart + Poydras,,29.950758,-90.075,,,,,,2
1200,2744,Williams + W. Metairie,,29.990856,-90.241884,,,,,,2
1809,707,Monroe + Olive,,29.967107,-90.117931,,,,,,2
1290,333,Baronne + Girod,,29.948079,-90.073771,,,,,,2
1605,5266,Nunez + Lawrence,,29.939218,-90.050687,,,,,,2
518,1670,Bullard + Dwyer,,30.028785,-89.948178,,,,,,2
1281,320,O C Haley + St  Andrew,,29.937951,-90.08149,,,,,,2
1953,8075,Chef Highway + Michoud (Nearside),,30.031357,-89.927508,,,,,,2
1525,4696,N. Broad + Treasure,,29.989271,-90.066201,,,,,,2
158,122,Tchoupitoulas + Dufossat,,29.916592,-90.111068,,,,,,2
2171,8458,Morrison + Paris Road,,30.068073,-89.940507,,,,,,2
926,242,St Charles + Third Street,,29.931839,-90.084417,,,,,,2
44,1066,Esplanade + Maurepas,,29.980986,-90.085294,,,,,,2
1397,407,S. Claiborne + Fern,,29.95449,-90.119104,,,,,,2
1884,7728,Wilty Terminal,,29.921824,-90.04228,,,,,,2
836,228,St Charles + Valmont,,29.927836,-90.111572,,,,,,2
2344,8673,N. Rampart + Esplanade ( N ),,29.965799,-90.063667,,,,,,2
2034,8286,Tullis + 5699 Tullis,,29.902986,-89.993741,,,,,,2
959,2452,General Meyer + Richland,,29.937855,-90.01628,,,,,,2
657,1946,Royal + Montegut,,29.962972,-90.047419,,,,,,2
1606,5267,General DeGaulle + Hendee,,29.930463,-90.039862,,,,,,2
165,1234,Elysian Fields + R E Lee,,30.022162,-90.061392,,,,,,2
2246,8554,Lake Forest + Kensington,,30.033552,-89.96514,,,,,,2
1211,2758,Williams + 17th St.,,29.988301,-90.242301,,,,,,2
2141,8412,UPT Bus Bay 6,,29.945696,-90.078016,,,,,,2
786,2179,N. Carrollton + Orleans (In),,29.979508,-90.095274,,,,,,2
1084,2607,General DeGaulle + Somerset,,29.913557,-90.003167,,,,,,2
1492,4652,N. Broad + Republic,,29.985103,-90.070333,,,,,,2
1803,701,Leonidas + S. Claiborne,,29.959131,-90.124924,,,,,,2
1576,5162,S. Claiborne + Canal,,29.958766,-90.077664,,,,,,2
1291,3332,S. Carrollton + Palm,,29.9643,-90.111257,,,,,,2
1261,299,S. Carrollton + St Charles,,29.943177,-90.133947,,,,,,2
658,195,Magazine + Valmont,,29.920517,-90.112647,,,,,,2
1206,2751,Minor + Short,,29.975293,-90.247314,,,,,,2
2184,8482,LSU Dental School,,29.991153,-90.082103,,,,,,2
476,1625,Dwyer + Chantilly,,30.021533,-90.00572,,,,,,2
1364,3785,Napoleon + Laurel,,29.918697,-90.101049,,,,,,2
610,1828,Read + Morrison,,30.043319,-89.980458,,,,,,2
1764,66,Tchoupitoulas + Third Street,,29.921135,-90.076541,,,,,,2
584,178,Magazine + Jackson,,29.929729,-90.076683,,,,,,2
1424,4263,St Charles + Lowerline,,29.938259,-90.128334,,,,,,2
