trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2773810,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773811,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773812,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773813,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773814,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773815,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773816,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773817,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773818,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773819,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773820,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773821,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773822,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773823,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773824,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773825,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773826,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773827,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773828,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773829,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773830,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773831,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773832,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773833,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773834,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773835,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773836,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773837,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773838,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773839,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773840,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773841,1,2886,Canal Street Ferry Terminal,,0,1281968,50361,2,1
2773842,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773843,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773844,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773845,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773846,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773847,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773848,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773849,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773850,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773851,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773852,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773853,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773854,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773855,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773856,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773857,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773858,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773859,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773860,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773861,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773862,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773863,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773864,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773865,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773866,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773867,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773868,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773869,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773870,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773871,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773872,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2773873,1,2886,Algiers Point Ferry Terminal,,1,1281968,50362,2,1
2776272,4,2886,,,0,0,50367,2,1
2776273,4,2886,,,0,0,50367,2,1
2776274,4,2886,,,0,0,50367,2,1
2776275,4,2886,,,0,0,50367,2,1
2776276,4,2886,,,0,0,50367,2,1
2776277,4,2886,,,0,0,50367,2,1
2776278,4,2886,,,0,0,50367,2,1
2776279,4,2886,,,0,0,50367,2,1
2776280,4,2886,,,0,0,50367,2,1
2776281,4,2886,,,0,0,50367,2,1
2776282,4,2886,,,0,0,50367,2,1
2776283,4,2886,,,0,0,50367,2,1
2776284,4,2886,,,0,0,50367,2,1
2776285,4,2886,,,0,0,50367,2,1
2776286,4,2886,,,0,0,50367,2,1
2776287,4,2886,,,0,0,50367,2,1
2776288,4,2886,,,0,0,50367,2,1
2776289,4,2886,,,0,0,50367,2,1
2776290,4,2886,,,0,0,50367,2,1
2776291,4,2886,,,0,0,50367,2,1
2776292,4,2886,,,0,0,50367,2,1
2776293,4,2886,,,0,0,50367,2,1
2776294,4,2886,,,0,0,50367,2,1
2776295,4,2886,,,0,0,50367,2,1
2776296,4,2886,,,0,0,50367,2,1
2776297,4,2886,,,0,0,50367,2,1
2776298,4,2886,,,0,0,50367,2,1
2776299,4,2886,,,0,0,50367,2,1
2776300,4,2886,,,0,0,50367,2,1
2776301,4,2886,,,0,0,50367,2,1
2776302,4,2886,,,1,0,50368,2,1
2776303,4,2886,,,1,0,50368,2,1
2776304,4,2886,,,1,0,50368,2,1
2776305,4,2886,,,1,0,50368,2,1
2776306,4,2886,,,1,0,50368,2,1
2776307,4,2886,,,1,0,50368,2,1
2776308,4,2886,,,1,0,50368,2,1
2776309,4,2886,,,1,0,50368,2,1
2776310,4,2886,,,1,0,50368,2,1
2776311,4,2886,,,1,0,50368,2,1
2776312,4,2886,,,1,0,50368,2,1
2776313,4,2886,,,1,0,50368,2,1
2776314,4,2886,,,1,0,50368,2,1
2776315,4,2886,,,1,0,50368,2,1
2776316,4,2886,,,1,0,50368,2,1
2776317,4,2886,,,1,0,50368,2,1
2776318,4,2886,,,1,0,50368,2,1
2776319,4,2886,,,1,0,50368,2,1
2776320,4,2886,,,1,0,50368,2,1
2776321,4,2886,,,1,0,50368,2,1
2776322,4,2886,,,1,0,50368,2,1
2776323,4,2886,,,1,0,50368,2,1
2776324,4,2886,,,1,0,50368,2,1
2776325,4,2886,,,1,0,50368,2,1
2776326,4,2886,,,1,0,50368,2,1
2776327,4,2886,,,1,0,50368,2,1
2776328,4,2886,,,1,0,50368,2,1
2776329,4,2886,,,1,0,50368,2,1
2776330,4,2886,,,1,0,50368,2,1
2776331,4,2886,,,1,0,50368,2,1
2773874,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
2773875,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
2773876,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
2773877,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
2773878,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
2773879,1,2887,Canal Street Ferry Terminal,,0,1281969,50361,2,1
