service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20200614,20200829
12,0,0,0,0,0,1,0,20200614,20200829
13,0,0,0,0,0,0,1,20200614,20200829
16,1,1,1,1,1,0,0,20200614,20200829
18,0,0,0,0,0,1,0,20200614,20200829
19,0,0,0,0,0,0,1,20200614,20200829
22,1,1,1,1,1,0,0,20200614,20200829
24,0,0,0,0,0,1,0,20200614,20200829
25,0,0,0,0,0,0,1,20200614,20200829
28,1,1,1,1,1,0,0,20200614,20200829
30,0,0,0,0,0,1,0,20200614,20200829
31,0,0,0,0,0,0,1,20200614,20200829
40,1,1,1,1,1,0,0,20200614,20200829
42,0,0,0,0,0,1,0,20200614,20200829
43,0,0,0,0,0,0,1,20200614,20200829
46,1,1,1,1,1,0,0,20200614,20200829
48,0,0,0,0,0,1,0,20200614,20200829
49,0,0,0,0,0,0,1,20200614,20200829
52,1,1,1,1,1,0,0,20200614,20200829
54,0,0,0,0,0,1,0,20200614,20200829
55,0,0,0,0,0,0,1,20200614,20200829
