route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
1,10,390257,"Decatur-Drummond",1005,0,237307
1,10,390258,"Parx Casino",2151,0,237305
1,10,390259,"Parx Casino via Decatur-Drummond",2156,0,237312
1,10,390260,"Decatur-Drummond",1004,0,237311
1,10,390261,"Parx Casino via Decatur-Drummond",2154,0,237312
1,10,390262,"Decatur-Drummond",1003,0,237308
1,10,390263,"Byberry Industrial Park",2153,0,237309
1,10,390264,"Decatur-Drummond",2155,0,237306
1,10,390265,"Decatur-Drummond",1002,0,237307
1,10,390266,"Decatur-Drummond",1151,0,237311
1,10,390267,"Decatur-Drummond",1001,0,237306
1,10,390268,"Decatur-Drummond",2151,0,237306
1,10,390269,"Decatur-Drummond",2157,0,237311
1,10,390270,"Roosevelt-Pratt",1383,0,237310
1,10,390271,"Parx Casino",2159,0,237305
1,10,390272,"Parx Casino",2160,0,237305
1,10,390273,"Parx Casino",1006,0,237305
1,10,390274,"Parx Casino",2158,0,237305
1,10,390275,"Parx Casino",1467,0,237305
1,10,390276,"Parx Casino via Decatur-Drummond",1003,0,237312
1,10,390277,"Parx Casino via Decatur-Drummond",1002,0,237312
1,10,390278,"Parx Casino via Decatur-Drummond",2151,0,237312
1,10,390279,"Parx Casino",1003,0,237305
1,10,390280,"Parx Casino",1006,0,237305
1,10,390281,"Byberry Industrial Park",1001,0,237309
1,10,390282,"Parx Casino via Decatur-Drummond",2152,0,237312
1,10,390283,"Byberry Industrial Park",2156,0,237309
1,10,390284,"54th-City via Drummond-Decatur",1481,1,237314
1,10,390285,"54th-City",2161,1,237313
1,10,390286,"54th-City",1383,1,237313
1,10,390287,"54th-City",2159,1,237317
1,10,390288,"54th-City",1006,1,237318
1,10,390289,"54th-City",1467,1,237318
1,10,390290,"54th-City via Drummond-Decatur",1003,1,237314
1,10,390291,"54th-City via Drummond-Decatur",2151,1,237314
1,10,390292,"54th-City",2152,1,237318
1,10,390293,"54th-City",2156,1,237317
1,10,390294,"54th-City",2154,1,237318
1,10,390295,"54th-City",2155,1,237317
1,10,390296,"54th-City",1002,1,237317
1,10,390297,"Wissahickon Transportation Center",1001,1,237320
1,10,390298,"54th-City",2151,1,237317
1,10,390299,"54th-City",2152,1,237317
1,10,390300,"54th-City via Drummond-Decatur",2158,1,237314
1,10,390301,"Wissahickon Transportation Center",1221,1,237316
1,10,390302,"Wissahickon Transportation Center",2561,1,237316
1,10,390303,"Wissahickon Transportation Center",2157,1,237320
1,10,390304,"54th-City",1006,1,237318
1,10,390306,"54th-City",1007,1,237317
1,10,390307,"54th-City",1008,1,237313
1,10,390310,"54th-City",1003,1,237317
1,10,390311,"54th-City via Drummond-Decatur",2157,1,237314
1,10,390313,"Wissahickon Transportation Center",1515,1,237315
12,10,390391,"Columbus-Dock",7256,0,237321
12,10,390392,"Columbus-Dock",7255,0,237321
12,10,390393,"Columbus-Dock",7257,0,237321
12,10,390394,"Columbus-Dock",7252,0,237321
12,10,390395,"Columbus-Dock",7258,0,237321
12,10,390396,"Columbus-Dock",7251,0,237321
12,10,390397,"Columbus-Dock",7255,0,237321
12,10,390398,"Columbus-Dock",7257,0,237321
12,10,390399,"Columbus-Dock",7259,0,237321
12,10,390400,"Columbus-Dock",7258,0,237321
12,10,390401,"Columbus-Dock",7251,0,237321
12,10,390402,"Columbus-Dock",7257,0,237321
12,10,390403,"Columbus-Dock",7259,0,237321
12,10,390404,"Columbus-Dock",7258,0,237321
12,10,390405,"Columbus-Dock",7260,0,237321
12,10,390406,"Columbus-Dock",7262,0,237321
12,10,390407,"Columbus-Dock",7263,0,237321
12,10,390408,"Columbus-Dock",7258,0,237321
12,10,390409,"Columbus-Dock",7261,0,237321
12,10,390410,"Columbus-Dock",7264,0,237321
12,10,390411,"Columbus-Dock",7259,0,237321
12,10,390412,"Columbus-Dock",7260,0,237321
12,10,390413,"Columbus-Dock",7263,0,237321
12,10,390414,"Columbus-Dock",7258,0,237321
12,10,390415,"Columbus-Dock",7261,0,237321
12,10,390416,"Columbus-Dock",7262,0,237321
12,10,390417,"Columbus-Dock",7264,0,237321
12,10,390418,"Columbus-Dock",7262,0,237321
12,10,390419,"Columbus-Dock",7256,0,237321
12,10,390420,"Columbus-Dock",7254,0,237321
12,10,390421,"Columbus-Dock",7262,0,237321
12,10,390422,"Columbus-Dock",7253,0,237321
12,10,390423,"Columbus-Dock",7263,0,237321
12,10,390424,"Columbus-Dock",7264,0,237321
12,10,390425,"Columbus-Dock",7263,0,237321
12,10,390426,"Columbus-Dock",7264,0,237321
12,10,390427,"Columbus-Dock",7262,0,237321
12,10,390428,"Columbus-Dock",7263,0,237321
12,10,390429,"Columbus-Dock",7264,0,237321
12,10,390430,"Columbus-Dock",7262,0,237321
12,10,390431,"Columbus-Dock",7264,0,237321
12,10,390432,"Columbus-Dock",7251,0,237321
12,10,390433,"Columbus-Dock",7252,0,237321
12,10,390434,"Columbus-Dock",7253,0,237321
12,10,390435,"Columbus-Dock",7254,0,237321
12,10,390436,"Columbus-Dock",7251,0,237321
12,10,390437,"Columbus-Dock",7255,0,237321
12,10,390438,"Columbus-Dock",7252,0,237321
12,10,390439,"Columbus-Dock",7253,0,237321
12,10,390440,"Columbus-Dock",7256,0,237321
12,10,390441,"Columbus-Dock",7254,0,237321
12,10,390442,"Columbus-Dock",7251,0,237321
12,10,390443,"Columbus-Dock",7255,0,237321
12,10,390444,"Columbus-Dock",7252,0,237321
12,10,390445,"Columbus-Dock",7257,0,237321
12,10,390446,"Columbus-Dock",7260,0,237321
12,10,390447,"Columbus-Dock",7251,0,237321
12,10,390448,"Columbus-Dock",7261,0,237321
12,10,390449,"Columbus-Dock",7255,0,237321
12,10,390450,"Columbus-Dock",7257,0,237321
12,10,390451,"Columbus-Dock",7252,0,237321
12,10,390452,"50th-Woodland",7257,1,237322
12,10,390453,"50th-Woodland",7252,1,237322
12,10,390454,"50th-Woodland",7262,1,237322
12,10,390455,"50th-Woodland",7263,1,237322
12,10,390456,"50th-Woodland",7260,1,237322
12,10,390457,"50th-Woodland",7258,1,237322
12,10,390458,"50th-Woodland",7261,1,237322
12,10,390459,"50th-Woodland",7257,1,237322
12,10,390460,"50th-Woodland",7259,1,237322
12,10,390461,"50th-Woodland",7260,1,237322
12,10,390462,"50th-Woodland",7263,1,237322
12,10,390463,"50th-Woodland",7264,1,237322
12,10,390464,"50th-Woodland",7253,1,237322
12,10,390465,"50th-Woodland",7254,1,237322
12,10,390466,"50th-Woodland",7251,1,237322
12,10,390467,"50th-Woodland",7252,1,237322
12,10,390468,"50th-Woodland",7255,1,237322
12,10,390469,"50th-Woodland",7252,1,237322
12,10,390470,"50th-Woodland",7253,1,237322
12,10,390471,"50th-Woodland",7256,1,237322
12,10,390472,"50th-Woodland",7254,1,237322
12,10,390473,"50th-Woodland",7251,1,237322
12,10,390474,"50th-Woodland",7255,1,237322
12,10,390475,"50th-Woodland",7257,1,237322
12,10,390476,"50th-Woodland",7256,1,237322
12,10,390477,"50th-Woodland",7252,1,237322
12,10,390478,"50th-Woodland",7258,1,237322
12,10,390479,"50th-Woodland",7258,1,237322
12,10,390480,"50th-Woodland",7262,1,237322
12,10,390481,"50th-Woodland",7264,1,237322
12,10,390482,"50th-Woodland",7262,1,237322
12,10,390483,"50th-Woodland",7264,1,237322
12,10,390484,"50th-Woodland",7262,1,237322
12,10,390485,"50th-Woodland",7257,1,237322
12,10,390486,"50th-Woodland",7264,1,237322
12,10,390487,"50th-Woodland",7251,1,237322
12,10,390488,"50th-Woodland",7255,1,237322
12,10,390489,"50th-Woodland",7259,1,237322
12,10,390490,"50th-Woodland",7258,1,237322
12,10,390491,"50th-Woodland",7262,1,237322
12,10,390492,"50th-Woodland",7261,1,237322
12,10,390493,"50th-Woodland",7263,1,237322
12,10,390494,"50th-Woodland",7259,1,237322
12,10,390495,"50th-Woodland",7264,1,237322
12,10,390496,"50th-Woodland",7258,1,237322
12,10,390497,"50th-Woodland",7260,1,237322
12,10,390498,"50th-Woodland",7262,1,237322
12,10,390499,"50th-Woodland",7261,1,237322
12,10,390500,"50th-Woodland",7263,1,237322
12,10,390501,"50th-Woodland",7264,1,237322
12,10,390502,"50th-Woodland",7251,1,237322
12,10,390503,"50th-Woodland",7255,1,237322
12,10,390504,"50th-Woodland",7263,1,237322
12,10,390505,"50th-Woodland",7251,1,237322
12,10,390506,"50th-Woodland",7257,1,237322
12,10,390507,"50th-Woodland",7252,1,237322
12,10,390508,"50th-Woodland",7253,1,237322
12,10,390509,"50th-Woodland",7256,1,237322
12,10,390510,"50th-Woodland",7254,1,237322
12,10,390511,"50th-Woodland",7251,1,237322
12,10,390512,"50th-Woodland",7255,1,237322
14,10,841482,"Oxford Valley Mall via Neshaminy Mall",1063,0,237332
14,10,841483,"Neshaminy Mall",1056,0,237331
14,10,841484,"Oxford Valley Mall via Neshaminy Mall",1055,0,237332
14,10,841485,"Neshaminy Mall",1065,0,237331
14,10,841486,"Oxford Valley Mall via Neshaminy Mall",1058,0,237332
14,10,841487,"Oxford Valley Mall via Neshaminy Mall",1054,0,237332
14,10,841488,"Neshaminy Mall",1055,0,237331
14,10,841489,"Caroline-Comly",1058,0,237326
14,10,841490,"Neshaminy Mall",1051,0,237331
14,10,841491,"Oxford Valley Mall via Neshaminy Mall",1059,0,237332
14,10,841492,"Byberry Industrial Park",1060,0,237328
14,10,841493,"Caroline-Comly",1061,0,237326
