route_id,route_short_name,route_long_name,route_desc,agency_id,route_type,route_color,route_text_color,route_url
AIR,Airport Line,Airport Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHE,Chestnut Hill East Line,Chestnut Hill East Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHW,Chestnut Hill West Line,Chestnut Hill West Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
LAN,Lansdale/Doylestown Line,Lansdale/Doylestown Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
MED,Media/Elwyn Line,Media/Elwyn Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
FOX,Fox Chase Line,Fox Chase Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
NOR,Manayunk/Norristown Line,Manayunk/Norristown Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
PAO,Paoli/Thorndale Line,Paoli/Thorndale Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
CYN,Cynwyd Line,Cynwyd Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
TRE,Trenton Line,Trenton Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
WAR,Warminster Line,Warminster Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
WIL,Wilmington/Newark Line,Wilmington/Newark Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
WTR,West Trenton Line,West Trenton Line,,SEPTA,2,45637A,FFFFFF,http://www.septa.org/schedules/rail/index.html
