trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
MED_1390_V25_M,23:22:00,23:22:00,90301,2,0,0
MED_1390_V25_M,23:25:00,23:25:00,90302,4,0,0
MED_1390_V25_M,23:27:00,23:27:00,90303,5,0,0
MED_1390_V25_M,23:29:00,23:29:00,90304,6,0,0
MED_1390_V25_M,23:31:00,23:31:00,90305,7,0,0
MED_1390_V25_M,23:33:00,23:33:00,90306,8,0,0
MED_1390_V25_M,23:36:00,23:36:00,90307,10,0,0
MED_1390_V25_M,23:37:00,23:37:00,90308,11,0,0
MED_1390_V25_M,23:38:00,23:38:00,90309,12,0,0
MED_1390_V25_M,23:39:00,23:39:00,90310,13,0,0
MED_1390_V25_M,23:40:00,23:40:00,90311,14,0,0
MED_1390_V25_M,23:42:00,23:42:00,90312,15,0,0
MED_1390_V25_M,23:43:00,23:43:00,90313,17,0,0
MED_1390_V25_M,23:45:00,23:45:00,90314,18,0,0
MED_1390_V25_M,23:49:00,23:49:00,90406,20,0,0
MED_1390_V25_M,23:52:00,23:52:00,90004,23,0,0
MED_1390_V25_M,23:57:00,23:57:00,90005,27,0,0
MED_1390_V25_M,24:02:00,24:02:00,90006,29,0,0
MED_1393_V25_M,24:17:00,24:17:00,90006,1,0,0
MED_1393_V25_M,24:22:00,24:22:00,90005,3,0,0
MED_1393_V25_M,24:26:00,24:26:00,90004,7,0,0
MED_1393_V25_M,24:28:00,24:28:00,90406,10,0,0
MED_1393_V25_M,24:31:00,24:31:00,90314,12,0,0
MED_1393_V25_M,24:32:00,24:32:00,90313,13,0,0
MED_1393_V25_M,24:34:00,24:34:00,90312,15,0,0
MED_1393_V25_M,24:36:00,24:36:00,90311,16,0,0
MED_1393_V25_M,24:37:00,24:37:00,90310,17,0,0
MED_1393_V25_M,24:38:00,24:38:00,90309,18,0,0
MED_1393_V25_M,24:40:00,24:40:00,90308,19,0,0
MED_1393_V25_M,24:42:00,24:42:00,90307,20,0,0
MED_1393_V25_M,24:43:00,24:43:00,90306,22,0,0
MED_1393_V25_M,24:45:00,24:45:00,90305,23,0,0
MED_1393_V25_M,24:47:00,24:47:00,90304,24,0,0
MED_1393_V25_M,24:49:00,24:49:00,90303,25,0,0
MED_1393_V25_M,24:51:00,24:51:00,90302,26,0,0
MED_1393_V25_M,24:54:00,24:54:00,90301,28,0,0
PAO_1502_V50_M,06:34:00,06:34:00,90501,1,0,0
PAO_1502_V50_M,06:39:00,06:39:00,90502,3,0,0
PAO_1502_V50_M,06:44:00,06:44:00,90503,5,0,0
PAO_1502_V50_M,06:46:00,06:46:00,90504,6,0,0
PAO_1502_V50_M,06:51:00,06:51:00,90505,9,0,0
PAO_1502_V50_M,06:55:00,06:55:00,90506,10,0,0
PAO_1502_V50_M,06:58:00,06:58:00,90507,11,0,0
PAO_1502_V50_M,07:00:00,07:00:00,90508,12,0,0
PAO_1502_V50_M,07:02:00,07:02:00,90509,13,0,0
PAO_1502_V50_M,07:04:00,07:04:00,90510,14,0,0
PAO_1502_V50_M,07:06:00,07:06:00,90511,16,0,0
PAO_1502_V50_M,07:08:00,07:08:00,90512,17,0,0
PAO_1502_V50_M,07:10:00,07:10:00,90513,18,0,0
PAO_1502_V50_M,07:12:00,07:12:00,90514,19,0,0
PAO_1502_V50_M,07:15:00,07:15:00,90515,21,0,0
PAO_1502_V50_M,07:18:00,07:18:00,90516,22,0,0
PAO_1502_V50_M,07:21:00,07:21:00,90517,23,0,0
PAO_1502_V50_M,07:23:00,07:23:00,90518,24,0,0
PAO_1502_V50_M,07:25:00,07:25:00,90519,25,0,0
PAO_1502_V50_M,07:27:00,07:27:00,90520,26,0,0
PAO_1502_V50_M,07:29:00,07:29:00,90521,27,0,0
PAO_1502_V50_M,07:31:00,07:31:00,90522,29,0,0
PAO_1502_V50_M,07:41:00,07:41:00,90004,40,0,0
PAO_1502_V50_M,07:45:00,07:45:00,90005,44,0,0
PAO_1502_V50_M,07:48:00,07:48:00,90006,46,0,0
