route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
WIL,M1,WIL_232_V26_M,Center City Philadelphia,232,232,203406,0
AIR,M2,AIR_403_V50_M,Airport Terminal E F,403,403,007401,1
WTR,M1,WTR_4344_V27_M,West Trenton,4344,4344,406327,0
PAO,M2,PAO_5316_V51_M,Center City Philadelphia,5316,5316,505004,0
WIL,M2,WIL_5229_V51_M,Wilmington,5229,5229,007203,1
WIL,M1,WIL_223_V27_M,Wilmington,223,223,007203,1
NOR,M2,NOR_3228_V50_M,Norristown - Elm Street,3228,3228,406228,0
FOX,M2,FOX_831_V50_M,Center City Philadelphia,831,831,815004,1
AIR,M2,AIR_473_V50_M,Airport Terminal E F,473,473,007401,1
AIR,M1,AIR_4304_V27_M,Center City Philadelphia,4304,4304,401406,0
LAN,M2,LAN_5341_V51_M,Center City Philadelphia,5341,5341,538007,1
WTR,M2,WTR_5304_V50_M,West Trenton,5304,5304,004327,0
AIR,M2,AIR_444_V50_M,Center City Philadelphia,444,444,401406,0
WAR,M2,WAR_464_V50_M,Warminster,464,464,406417,0
CHE,M2,CHE_739_V51_M,Center City Philadelphia,739,739,720007,1
WAR,M2,WAR_473_V50_M,Center City Philadelphia,473,473,417007,1
LAN,M2,LAN_5239_V51_M,Center City Philadelphia,5239,5239,538007,1
CHE,M2,CHE_716_V51_M,Chestnut Hill East,716,716,004720,0
WIL,M2,WIL_2532_V50_M,Center City Philadelphia,2532,2532,205406,0
MED,M1,MED_3858_V25_M,Center City Philadelphia,3858,3858,301406,0
PAO,M1,PAO_574_V26_M,Center City Philadelphia,574,574,505004,0
NOR,M2,NOR_2309_V50_M,Center City Philadelphia,2309,2309,228007,1
MED,M2,MED_9345_V51_M,Media/Elwyn,9345,9345,007301,1
WAR,M2,WAR_424_V50_M,Warminster,424,424,406417,0
AIR,M2,AIR_424_V50_M,Center City Philadelphia,424,424,401406,0
LAN,M1,LAN_523_V25_M,Center City Philadelphia,523,523,538007,1
WIL,M2,WIL_2500_V50_M,Center City Philadelphia,2500,2500,203406,0
PAO,M2,PAO_1543_V50_M,Paoli/Thorndale,1543,1543,006501,1
PAO,M2,PAO_3561_V52_M,Malvern,3561,3561,007505,1
WIL,M2,WIL_2524_V50_M,Center City Philadelphia,2524,2524,203406,0
PAO,M2,PAO_1507_V50_M,Paoli/Thorndale,1507,1507,006505,1
AIR,M1,AIR_464_V25_M,Center City Philadelphia,464,464,401406,0
LAN,M1,LAN_575_V25_M,Center City Philadelphia,575,575,538007,1
TRE,M2,TRE_717_V51_M,Trenton,717,717,007701,1
MED,M2,MED_2303_V50_M,Elwyn,2303,2303,007301,1
AIR,M2,AIR_421_V50_M,Airport Terminal E F,421,421,007401,1
LAN,M2,LAN_5217_V51_M,Center City Philadelphia,5217,5217,538007,1
AIR,M2,AIR_405_V50_M,Airport Terminal E F,405,405,007401,1
NOR,M2,NOR_2333_V50_M,Center City Philadelphia,2333,2333,228007,1
FOX,M2,FOX_822_V50_M,Fox Chase,822,822,004815,0
PAO,M1,PAO_562_V26_M,Center City Philadelphia,562,562,505004,0
WTR,M1,WTR_4312_V27_M,West Trenton,4312,4312,406327,0
AIR,M2,AIR_9454_V50_M,Center City Philadelphia,9454,9454,401007,0
LAN,M1,LAN_574_V26_M,Doylestown,574,574,004538,0
WAR,M2,WAR_428_V50_M,Warminster,428,428,406417,0
LAN,M2,LAN_6535_V51_M,Center City Philadelphia,6535,6535,538004,1
CHE,M2,CHE_715_V51_M,Center City Philadelphia,715,715,720007,1
PAO,M2,PAO_1522_V50_M,Center City Philadelphia,1522,1522,501006,0
MED,M2,MED_9316_V52_M,Center City Philadelphia,9316,9316,301007,0
CHE,M1,CHE_735_V26_M,Center City Philadelphia,735,735,720007,1
CHE,M2,CHE_705_V51_M,Center City Philadelphia,705,705,720007,1
WTR,M2,WTR_5324_V51_M,West Trenton,5324,5324,004327,0
AIR,M1,AIR_3441_V27_M,Airport Terminal E F,3441,3441,007401,1
NOR,M2,NOR_6213_V52_M,Center City Philadelphia,6213,6213,228004,1
MED,M2,MED_2331_V50_M,Elwyn,2331,2331,007301,1
CHE,M2,CHE_704_V51_M,Chestnut Hill East,704,704,004720,0
NOR,M2,NOR_2325_V50_M,Center City Philadelphia,2325,2325,228007,1
PAO,M2,PAO_1534_V50_M,Center City Philadelphia,1534,1534,505006,0
MED,M1,MED_8389_V25_M,Elwyn,8389,8389,007301,1
WAR,M2,WAR_474_V50_M,Glenside,474,474,406411,0
CHE,M2,CHE_735_V51_M,Center City Philadelphia,735,735,720007,1
AIR,M2,AIR_9418_V50_M,Center City Philadelphia,9418,9418,401007,0
AIR,M2,AIR_448_V50_M,Center City Philadelphia,448,448,401406,0
WTR,M2,WTR_5348_V51_M,West Trenton,5348,5348,004327,0
WTR,M2,WTR_3517_V52_M,Center City Philadelphia,3517,3517,327007,1
CHE,M2,CHE_730_V51_M,Chestnut Hill East,730,730,004720,0
FOX,M2,FOX_842_V50_M,Fox Chase,842,842,004815,0
WTR,M2,WTR_5320_V51_M,West Trenton,5320,5320,004327,0
NOR,M2,NOR_2565_V50_M,Center City Philadelphia,2565,2565,228007,1
CHE,M2,CHE_722_V51_M,Chestnut Hill East,722,722,004720,0
MED,M2,MED_3210_V50_M,Center City Philadelphia,3210,3210,301406,0
AIR,M1,AIR_3425_V27_M,Airport Terminal E F,3425,3425,007401,1
LAN,M2,LAN_5219_V51_M,Center City Philadelphia,5219,5219,538007,1
PAO,M1,PAO_575_V25_M,Malvern,575,575,007505,1
AIR,M1,AIR_4370_V27_M,Center City Philadelphia,4370,4370,401406,0
TRE,M2,TRE_704_V51_M,Center City Philadelphia,704,704,701004,0
WAR,M2,WAR_478_V50_M,Glenside,478,478,406411,0
AIR,M1,AIR_3409_V27_M,Airport Terminal E F,3409,3409,007401,1
CHE,M2,CHE_706_V51_M,Chestnut Hill East,706,706,004720,0
PAO,M1,PAO_530_V26_M,Center City Philadelphia,530,530,505004,0
PAO,M1,PAO_539_V25_M,Malvern,539,539,007505,1
AIR,M1,AIR_476_V26_M,Center City Philadelphia,476,476,401406,0
WTR,M1,WTR_3441_V27_M,Center City Philadelphia,3441,3441,327007,1
WTR,M1,WTR_3433_V27_M,Center City Philadelphia,3433,3433,327007,1
MED,M1,MED_3864_V25_M,Center City Philadelphia,3864,3864,301406,0
PAO,M2,PAO_3517_V52_M,Thorndale,3517,3517,007501,1
AIR,M1,AIR_3417_V27_M,Airport Terminal E F,3417,3417,007401,1
AIR,M2,AIR_412_V50_M,Center City Philadelphia,412,412,401406,0
WAR,M2,WAR_412_V50_M,Warminster,412,412,406417,0
PAO,M2,PAO_3525_V52_M,Thorndale,3525,3525,007501,1
PAO,M1,PAO_547_V26_M,Thorndale,547,547,007501,1
AIR,M2,AIR_9423_V50_M,Airport,9423,9423,007401,1
WAR,M2,WAR_441_V50_M,Center City Philadelphia,441,441,417007,1
AIR,M1,AIR_413_V25_M,Airport Terminal E F,413,413,007401,1
AIR,M2,AIR_9471_V50_M,Airport,9471,9471,007401,1
WIL,M2,WIL_2508_V50_M,Center City Philadelphia,2508,2508,203406,0
PAO,M2,PAO_1539_V50_M,Paoli/Thorndale,1539,1539,006501,1
WTR,M2,WTR_3509_V52_M,Center City Philadelphia,3509,3509,327007,1
LAN,M2,LAN_2532_V50_M,Doylestown,2532,2532,406538,0
PAO,M2,PAO_5324_V51_M,Center City Philadelphia,5324,5324,505004,0
NOR,M1,NOR_211_V27_M,Center City Philadelphia,211,211,228007,1
WIL,M2,WIL_2522_V50_M,Center City Philadelphia,2522,2522,203406,0
WIL,M1,WIL_207_V26_M,Wilmington,207,207,007203,1
WAR,M1,WAR_426_V25_M,Warminster,426,426,406417,0
AIR,M2,AIR_9462_V50_M,Center City Philadelphia,9462,9462,401007,0
LAN,M2,LAN_2524_V50_M,Doylestown,2524,2524,406538,0
WTR,M2,WTR_366_V50_M,West Trenton,366,366,406327,0
PAO,M2,PAO_1514_V50_M,Center City Philadelphia,1514,1514,501006,0
WAR,M2,WAR_452_V50_M,Warminster,452,452,406417,0
MED,M1,MED_8391_V25_M,Elwyn,8391,8391,007301,1
NOR,M1,NOR_228_V26_M,Norristown - Elm Street,228,228,406228,0
FOX,M2,FOX_847_V50_M,Center City Philadelphia,847,847,815004,1
AIR,M2,AIR_468_V50_M,Center City Philadelphia,468,468,401406,0
FOX,M2,FOX_846_V50_M,Fox Chase,846,846,004815,0
AIR,M2,AIR_407_V50_M,Airport Terminal E F,407,407,007401,1
AIR,M2,AIR_9451_V50_M,Airport,9451,9451,007401,1
AIR,M1,AIR_468_V25_M,Center City Philadelphia,468,468,401406,0
NOR,M2,NOR_6207_V50_M,Center City Philadelphia,6207,6207,228004,1
WIL,M2,WIL_5207_V51_M,Wilmington,5207,5207,007203,1
TRE,M2,TRE_725_V51_M,Trenton,725,725,007701,1
NOR,M2,NOR_6217_V52_M,Center City Philadelphia,6217,6217,228004,1
LAN,M2,LAN_5225_V51_M,Center City Philadelphia,5225,5225,538007,1
MED,M1,MED_8387_V25_M,Elwyn,8387,8387,007301,1
AIR,M2,AIR_432_V50_M,Center City Philadelphia,432,432,401406,0
AIR,M2,AIR_9410_V50_M,Center City Philadelphia,9410,9410,401007,0
PAO,M2,PAO_1542_V50_M,Center City Philadelphia,1542,1542,505006,0
AIR,M1,AIR_3449_V27_M,Airport Terminal E F,3449,3449,007401,1
PAO,M2,PAO_1538_V50_M,Center City Philadelphia,1538,1538,501006,0
