fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,6.70,USD,1,,
2,3.95,USD,1,,
3,8.75,USD,1,,
4,3.95,USD,1,,
5,7.60,USD,1,,
6,6.20,USD,1,,
7,6.00,USD,1,,
8,5.80,USD,1,,
9,5.60,USD,1,,
10,5.55,USD,1,,
11,5.45,USD,1,,
12,5.35,USD,1,,
13,5.20,USD,1,,
14,5.20,USD,1,,
15,5.20,USD,1,,
16,5.50,USD,1,,
17,5.75,USD,1,,
18,6.05,USD,1,,
19,6.30,USD,1,,
20,6.60,USD,1,,
21,6.90,USD,1,,
22,7.45,USD,1,,
23,7.80,USD,1,,
24,6.60,USD,1,,
25,7.80,USD,1,,
26,8.25,USD,1,,
27,7.70,USD,1,,
28,3.95,USD,1,,
29,7.45,USD,1,,
30,7.00,USD,1,,
31,6.85,USD,1,,
32,6.45,USD,1,,
33,6.05,USD,1,,
34,5.45,USD,1,,
35,5.15,USD,1,,
36,4.75,USD,1,,
37,4.75,USD,1,,
38,4.75,USD,1,,
39,4.75,USD,1,,
40,4.55,USD,1,,
41,4.45,USD,1,,
42,4.15,USD,1,,
43,3.95,USD,1,,
44,3.95,USD,1,,
45,12.20,USD,1,,
46,8.30,USD,1,,
47,9.05,USD,1,,
48,9.30,USD,1,,
49,8.40,USD,1,,
50,9.10,USD,1,,
51,3.95,USD,1,,
52,6.70,USD,1,,
53,8.75,USD,1,,
54,3.95,USD,1,,
55,7.90,USD,1,,
56,6.50,USD,1,,
57,6.25,USD,1,,
58,6.10,USD,1,,
59,5.90,USD,1,,
60,5.85,USD,1,,
61,5.75,USD,1,,
62,5.60,USD,1,,
63,5.50,USD,1,,
64,5.50,USD,1,,
65,5.50,USD,1,,
66,5.80,USD,1,,
67,6.00,USD,1,,
68,6.30,USD,1,,
69,6.60,USD,1,,
70,6.90,USD,1,,
71,7.20,USD,1,,
72,7.75,USD,1,,
73,8.10,USD,1,,
74,6.90,USD,1,,
75,8.05,USD,1,,
76,8.50,USD,1,,
77,7.95,USD,1,,
78,3.95,USD,1,,
79,7.75,USD,1,,
80,7.30,USD,1,,
81,7.15,USD,1,,
82,6.75,USD,1,,
83,6.35,USD,1,,
84,5.75,USD,1,,
85,5.40,USD,1,,
86,5.15,USD,1,,
87,5.15,USD,1,,
88,5.15,USD,1,,
89,5.15,USD,1,,
90,4.95,USD,1,,
91,4.85,USD,1,,
92,4.60,USD,1,,
93,4.45,USD,1,,
94,3.95,USD,1,,
95,12.50,USD,1,,
96,8.55,USD,1,,
97,9.35,USD,1,,
98,9.60,USD,1,,
99,8.70,USD,1,,
100,9.35,USD,1,,
101,8.75,USD,1,,
102,8.75,USD,1,,
103,6.70,USD,1,,
104,5.30,USD,1,,
105,12.90,USD,1,,
106,11.50,USD,1,,
107,11.25,USD,1,,
108,11.10,USD,1,,
109,10.90,USD,1,,
110,10.80,USD,1,,
111,10.75,USD,1,,
112,10.60,USD,1,,
113,10.50,USD,1,,
114,10.50,USD,1,,
115,10.50,USD,1,,
116,10.80,USD,1,,
117,11.00,USD,1,,
118,11.30,USD,1,,
119,11.60,USD,1,,
120,11.90,USD,1,,
121,12.20,USD,1,,
122,12.75,USD,1,,
123,13.10,USD,1,,
124,11.90,USD,1,,
125,13.05,USD,1,,
126,13.50,USD,1,,
127,12.95,USD,1,,
