trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
145,11:50:00,11:50:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
145,11:56:00,11:56:00,70241,2,San Francisco,0,0,4121.0312279651,1,,,,,1,1,,,,
145,12:02:00,12:02:00,70231,3,San Francisco,0,0,10016.3784446975,1,,,,,1,1,,,,
145,12:06:00,12:06:00,70221,4,San Francisco,0,0,13203.4729348399,1,,,,,1,1,,,,
145,12:12:00,12:12:00,70211,5,San Francisco,0,0,17517.6746005032,1,,,,,1,1,,,,
145,12:16:00,12:16:00,70201,6,San Francisco,0,0,20625.8583537593,1,,,,,1,1,,,,
145,12:20:00,12:20:00,70191,7,San Francisco,0,0,24569.4408440563,1,,,,,1,1,,,,
145,12:25:00,12:25:00,70171,8,San Francisco,0,0,27117.3871635043,1,,,,,1,1,,,,
145,12:29:00,12:29:00,70161,9,San Francisco,0,0,29128.1469454012,1,,,,,1,1,,,,
145,12:35:00,12:35:00,70141,10,San Francisco,0,0,34729.7518755537,1,,,,,1,1,,,,
145,12:40:00,12:40:00,70131,11,San Francisco,0,0,38221.3674485055,1,,,,,1,1,,,,
145,12:43:00,12:43:00,70121,12,San Francisco,0,0,40206.8878329039,1,,,,,1,1,,,,
145,12:51:00,12:51:00,70101,13,San Francisco,0,0,44899.1588574731,1,,,,,1,1,,,,
145,12:56:00,12:56:00,70091,14,San Francisco,0,0,47034.4988845676,1,,,,,1,1,,,,
145,12:59:00,12:59:00,70081,15,San Francisco,0,0,49358.9157387437,1,,,,,1,1,,,,
145,13:05:00,13:05:00,70061,16,San Francisco,0,0,53677.2603393453,1,,,,,1,1,,,,
145,13:10:00,13:10:00,70051,17,San Francisco,0,0,57827.0774448156,1,,,,,1,1,,,,
145,13:14:00,13:14:00,70041,18,San Francisco,0,0,60796.0539504916,1,,,,,1,1,,,,
145,13:21:00,13:21:00,70031,19,San Francisco,0,0,67471.2383195063,1,,,,,1,1,,,,
145,13:27:00,13:27:00,70021,20,San Francisco,0,0,72889.701995615,1,,,,,1,1,,,,
145,13:32:00,13:32:00,70011,21,San Francisco,0,0,75412.8477957101,1,,,,,1,1,,,,
147,12:50:00,12:50:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
147,12:56:00,12:56:00,70241,2,San Francisco,0,0,4121.0312279651,1,,,,,1,1,,,,
147,13:02:00,13:02:00,70231,3,San Francisco,0,0,10016.3784446975,1,,,,,1,1,,,,
147,13:06:00,13:06:00,70221,4,San Francisco,0,0,13203.4729348399,1,,,,,1,1,,,,
147,13:12:00,13:12:00,70211,5,San Francisco,0,0,17517.6746005032,1,,,,,1,1,,,,
147,13:16:00,13:16:00,70201,6,San Francisco,0,0,20625.8583537593,1,,,,,1,1,,,,
147,13:20:00,13:20:00,70191,7,San Francisco,0,0,24569.4408440563,1,,,,,1,1,,,,
147,13:25:00,13:25:00,70171,8,San Francisco,0,0,27117.3871635043,1,,,,,1,1,,,,
147,13:29:00,13:29:00,70161,9,San Francisco,0,0,29128.1469454012,1,,,,,1,1,,,,
147,13:35:00,13:35:00,70141,10,San Francisco,0,0,34729.7518755537,1,,,,,1,1,,,,
147,13:40:00,13:40:00,70131,11,San Francisco,0,0,38221.3674485055,1,,,,,1,1,,,,
147,13:43:00,13:43:00,70121,12,San Francisco,0,0,40206.8878329039,1,,,,,1,1,,,,
147,13:51:00,13:51:00,70101,13,San Francisco,0,0,44899.1588574731,1,,,,,1,1,,,,
147,13:56:00,13:56:00,70091,14,San Francisco,0,0,47034.4988845676,1,,,,,1,1,,,,
