shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
40251,37.903638,-122.519185,10001
40251,37.903660,-122.519261,10002
40251,37.903702,-122.519434,10003
40251,37.903727,-122.519550,10004
40251,37.903749,-122.519649,10005
40251,37.903763,-122.519737,10006
40251,37.903772,-122.519784,10007
40251,37.903791,-122.519967,10008
40251,37.903834,-122.520658,10009
40251,37.903880,-122.521282,10010
40251,37.903841,-122.521386,10011
40251,37.903850,-122.521531,10012
40251,37.903854,-122.521737,10013
40251,37.903851,-122.522001,10014
40251,37.903840,-122.522161,10015
40251,37.903833,-122.522224,10016
40251,37.903829,-122.522271,10017
40251,37.903823,-122.522321,10018
40251,37.903801,-122.522441,10019
40251,37.903788,-122.522502,10020
40251,37.903778,-122.522552,10021
40251,37.903758,-122.522634,10022
40251,37.903743,-122.522700,10023
40251,37.903689,-122.522885,10024
40251,37.903616,-122.523097,10025
40251,37.903541,-122.523283,10026
40251,37.903456,-122.523449,10027
40251,37.903367,-122.523594,10028
40251,37.903268,-122.523724,10029
40251,37.903164,-122.523843,10030
40251,37.903057,-122.523954,10031
40251,37.902938,-122.524057,10032
40251,37.902776,-122.524178,10033
40251,37.902309,-122.524474,10034
40251,37.902072,-122.524613,10035
40251,37.901907,-122.524713,10036
40251,37.901837,-122.524758,10037
40251,37.901698,-122.524867,10038
40251,37.901592,-122.524966,10039
40251,37.901503,-122.525066,10040
40251,37.901424,-122.525178,10041
40251,37.901355,-122.525301,10042
40251,37.901292,-122.525428,10043
40251,37.901288,-122.525590,10044
40251,37.901208,-122.525760,10045
40251,37.901007,-122.526225,10046
40251,37.901007,-122.526225,20001
40251,37.900855,-122.526579,20002
40251,37.900801,-122.526693,20003
40251,37.900741,-122.526826,20004
40251,37.900656,-122.527008,20005
40251,37.900625,-122.527078,20006
40251,37.900516,-122.527343,20007
40251,37.900445,-122.527541,20008
40251,37.900411,-122.527664,20009
40251,37.900392,-122.527791,20010
40251,37.900383,-122.527928,20011
40251,37.900385,-122.528079,20012
40251,37.900399,-122.528247,20013
40251,37.900428,-122.528443,20014
40251,37.900455,-122.528590,20015
40251,37.900470,-122.528657,20016
40251,37.900483,-122.528712,20017
40251,37.900567,-122.529104,20018
40251,37.900567,-122.529104,30001
40251,37.900541,-122.529201,30002
40251,37.900574,-122.529331,30003
40251,37.900660,-122.529669,30004
40251,37.900765,-122.530120,30005
40251,37.900836,-122.530395,30006
40251,37.901012,-122.530924,30007
40251,37.901146,-122.531264,30008
40251,37.901713,-122.532501,30009
40251,37.901791,-122.532684,30010
40251,37.901791,-122.532684,40001
40251,37.902082,-122.533360,40002
40251,37.902275,-122.533802,40003
40251,37.902655,-122.534632,40004
40251,37.902920,-122.535177,40005
40251,37.903426,-122.536182,40006
40251,37.903523,-122.536389,40007
40251,37.903523,-122.536389,50001
40251,37.903569,-122.536487,50002
40251,37.903719,-122.536804,50003
40251,37.903761,-122.536920,50004
40251,37.903767,-122.536978,50005
40251,37.903779,-122.538138,50006
40251,37.903767,-122.538396,50007
40251,37.903772,-122.538666,50008
40251,37.903772,-122.538666,60001
40251,37.903783,-122.539134,60002
40251,37.903783,-122.539411,60003
40251,37.903787,-122.539752,60004
40251,37.903787,-122.540433,60005
40251,37.903787,-122.540841,60006
40251,37.903798,-122.540954,60007
40251,37.903823,-122.541049,60008
40251,37.903956,-122.541368,60009
40251,37.904361,-122.542266,60010
40251,37.904459,-122.542502,60011
40251,37.904725,-122.543096,60012
40251,37.904847,-122.543319,60013
40251,37.905026,-122.543648,60014
40251,37.905026,-122.543648,70001
40251,37.905245,-122.544049,70002
40251,37.905765,-122.544863,70003
40251,37.906106,-122.545455,70004
40251,37.906052,-122.545689,70005
40251,37.905866,-122.546494,70006
40251,37.905798,-122.546769,70007
40251,37.905744,-122.546956,70008
40251,37.905648,-122.547291,70009
40251,37.905614,-122.547377,70010
40251,37.905614,-122.547377,80001
40251,37.905574,-122.547479,80002
40251,37.905440,-122.547691,80003
40251,37.905261,-122.547519,80004
40251,37.904915,-122.547248,80005
40251,37.904819,-122.547161,80006
40251,37.904720,-122.547043,80007
40251,37.904633,-122.546917,80008
40251,37.904461,-122.546562,80009
40251,37.904314,-122.546305,80010
40251,37.904254,-122.546228,80011
40251,37.904038,-122.545846,80012
40251,37.903874,-122.545398,80013
40251,37.903851,-122.545365,80014
40251,37.903602,-122.544904,80015
40251,37.903371,-122.544243,80016
40251,37.903299,-122.543952,80017
40251,37.903150,-122.543456,80018
40251,37.903086,-122.543339,80019
40251,37.903001,-122.543197,80020
40251,37.902876,-122.543050,80021
40251,37.902750,-122.542957,80022
40251,37.902631,-122.542867,80023
40251,37.902415,-122.542688,80024
40251,37.902153,-122.542467,80025
40251,37.901972,-122.542286,80026
40251,37.901769,-122.542072,80027
40251,37.901563,-122.541848,80028
40251,37.901442,-122.541706,80029
40251,37.901442,-122.541706,90001
40251,37.901325,-122.541568,90002
40251,37.899580,-122.539530,90003
40251,37.899497,-122.539442,90004
40251,37.898757,-122.538662,90005
40251,37.898378,-122.538248,90006
40251,37.898164,-122.537867,90007
40251,37.897645,-122.537241,90008
40251,37.897632,-122.537226,90009
40251,37.897632,-122.537226,100001
40251,37.897483,-122.537046,100002
40251,37.897333,-122.536862,100003
40251,37.896924,-122.536378,100004
40251,37.896875,-122.536340,100005
40251,37.896634,-122.536211,100006
40251,37.896583,-122.536171,100007
40251,37.896034,-122.535573,100008
40251,37.895583,-122.535054,100009
40251,37.895440,-122.534877,100010
40251,37.895334,-122.534719,100011
40251,37.895237,-122.534547,100012
40251,37.895140,-122.534378,100013
