stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
40003,40003,"Salesforce Transit Center-Bus Plaza Bay A",,  37.790076,-122.396058,1
40006,40006,"Folsom St & 2nd St",,  37.785438,-122.396756,1
40009,40009,"Howard St & 2nd St",,  37.786679,-122.398456,1
40012,40012,"4th St & Folsom St",,  37.781725,-122.400894,1
40019,40019,"7th St & Market St",,  37.780729,-122.412749,1
40021,40021,"Hyde St & McAllister St",,  37.781287,-122.415388,1
40022,40022,"McAllister St & Hyde St",,  37.780730,-122.415556,1
40023,40023,"SF Civic Center-Golden Gate Ave & Polk St",,  37.781196,-122.418609,1
40024,40024,"SF Civic Center-McAllister St & Polk St",,  37.780288,-122.418832,1
40025,40025,"Van Ness Ave & O'Farrell St",,  37.784809,-122.421400,1
40027,40027,"Van Ness Ave & Sutter St",,  37.787611,-122.421956,1
40028,40028,"Van Ness Ave & Bush St",,  37.788411,-122.421794,1
40029,40029,"Van Ness Ave & Sacramento St",,  37.791349,-122.422719,1
40030,40030,"Van Ness Ave & Clay St",,  37.792353,-122.422578,1
40031,40031,"Van Ness Ave & Filbert St",,  37.799547,-122.424348,1
40032,40032,"Van Ness Ave & Union St",,  37.798482,-122.423836,1
40033,40033,"Lombard St & Fillmore St",,  37.799722,-122.436403,1
40034,40034,"Lombard St & Fillmore St",,  37.799970,-122.435906,1
40035,40035,"Richardson Ave & Lyon St",,  37.800480,-122.447514,1
40036,40036,"Richardson Ave & Francisco St",,  37.800251,-122.446737,1
40037,40037,"Golden Gate Bridge Toll Plaza",,  37.806715,-122.475476,1
40038,40038,"Golden Gate Bridge Toll Plaza",,  37.807365,-122.475262,1
40039,40039,"Van Ness Ave & Chestnut St",,  37.802443,-122.424638,1
40040,40040,"Van Ness Ave & Chestnut St",,  37.802086,-122.424847,1
40041,40041,"North Point St & Hyde St",,  37.805668,-122.420549,1
40042,40042,"North Point St & Hyde St",,  37.805825,-122.419927,1
40043,40043,"North Point St & Jones St",,  37.806068,-122.417191,1
40044,40044,"North Point St & Jones St",,  37.806151,-122.417564,1
40045,40045,"North Point St & Stockton St",,  37.806898,-122.410622,1
40046,40046,"North Point St & Stockton St",,  37.807058,-122.410150,1
40047,40047,"Battery St & Filbert St",,  37.802125,-122.401847,1
40048,40048,"Sansome St & Filbert St",,  37.802329,-122.402956,1
40049,40049,"Battery St & Jackson St",,  37.796852,-122.400801,1
40050,40050,"Sansome St & Pacific Ave",,  37.797672,-122.402024,1
40051,40051,"Battery St & Sacramento St",,  37.794220,-122.400245,1
40052,40052,"Sansome St & Sacramento St",,  37.794252,-122.401339,1
40053,40053,"Battery St & Pine St",,  37.791977,-122.399797,1
40054,40054,"1st St & Mission St",,  37.789536,-122.397367,1
40055,40055,"The Embarcadero & Bay St",,  37.806607,-122.406061,1
40057,40057,"Fremont St & Mission St",,  37.790629,-122.396843,1
40058,40058,"Battery St & Green St",,  37.800531,-122.401533,1
40063,40063,"Van Ness Ave & Chestnut St",,  37.802339,-122.424900,1
40065,40065,"North Point St & Polk St",,  37.805315,-122.423899,1
40066,40066,"Battery St & Broadway",,  37.798290,-122.401079,1
40068,40068,"Howard St & Fremont St",,  37.789476,-122.394961,1
40069,40069,"Pine St & Battery St",,  37.792382,-122.399288,1
40074,40074,"Fremont St & Mission St",,  37.790422,-122.396574,1
40078,40078,"Van Ness Ave & Vallejo St",,  37.796861,-122.423502,1
40082,40082,"Sansome St & Lombard St",,  37.803954,-122.403287,1
40083,40083,"Hyde St & Grove St",,  37.779548,-122.415178,1
40090,40090,"Bridgeway & Ebbtide St",,  37.870220,-122.503700,2
40091,40091,"Bridgeway & Gate 5 Rd",,  37.871156,-122.503872,2
40092,40092,"Bridgeway & Nevada St",,  37.865462,-122.499229,2
40093,40093,"Bridgeway & Nevada St",,  37.865279,-122.499369,2
40094,40094,"Bridgeway & Easterby St",,  37.861785,-122.493880,2
40095,40095,"Bridgeway & Easterby St",,  37.861969,-122.493621,2
40096,40096,"Bridgeway & Napa St",,  37.861065,-122.489316,2
40097,40097,"Bridgeway & Napa St",,  37.861559,-122.489930,2
40098,40098,"Bridgeway & Pine St",,  37.859270,-122.485272,2
40099,40099,"Bridgeway & Turney St",,  37.859658,-122.485897,2
40100,40100,"Bridgeway & Caledonia Ave",,  37.858607,-122.483297,2
40101,40101,"Bridgeway & El Portal",,  37.855904,-122.479615,2
40102,40102,"Bridgeway & Bay St",,  37.856832,-122.480225,2
40104,40104,"2nd St & Main St",,  37.848732,-122.480841,2
40105,40105,"2nd St & Main St",,  37.849061,-122.480701,2
40106,40106,"Alexander Ave & East Rd",,  37.844055,-122.478138,2
40107,40107,"Alexander Ave & East Rd",,  37.844908,-122.477806,2
40108,40108,"Alexander Ave & Danes Dr",,  37.838065,-122.483114,2
40110,40110,"Spencer Ave Bus Pad",,  37.853380,-122.493211,2
40111,40111,"Spencer Ave Bus Pad",,  37.852053,-122.490685,2
40112,40112,"Hwy 101 & Monte Mar Dr",,  37.854201,-122.492861,2
40113,40113,"Donahue St & Terners Dr",,  37.872277,-122.511577,2
40129,40129,"E Blithedale Ave & Tower Dr",,  37.903688,-122.519162,2
40130,40130,"E Blithedale Ave & Kipling Dr",,  37.903466,-122.519204,2
40131,40131,"E Blithedale Ave & Lomita Dr",,  37.901039,-122.526246,2
40132,40132,"E Blithedale Ave & Roque Moraes Dr",,  37.900263,-122.527689,2
40133,40133,"E Blithedale Ave & Mesa Ave",,  37.901838,-122.532652,2
40134,40134,"E Blithedale Ave & Nelson Ave",,  37.900667,-122.529940,2
40135,40135,"E Blithedale Ave & Alta Vista Ave",,  37.903569,-122.536354,2
40136,40136,"E Blithedale Ave & Hilarita Ave",,  37.901709,-122.532634,2
40137,40137,"E Blithedale Ave & East Dr",,  37.903808,-122.538665,2
40138,40138,"E Blithedale Ave & Elm Ave",,  37.902078,-122.533493,2
40139,40139,"E Blithedale Ave & Mountain View Ave",,  37.905048,-122.543629,2
40140,40140,"E Blithedale Ave & Walnut Ave",,  37.903731,-122.539545,2
40141,40141,"E Blithedale Ave & Hill St",,  37.905260,-122.544181,2
40142,40142,"Mill Valley Depot-Sunnyside Ave & Miller Ave",,  37.905662,-122.547407,2
40143,40143,"Miller Ave & Una Way",,  37.901406,-122.541756,2
40144,40144,"Miller Ave & Park Ave",,  37.901618,-122.541517,2
40145,40145,"Miller Ave & Montford Ave",,  37.897587,-122.537285,2
40146,40146,"Miller Ave & Locust Ave",,  37.898730,-122.538237,2
40147,40147,"Miller Ave & Reed St",,  37.895097,-122.534418,2
40148,40148,"Miller Ave & Reed St",,  37.895608,-122.534553,2
40149,40149,"Miller Ave & Camino Alto",,  37.892900,-122.530630,2
40150,40150,"Miller Ave & Camino Alto",,  37.893709,-122.531471,2
40151,40151,"Almonte Blvd & Miller Ave",,  37.887187,-122.524833,2
40152,40152,"Almonte Blvd & Miller Ave",,  37.887569,-122.524750,2
40153,40153,"Almonte Blvd & Rosemont Ave",,  37.883988,-122.524839,2
40154,40154,"Almonte Blvd & Rosemont Ave",,  37.883823,-122.524623,2
40155,40155,"Tam Junction-Shoreline Hwy & Almonte Blvd",,  37.881393,-122.524629,2
40156,40156,"Tam Junction-Shoreline Hwy & Almonte Blvd",,  37.881469,-122.524478,2
40157,40157,"Mill Valley Depot-Miller Ave & Sunnyside Ave",,  37.905514,-122.547370,2
40158,40158,"Strawberry-Reed Blvd & Belvedere Dr",,  37.898611,-122.513272,2
40162,40162,"Manzanita Park & Ride Lot",,  37.879611,-122.516368,2
40164,40164,"Tiburon Wye Bus Pad",,  37.903757,-122.516088,2
40169,40169,"Shoreline Hwy & Pohono St",,  37.879771,-122.515307,2
40170,40170,"Tiburon Wye Bus Pad",,  37.901905,-122.515461,2
40171,40171,"Tiburon Blvd & Hwy 101",,  37.902814,-122.514787,2
40172,40172,"Tiburon Blvd & Hwy 101",,  37.902489,-122.513783,2
40182,40182,"Reed Blvd & Redwood Hwy",,  37.900894,-122.514935,2
40187,40187,"Seminary Dr Bus Pad",,  37.889474,-122.517121,2
40188,40188,"Seminary Dr Bus Pad",,  37.888568,-122.516364,2
40225,40225,"Magnolia Ave & Frances Ave",,  37.946961,-122.546361,3
40267,40267,"Lucky Dr Bus Pad",,  37.937820,-122.517029,3
40268,40268,"Lucky Dr Bus Pad",,  37.938656,-122.516113,3
40275,40275,"Redwood Ave & Montecito Dr",,  37.926359,-122.529511,3
40276,40276,"Redwood Ave & Montecito Dr",,  37.926448,-122.529621,3
40277,40277,"Tamalpais Dr & Eastman Ave",,  37.925295,-122.523697,3
40278,40278,"Tamalpais Dr & Eastman Ave",,  37.925506,-122.523783,3
40279,40279,"Tamalpais Dr & Meadowsweet Dr",,  37.925198,-122.521737,3
40280,40280,"Tamalpais Dr & Madera Blvd",,  37.925268,-122.518959,3
40281,40281,"Tamalpais Dr & Casa Buena Dr",,  37.925031,-122.518511,3
40295,40295,"Paradise Dr Bus Pad",,  37.926494,-122.515203,3
40296,40296,"Paradise Dr Bus Pad",,  37.925443,-122.514032,3
40297,40297,"Magnolia Ave & Frances Ave",,  37.946831,-122.546363,3
40298,40298,"Magnolia Ave & Estelle Ave",,  37.948389,-122.548943,3
40299,40299,"Magnolia Ave & Skylark Dr",,  37.944587,-122.543015,3
40300,40300,"Magnolia Ave & Dartmouth Dr",,  37.945009,-122.542940,3
40301,40301,"Magnolia Ave & Bon Air Rd",,  37.943031,-122.540538,3
40302,40302,"Magnolia Ave & Bon Air Rd",,  37.943387,-122.540712,3
40303,40303,"Magnolia Ave & Ward St",,  37.935922,-122.535307,3
40304,40304,"Magnolia Ave & Ward St",,  37.936221,-122.535083,3
40305,40305,"Magnolia Ave & Madrone Ave",,  37.932578,-122.536064,3
40306,40306,"Magnolia Ave & Madrone Ave",,  37.932656,-122.535931,3
40307,40307,"Magnolia Ave & Park Way",,  37.929090,-122.533438,3
40308,40308,"Magnolia Ave & Alexander Ave",,  37.929469,-122.533919,3
40315,40315,"Sir Francis Drake Blvd & McAllister Ave",,  37.953231,-122.539987,3
40316,40316,"Sir Francis Drake Blvd & Wolfe Grade",,  37.952747,-122.538093,3
40317,40317,"Sir Francis Drake Blvd & Wolfe Grade",,  37.953216,-122.538898,3
40318,40318,"Sir Francis Drake Blvd & Bon Air Rd",,  37.950314,-122.533501,3
40319,40319,"Sir Francis Drake Blvd & Bon Air Rd",,  37.950709,-122.533856,3
40320,40320,"Sir Francis Drake Blvd & El Portal Dr",,  37.948281,-122.527360,3
40321,40321,"Sir Francis Drake Blvd & El Portal Dr",,  37.948906,-122.528457,3
40322,40322,"Sir Francis Drake Blvd & La Cuesta Dr",,  37.947282,-122.524830,3
40323,40323,"Sir Francis Drake Blvd & La Cuesta Dr",,  37.947742,-122.525473,3
