route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
70-224,20JULY-01-SAT-Saturday-03,6742852,Route 70 Northbound - Novato,0,1469323,700317
70-224,20JULY-01-SAT-Saturday-03,6742853,Route 70 Northbound - Novato,0,1469344,700317
70-224,20JULY-01-SAT-Saturday-03,6742854,Route 70 Northbound - Novato,0,1469330,700317
70-224,20JULY-01-SAT-Saturday-03,6742855,Route 70 Northbound - Novato,0,1469322,700317
70-224,20JULY-01-SAT-Saturday-03,6742856,Route 70 Southbound - San Francisco,1,1469306,700318
70-224,20JULY-01-SAT-Saturday-03,6742857,Route 70 Southbound - San Francisco,1,1469314,700318
70-224,20JULY-01-SAT-Saturday-03,6742858,Route 70 Northbound - Novato,0,1469342,700317
70-224,20JULY-01-SAT-Saturday-03,6742859,Route 70 Northbound - Novato,0,1469344,700317
70-224,20JULY-01-SAT-Saturday-03,6742860,Route 70 Northbound - Novato,0,1469319,700317
70-224,20JULY-01-SAT-Saturday-03,6742861,Route 70 Northbound - Novato,0,1469303,700317
70-224,20JULY-01-SAT-Saturday-03,6742862,Route 70 Northbound - Novato,0,1469341,700317
70-224,20JULY-01-SAT-Saturday-03,6742863,Route 70 Northbound - Novato,0,1469343,700317
70-224,20JULY-01-SAT-Saturday-03,6742864,Route 70 Northbound - Novato,0,1469322,700317
70-224,20JULY-01-SAT-Saturday-03,6742865,Route 70 Northbound - Novato,0,1469323,700317
70-224,20JULY-01-SAT-Saturday-03,6742866,Route 70 Northbound - Novato,0,1469324,700317
70-224,20JULY-01-SAT-Saturday-03,6742867,Route 70 Northbound - Novato,0,1469325,700317
70-224,20JULY-01-SAT-Saturday-03,6742868,Route 70 Northbound - Novato,0,1469331,700317
70-224,20JULY-01-SAT-Saturday-03,6742869,Route 70 Northbound - Novato,0,1469335,700317
70-224,20JULY-01-SAT-Saturday-03,6742870,Route 70 Northbound - Novato,0,1469329,700317
70-224,20JULY-01-SAT-Saturday-03,6742871,Route 70 Southbound - San Francisco,1,1469324,700318
70-224,20JULY-01-SAT-Saturday-03,6742872,Route 70 Southbound - San Francisco,1,1469322,700318
70-224,20JULY-01-SAT-Saturday-03,6742873,Route 70 Southbound - San Francisco,1,1469331,700318
70-224,20JULY-01-SAT-Saturday-03,6742874,Route 70 Southbound - San Francisco,1,1469325,700318
70-224,20JULY-01-SAT-Saturday-03,6742875,Route 70 Southbound - San Francisco,1,1469302,700318
70-224,20JULY-01-SAT-Saturday-03,6742876,Route 70 Southbound - San Francisco,1,1469303,700318
70-224,20JULY-01-SAT-Saturday-03,6742877,Route 70 Southbound - San Francisco,1,1469341,700318
70-224,20JULY-01-SAT-Saturday-03,6742878,Route 70 Southbound - San Francisco,1,1469342,700318
70-224,20JULY-01-SAT-Saturday-03,6742879,Route 70 Southbound - San Francisco,1,1469343,700318
70-224,20JULY-01-SAT-Saturday-03,6742880,Route 70 Southbound - San Francisco,1,1469344,700318
70-224,20JULY-01-SAT-Saturday-03,6742881,Route 70 Southbound - San Francisco,1,1469319,700318
70-224,20JULY-01-SAT-Saturday-03,6742882,Route 70 Southbound - San Francisco,1,1469323,700318
70-224,20JULY-01-SAT-Saturday-03,6742883,Route 70 Northbound - Novato,0,1469338,700317
70-224,20JULY-01-SAT-Saturday-03,6742884,Route 70 Northbound - Novato,0,1469351,700317
70-224,20JULY-01-SAT-Saturday-03,6742885,Route 70 Southbound - San Francisco,1,1469335,700318
70-224,20JULY-01-SAT-Saturday-03,6742886,Route 70 Southbound - San Francisco,1,1469329,700318
70-224,20JULY-01-SAT-Saturday-03,6742887,Route 70 Southbound - San Francisco,1,1469344,700318
70-224,20JULY-01-SAT-Saturday-03,6742888,Route 70 Southbound - San Francisco,1,1469330,700318
70-224,20JULY-01-SAT-Saturday-03,6742889,Route 70 Southbound - San Francisco,1,1469322,700318
70-224,20JULY-01-SAT-Saturday-03,6742890,Route 70 Northbound - Novato,0,1469344,700317
70-224,20JULY-01-SAT-Saturday-03,6742891,Route 70 Northbound - Novato,0,1469319,700317
70-224,20JULY-01-SAT-Saturday-03,6742892,Route 70 Northbound - Novato,0,1469322,700317
70-224,20JULY-01-SAT-Saturday-03,6742893,Route 70 Northbound - Novato,0,1469323,700317
70-224,20JULY-01-SAT-Saturday-03,6742894,Route 70 Southbound - San Francisco,1,1469311,700318
70-224,20JULY-01-SAT-Saturday-03,6742895,Route 70 Southbound - San Francisco,1,1469304,700318
70-224,20JULY-01-SAT-Saturday-03,6742896,Route 70 Southbound - San Francisco,1,1469319,700318
40-224,20JULY-01-SAT-Saturday-03,6742897,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742898,Route 40 Eastbound - El Cerrito del Norte BART,0,1469317,400105
40-224,20JULY-01-SAT-Saturday-03,6742899,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742900,Route 40 Eastbound - El Cerrito del Norte BART,0,1469317,400105
40-224,20JULY-01-SAT-Saturday-03,6742901,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742902,Route 40 Eastbound - El Cerrito del Norte BART,0,1469317,400105
40-224,20JULY-01-SAT-Saturday-03,6742903,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742904,Route 40 Eastbound - El Cerrito del Norte BART,0,1469317,400105
40-224,20JULY-01-SAT-Saturday-03,6742905,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742906,Route 40 Eastbound - El Cerrito del Norte BART,0,1469317,400105
40-224,20JULY-01-SAT-Saturday-03,6742907,Route 40 Eastbound - El Cerrito del Norte BART,0,1469333,400105
40-224,20JULY-01-SAT-Saturday-03,6742908,Route 40 Eastbound - El Cerrito del Norte BART,0,1469337,400105
40-224,20JULY-01-SAT-Saturday-03,6742909,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742910,Route 40 Eastbound - El Cerrito del Norte BART,0,1469337,400105
40-224,20JULY-01-SAT-Saturday-03,6742911,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742912,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742913,Route 40 Westbound - San Rafael,1,1469317,400106
40-224,20JULY-01-SAT-Saturday-03,6742914,Route 40 Westbound - San Rafael,1,1469317,400106
40-224,20JULY-01-SAT-Saturday-03,6742915,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742916,Route 40 Westbound - San Rafael,1,1469317,400106
40-224,20JULY-01-SAT-Saturday-03,6742917,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742918,Route 40 Westbound - San Rafael,1,1469317,400106
40-224,20JULY-01-SAT-Saturday-03,6742919,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742920,Route 40 Westbound - San Rafael,1,1469317,400106
40-224,20JULY-01-SAT-Saturday-03,6742921,Route 40 Westbound - San Rafael,1,1469333,400106
40-224,20JULY-01-SAT-Saturday-03,6742922,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742923,Route 40 Westbound - San Rafael,1,1469337,400106
40-224,20JULY-01-SAT-Saturday-03,6742924,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742925,Route 40 Westbound - San Rafael,1,1469337,400106
40-224,20JULY-01-SAT-Saturday-03,6742926,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742927,Route 40 Eastbound - El Cerrito del Norte BART,0,1469333,400105
40-224,20JULY-01-SAT-Saturday-03,6742928,Route 40 Eastbound - El Cerrito del Norte BART,0,1469313,400105
40-224,20JULY-01-SAT-Saturday-03,6742929,Route 40 Westbound - San Rafael,1,1469310,400106
40-224,20JULY-01-SAT-Saturday-03,6742930,Route 40 Westbound - San Rafael,1,1469305,400106
40-224,20JULY-01-SAT-Saturday-03,6742931,Route 40 Westbound - San Rafael,1,1469313,400106
40-224,20JULY-01-SAT-Saturday-03,6742932,Route 40 Eastbound - El Cerrito del Norte BART,0,1469305,400105
40-224,20JULY-01-SAT-Saturday-03,6742933,Route 40 Eastbound - El Cerrito del Norte BART,0,1469337,400105
40-224,20JULY-01-SAT-Saturday-03,6742934,Route 40 Westbound - San Rafael,1,1469305,400106
30-224,20JULY-01-SAT-Saturday-03,6742935,Route 30  Northbound - San Rafael,0,1469309,300142
30-224,20JULY-01-SAT-Saturday-03,6742936,Route 30  Northbound - San Rafael,0,1469306,300142
30-224,20JULY-01-SAT-Saturday-03,6742937,Route 30  Northbound - San Rafael,0,1469314,300142
30-224,20JULY-01-SAT-Saturday-03,6742938,Route 30  Northbound - San Rafael,0,1469320,300142
30-224,20JULY-01-SAT-Saturday-03,6742939,Route 30  Northbound - San Rafael,0,1469341,300142
30-224,20JULY-01-SAT-Saturday-03,6742940,Route 30  Northbound - San Rafael,0,1469342,300142
30-224,20JULY-01-SAT-Saturday-03,6742941,Route 30  Northbound - San Rafael,0,1469343,300142
30-224,20JULY-01-SAT-Saturday-03,6742942,Route 30  Northbound - San Rafael,0,1469326,300142
30-224,20JULY-01-SAT-Saturday-03,6742943,Route 30  Northbound - San Rafael,0,1469329,300142
30-224,20JULY-01-SAT-Saturday-03,6742944,Route 30  Northbound - San Rafael,0,1469328,300142
30-224,20JULY-01-SAT-Saturday-03,6742945,Route 30  Northbound - San Rafael,0,1469332,300142
30-224,20JULY-01-SAT-Saturday-03,6742946,Route 30  Northbound - San Rafael,0,1469336,300142
30-224,20JULY-01-SAT-Saturday-03,6742947,Route 30  Northbound - San Rafael,0,1469325,300142
30-224,20JULY-01-SAT-Saturday-03,6742948,Route 30  Northbound - San Rafael,0,1469331,300142
30-224,20JULY-01-SAT-Saturday-03,6742949,Route 30  Northbound - San Rafael,0,1469335,300142
30-224,20JULY-01-SAT-Saturday-03,6742950,Route 30  Northbound - San Rafael,0,1469329,300142
30-224,20JULY-01-SAT-Saturday-03,6742951,Route 30  Northbound - San Rafael,0,1469352,300142
30-224,20JULY-01-SAT-Saturday-03,6742952,Route 30  Northbound - San Rafael,0,1469344,300142
30-224,20JULY-01-SAT-Saturday-03,6742953,Route 30  Northbound - San Rafael,0,1469307,300142
30-224,20JULY-01-SAT-Saturday-03,6742954,Route 30 Southbound - San Francisco,1,1469340,300143
30-224,20JULY-01-SAT-Saturday-03,6742955,Route 30 Southbound - San Francisco,1,1469339,300143
30-224,20JULY-01-SAT-Saturday-03,6742956,Route 30 Southbound - San Francisco,1,1469338,300143
30-224,20JULY-01-SAT-Saturday-03,6742957,Route 30 Southbound - San Francisco,1,1469323,300143
30-224,20JULY-01-SAT-Saturday-03,6742958,Route 30 Southbound - San Francisco,1,1469322,300143
30-224,20JULY-01-SAT-Saturday-03,6742959,Route 30 Southbound - San Francisco,1,1469330,300143
30-224,20JULY-01-SAT-Saturday-03,6742960,Route 30 Southbound - San Francisco,1,1469344,300143
30-224,20JULY-01-SAT-Saturday-03,6742961,Route 30 Southbound - San Francisco,1,1469336,300143
30-224,20JULY-01-SAT-Saturday-03,6742962,Route 30 Southbound - San Francisco,1,1469332,300143
30-224,20JULY-01-SAT-Saturday-03,6742963,Route 30 Southbound - San Francisco,1,1469328,300143
30-224,20JULY-01-SAT-Saturday-03,6742964,Route 30 Southbound - San Francisco,1,1469324,300143
30-224,20JULY-01-SAT-Saturday-03,6742965,Route 30 Southbound - San Francisco,1,1469323,300143
30-224,20JULY-01-SAT-Saturday-03,6742966,Route 30 Southbound - San Francisco,1,1469309,300143
30-224,20JULY-01-SAT-Saturday-03,6742967,Route 30 Southbound - San Francisco,1,1469315,300143
30-224,20JULY-01-SAT-Saturday-03,6742968,Route 30 Southbound - San Francisco,1,1469318,300143
30-224,20JULY-01-SAT-Saturday-03,6742969,Route 30 Southbound - San Francisco,1,1469321,300143
30-224,20JULY-01-SAT-Saturday-03,6742970,Route 30 Southbound - San Francisco,1,1469322,300143
30-224,20JULY-01-SAT-Saturday-03,6742971,Route 30 Southbound - San Francisco,1,1469325,300143
30-224,20JULY-01-SAT-Saturday-03,6742972,Route 30 Southbound - San Francisco,1,1469312,300143
30-224,20JULY-01-SAT-Saturday-03,6742973,Route 30 Southbound - San Francisco,1,1469316,300143
30-224,20JULY-01-SAT-Saturday-03,6742974,Route 30 Southbound - San Francisco,1,1469320,300143
30-224,20JULY-01-SAT-Saturday-03,6742975,Route 30  Northbound - San Rafael,0,1469330,300142
30-224,20JULY-01-SAT-Saturday-03,6742976,Route 30  Northbound - San Rafael,0,1469327,300142
30-224,20JULY-01-SAT-Saturday-03,6742977,Route 30  Northbound - San Rafael,0,1469334,300142
101-224,20JULY-01-SAT-Saturday-03,6742978,Route 101 Northbound - Santa Rosa,0,1469330,1010256
101-224,20JULY-01-SAT-Saturday-03,6742979,Route 101 Northbound - Santa Rosa,0,1469350,1010256
101-224,20JULY-01-SAT-Saturday-03,6742980,Route 101 Northbound - Santa Rosa,0,1469349,1010256
101-224,20JULY-01-SAT-Saturday-03,6742981,Route 101 Northbound - Santa Rosa,0,1469348,1010256
101-224,20JULY-01-SAT-Saturday-03,6742982,Route 101 Northbound - Santa Rosa,0,1469347,1010256
101-224,20JULY-01-SAT-Saturday-03,6742983,Route 101 Northbound - Santa Rosa,0,1469308,1010256
101-224,20JULY-01-SAT-Saturday-03,6742984,Route 101 Northbound - Santa Rosa,0,1469302,1010256
101-224,20JULY-01-SAT-Saturday-03,6742985,Route 101 Northbound - Santa Rosa,0,1469312,1010256
101-224,20JULY-01-SAT-Saturday-03,6742986,Route 101 Northbound - Santa Rosa,0,1469311,1010256
101-224,20JULY-01-SAT-Saturday-03,6742987,Route 101 Northbound - Santa Rosa,0,1469318,1010256
101-224,20JULY-01-SAT-Saturday-03,6742988,Route 101 Northbound - Santa Rosa,0,1469346,1010256
101-224,20JULY-01-SAT-Saturday-03,6742989,Route 101 Northbound - Santa Rosa,0,1469347,1010256
101-224,20JULY-01-SAT-Saturday-03,6742990,Route 101 Northbound - Santa Rosa,0,1469348,1010256
101-224,20JULY-01-SAT-Saturday-03,6742991,Route 101 Northbound - Santa Rosa,0,1469349,1010256
101-224,20JULY-01-SAT-Saturday-03,6742992,Route 101 Northbound - Santa Rosa,0,1469350,1010256
101-224,20JULY-01-SAT-Saturday-03,6742993,Route 101 Northbound - Santa Rosa,0,1469351,1010256
101-224,20JULY-01-SAT-Saturday-03,6742994,Route 101 Northbound - Santa Rosa,0,1469345,1010256
101-224,20JULY-01-SAT-Saturday-03,6742995,Route 101 Northbound - Santa Rosa,0,1469346,1010256
101-224,20JULY-01-SAT-Saturday-03,6742996,Route 101 Northbound - Santa Rosa,0,1469345,1010256
101-224,20JULY-01-SAT-Saturday-03,6742997,Route 101 Southbound - San Francisco,1,1469341,1010257
101-224,20JULY-01-SAT-Saturday-03,6742998,Route 101 Southbound - San Francisco,1,1469342,1010257
101-224,20JULY-01-SAT-Saturday-03,6742999,Route 101 Southbound - San Francisco,1,1469343,1010257
101-224,20JULY-01-SAT-Saturday-03,6743000,Route 101 Southbound - San Francisco,1,1469344,1010257
101-224,20JULY-01-SAT-Saturday-03,6743001,Route 101 Southbound - San Francisco,1,1469345,1010257
101-224,20JULY-01-SAT-Saturday-03,6743002,Route 101 Southbound - San Francisco,1,1469346,1010257
101-224,20JULY-01-SAT-Saturday-03,6743003,Route 101 Southbound - San Francisco,1,1469347,1010257
101-224,20JULY-01-SAT-Saturday-03,6743004,Route 101 Southbound - San Francisco,1,1469348,1010257
101-224,20JULY-01-SAT-Saturday-03,6743005,Route 101 Southbound - San Francisco,1,1469349,1010257
101-224,20JULY-01-SAT-Saturday-03,6743006,Route 101 Southbound - San Francisco,1,1469350,1010257
101-224,20JULY-01-SAT-Saturday-03,6743007,Route 101 Southbound - San Francisco,1,1469351,1010257
101-224,20JULY-01-SAT-Saturday-03,6743008,Route 101 Southbound - San Francisco,1,1469345,1010257
101-224,20JULY-01-SAT-Saturday-03,6743009,Route 101 Southbound - San Francisco,1,1469346,1010257
101-224,20JULY-01-SAT-Saturday-03,6743010,Route 101 Southbound - San Francisco,1,1469347,1010257
101-224,20JULY-01-SAT-Saturday-03,6743011,Route 101 Southbound - San Francisco,1,1469348,1010257
101-224,20JULY-01-SAT-Saturday-03,6743012,Route 101 Southbound - San Francisco,1,1469349,1010257
101-224,20JULY-01-SAT-Saturday-03,6743013,Route 101 Southbound - San Francisco,1,1469350,1010257
101-224,20JULY-01-SAT-Saturday-03,6743014,Route 101 Southbound - San Francisco,1,1469351,1010257
101-224,20JULY-01-SAT-Saturday-03,6743015,Route 101 Southbound - San Francisco,1,1469352,1010257
101-224,20JULY-01-SUN-Sunday-03,6743741,Route 101 Northbound - Santa Rosa,0,1469419,1010256
101-224,20JULY-01-SUN-Sunday-03,6743742,Route 101 Northbound - Santa Rosa,0,1469438,1010256
101-224,20JULY-01-SUN-Sunday-03,6743743,Route 101 Northbound - Santa Rosa,0,1469437,1010256
101-224,20JULY-01-SUN-Sunday-03,6743744,Route 101 Northbound - Santa Rosa,0,1469436,1010256
101-224,20JULY-01-SUN-Sunday-03,6743745,Route 101 Northbound - Santa Rosa,0,1469435,1010256
101-224,20JULY-01-SUN-Sunday-03,6743746,Route 101 Northbound - Santa Rosa,0,1469401,1010256
101-224,20JULY-01-SUN-Sunday-03,6743747,Route 101 Northbound - Santa Rosa,0,1469397,1010256
101-224,20JULY-01-SUN-Sunday-03,6743748,Route 101 Northbound - Santa Rosa,0,1469402,1010256
101-224,20JULY-01-SUN-Sunday-03,6743749,Route 101 Northbound - Santa Rosa,0,1469403,1010256
101-224,20JULY-01-SUN-Sunday-03,6743750,Route 101 Northbound - Santa Rosa,0,1469407,1010256
101-224,20JULY-01-SUN-Sunday-03,6743751,Route 101 Northbound - Santa Rosa,0,1469434,1010256
101-224,20JULY-01-SUN-Sunday-03,6743752,Route 101 Northbound - Santa Rosa,0,1469435,1010256
101-224,20JULY-01-SUN-Sunday-03,6743753,Route 101 Northbound - Santa Rosa,0,1469436,1010256
101-224,20JULY-01-SUN-Sunday-03,6743754,Route 101 Northbound - Santa Rosa,0,1469437,1010256
101-224,20JULY-01-SUN-Sunday-03,6743755,Route 101 Northbound - Santa Rosa,0,1469438,1010256
101-224,20JULY-01-SUN-Sunday-03,6743756,Route 101 Northbound - Santa Rosa,0,1469439,1010256
101-224,20JULY-01-SUN-Sunday-03,6743757,Route 101 Northbound - Santa Rosa,0,1469433,1010256
101-224,20JULY-01-SUN-Sunday-03,6743758,Route 101 Northbound - Santa Rosa,0,1469434,1010256
101-224,20JULY-01-SUN-Sunday-03,6743759,Route 101 Northbound - Santa Rosa,0,1469433,1010256
101-224,20JULY-01-SUN-Sunday-03,6743760,Route 101 Southbound - San Francisco,1,1469429,1010257
101-224,20JULY-01-SUN-Sunday-03,6743761,Route 101 Southbound - San Francisco,1,1469430,1010257
