shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_179862,-122.2630766052,38.0998843232,1,0.00000000
p_179862,-122.2636540037,38.0996391738,2,57.49278749
p_179862,-122.2640826851,38.0992819829,3,112.13513089
p_179862,-122.264259201,38.0986469725,4,184.30071693
p_179862,-122.2641331183,38.0980714896,5,249.12866541
p_179862,-122.2625150158,38.0962695429,6,494.38472542
p_179862,-122.2577238699,38.0919234013,7,1134.19608296
p_179862,-122.253482024,38.0870014312,8,1795.21683805
p_179862,-122.2485395787,38.0808882005,9,2600.48605812
p_179862,-122.2465042891,38.0785616769,10,2914.45283043
p_179862,-122.2447782228,38.0756090567,11,3275.48731791
p_179862,-122.2437824153,38.0730744115,12,3570.08344081
p_179862,-122.2451445098,38.0694789423,13,3986.68555796
p_179862,-122.244051044,38.0679793891,14,4178.80904776
p_179862,-122.2452140737,38.0662275935,15,4398.41086327
p_179862,-122.2467341295,38.0647442889,16,4610.30878820
p_179862,-122.2483183974,38.0639099301,17,4777.35935242
p_179862,-122.252525188,38.0630707158,18,5158.10403434
p_179862,-122.2574732048,38.0626961249,19,5594.31528166
p_179862,-122.2683616007,38.0612037688,20,6564.11638575
p_179862,-122.2823414157,38.0607403128,21,7792.05863294
p_179862,-122.2909353229,38.0607866586,22,8546.27695811
p_179862,-122.3014744411,38.0616223214,23,9475.82330462
p_179862,-122.3152482377,38.0624101853,24,10687.74954416
p_179862,-122.3269142138,38.0619127315,25,11713.02333632
p_179862,-122.3390987262,38.0600357349,26,12802.43978488
p_179862,-122.3533434218,38.0566987332,27,14106.31152094
p_179862,-122.3639975124,38.0503511434,28,15277.12986960
p_179862,-122.3750930707,38.0382753675,29,16934.00039022
p_179862,-122.3823108517,38.0298492026,30,18063.72445310
p_179862,-122.3881287943,38.0215597541,31,19116.11869554
p_179862,-122.3938309942,38.0131060011,32,20179.69850836
p_179862,-122.4029967547,38.0001982859,33,21823.06569134
p_179862,-122.4080069693,37.994575509,34,22586.72599670
p_179862,-122.4162264007,37.9861083938,35,23771.87680561
p_179862,-122.4324711037,37.9691712317,36,26132.23099823
p_179862,-122.4340441697,37.9673428836,37,26377.77253981
p_179862,-122.4363093674,37.9619853041,38,27004.87164031
p_179862,-122.4359857677,37.9574438116,39,27509.75938055
p_179862,-122.4347658444,37.9525059485,40,28068.22864511
p_179862,-122.4268052928,37.9361735688,41,30011.40295462
p_179862,-122.4242164955,37.9202970593,42,31788.25538240
p_179862,-122.422692097,37.9139777744,43,32502.35699869
p_179862,-122.4203421508,37.9087084563,44,33122.65808153
p_179862,-122.4126739053,37.8894820037,45,35360.72972585
p_179862,-122.399192635,37.8665403268,46,38169.79241346
p_179862,-122.393460401,37.845435516,47,40565.99679832
p_179862,-122.3880575064,37.824041954,48,42987.70330794
p_179862,-122.3864955711,37.8095688021,49,44599.99839462
p_179862,-122.3874217523,37.8027958479,50,45356.15931177
p_179862,-122.3878070977,37.8016214502,51,45490.85418866
p_179862,-122.3885227391,37.8005992741,52,45620.63901656
p_179862,-122.3897961994,37.79931098,53,45802.36705965
p_179862,-122.3911941949,37.7982556985,54,45972.30422235
p_179862,-122.39247504,37.7971880592,55,46135.91333023
p_179862,-122.393209,37.796869,56,46209.62077152
p_179875,-122.393209,37.796869,1,0.00000000
p_179875,-122.3925547489,37.7971496849,2,65.50513983
p_179875,-122.3895980171,37.7994655805,3,431.40815383
p_179875,-122.3885629328,37.800576864,4,584.78362033
p_179875,-122.3878905565,37.8015849219,5,711.37434017
p_179875,-122.3874618473,37.8027286695,6,843.81750528
p_179875,-122.3872456626,37.8037033024,7,953.65728311
p_179875,-122.3867348275,37.8074160903,8,1368.19819021
p_179875,-122.3867795059,37.811652277,9,1838.40118683
p_179875,-122.3872430595,37.8162985644,10,2355.71920118
p_179875,-122.3879704895,37.8236596968,11,3175.26043400
p_179875,-122.3961348148,37.8546940156,12,6694.03502053
p_179875,-122.3995053236,37.8665605658,13,8044.13149802
p_179875,-122.4041446441,37.8756933003,14,9136.91164109
p_179875,-122.4090891563,37.884270891,15,10183.64217090
p_179875,-122.4126761139,37.8901580583,16,10909.27844751
p_179875,-122.4158847524,37.8973084565,17,11751.62088087
p_179875,-122.4225417192,37.9137955024,18,13672.96283225
p_179875,-122.4241449199,37.9211390435,19,14500.15916846
p_179875,-122.4268570175,37.9360651119,20,16173.95069078
p_179875,-122.4338703316,37.9507932712,21,17921.08219246
p_179875,-122.4346455182,37.9523034397,22,18102.02144192
p_179875,-122.435922296,37.9575168782,23,18691.46948316
p_179875,-122.4363782881,37.9619749735,24,19187.91891112
