trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"t_1216464_b_26808_tn_1","5:30:00","5:30:00","12149044","1","","0","0","0.00000000",1
"t_1216464_b_26808_tn_1","6:30:00","6:30:00","12048537","2","","0","0","46209.62077152",1
"t_1216464_b_26808_tn_2","6:30:00","6:30:00","12149044","1","","0","0","0.00000000",1
"t_1216464_b_26808_tn_2","7:30:00","7:30:00","12048537","2","","0","0","46209.62077152",1
"t_1216465_b_26808_tn_1","7:45:00","7:45:00","12149044","1","","0","0","0.00000000",1
"t_1216465_b_26808_tn_1","8:45:00","8:45:00","12048537","2","","0","0","46209.62077152",1
"t_1216465_b_26808_tn_2","8:45:00","8:45:00","12149044","1","","0","0","0.00000000",1
"t_1216465_b_26808_tn_2","9:45:00","9:45:00","12048537","2","","0","0","46209.62077152",1
"t_1216466_b_26808_tn_0","12:45:00","12:45:00","12149044","1","","0","0","0.00000000",1
"t_1216466_b_26808_tn_0","13:45:00","13:45:00","12048537","2","","0","0","46209.62077152",1
"t_1216473_b_26808_tn_0","14:30:00","14:30:00","12149044","1","","0","0","0.00000000",1
"t_1216473_b_26808_tn_0","15:30:00","15:30:00","12048537","2","","0","0","46209.62077152",1
"t_1216467_b_26808_tn_0","16:00:00","16:00:00","12149044","1","","0","0","0.00000000",1
"t_1216467_b_26808_tn_0","17:00:00","17:00:00","12048537","2","","0","0","46209.62077152",1
"t_1216474_b_26808_tn_0","17:45:00","17:45:00","12149044","1","","0","0","0.00000000",1
"t_1216474_b_26808_tn_0","18:45:00","18:45:00","12048537","2","","0","0","46209.62077152",1
"t_1216468_b_26808_tn_1","6:35:00","6:35:00","12048537","1","","0","0","0.00000000",1
"t_1216468_b_26808_tn_1","7:35:00","7:35:00","12149044","2","","0","0","46210.66840334",1
"t_1216468_b_26808_tn_2","7:35:00","7:35:00","12048537","1","","0","0","0.00000000",1
"t_1216468_b_26808_tn_2","8:35:00","8:35:00","12149044","2","","0","0","46210.66840334",1
"t_1216469_b_26808_tn_1","9:45:00","9:45:00","12048537","1","","0","0","0.00000000",1
"t_1216469_b_26808_tn_1","10:45:00","10:45:00","12149044","2","","0","0","46210.66840334",1
"t_1216469_b_26808_tn_2","10:45:00","10:45:00","12048537","1","","0","0","0.00000000",1
"t_1216469_b_26808_tn_2","11:45:00","11:45:00","12149044","2","","0","0","46210.66840334",1
"t_1216475_b_26808_tn_0","14:45:00","14:45:00","12048537","1","","0","0","0.00000000",1
"t_1216475_b_26808_tn_0","15:45:00","15:45:00","12149044","2","","0","0","46210.66840334",1
"t_1216470_b_26808_tn_0","16:30:00","16:30:00","12048537","1","","0","0","0.00000000",1
"t_1216470_b_26808_tn_0","17:30:00","17:30:00","12149044","2","","0","0","46210.66840334",1
"t_1216471_b_26808_tn_0","17:15:00","17:15:00","12048537","1","","0","0","0.00000000",1
"t_1216471_b_26808_tn_0","18:15:00","18:15:00","12149044","2","","0","0","46210.66840334",1
"t_1216476_b_26808_tn_0","19:00:00","19:00:00","12048537","1","","0","0","0.00000000",1
"t_1216476_b_26808_tn_0","20:00:00","20:00:00","12149044","2","","0","0","46210.66840334",1
"t_1063986_b_26132_tn_0","6:45:00","6:45:00","12030043","1","","0","0","0.00000000",1
"t_1063986_b_26132_tn_0","7:05:00","7:05:00","12030042","2","","0","0","1418.61162083",1
"t_1063986_b_26132_tn_0","7:25:00","7:25:00","890002","3","","0","0","10340.84368393",1
"t_1063987_b_26132_tn_0","8:05:00","8:05:00","12030043","1","","0","0","0.00000000",1
"t_1063987_b_26132_tn_0","8:25:00","8:25:00","12030042","2","","0","0","1418.61162083",1
"t_1063987_b_26132_tn_0","8:45:00","8:45:00","890002","3","","0","0","10340.84368393",1
"t_1063988_b_26132_tn_0","9:30:00","9:30:00","12030043","1","","0","0","0.00000000",1
"t_1063988_b_26132_tn_0","9:50:00","9:50:00","12030042","2","","0","0","1418.61162083",1
"t_1063988_b_26132_tn_0","10:10:00","10:10:00","890002","3","","0","0","10340.84368393",1
"t_1063997_b_26132_tn_0","16:00:00","16:00:00","890002","1","","0","0","0.00000000",1
"t_1063997_b_26132_tn_0","16:20:00","16:20:00","12030042","2","","0","0","8947.33198503",1
"t_1063997_b_26132_tn_0","16:40:00","16:40:00","12030043","3","","0","0","10365.62408142",1
"t_1063998_b_26132_tn_0","17:30:00","17:30:00","890002","1","","0","0","0.00000000",1
"t_1063998_b_26132_tn_0","17:50:00","17:50:00","12030042","2","","0","0","8947.33198503",1
"t_1063998_b_26132_tn_0","18:10:00","18:10:00","12030043","3","","0","0","10365.62408142",1
"t_1063999_b_26132_tn_0","19:00:00","19:00:00","890002","1","","0","0","0.00000000",1
"t_1063999_b_26132_tn_0","19:20:00","19:20:00","12030042","2","","0","0","8947.33198503",1
"t_1063999_b_26132_tn_0","19:40:00","19:40:00","12030043","3","","0","0","10365.62408142",1
"t_1063993_b_26132_tn_0","7:30:00","7:30:00","890002","1","","0","0","0.00000000",1
"t_1063993_b_26132_tn_0","7:55:00","7:55:00","12030043","2","","0","0","10232.85652110",1
"t_1063993_b_26132_tn_0","8:15:00","8:15:00","12030042","3","","0","0","11651.46814195",1
"t_1063994_b_26132_tn_0","8:55:00","8:55:00","890002","1","","0","0","0.00000000",1
"t_1063994_b_26132_tn_0","9:20:00","9:20:00","12030043","2","","0","0","10232.85652110",1
"t_1063994_b_26132_tn_0","9:40:00","9:40:00","12030042","3","","0","0","11651.46814195",1
"t_1063991_b_26132_tn_0","16:30:00","16:30:00","12030042","1","","0","0","0.00000000",1
"t_1063991_b_26132_tn_0","16:45:00","16:45:00","12030043","2","","0","0","1418.29209636",1
"t_1063991_b_26132_tn_0","17:10:00","17:10:00","890002","3","","0","0","11655.08664677",1
"t_1063992_b_26132_tn_0","18:00:00","18:00:00","12030042","1","","0","0","0.00000000",1
"t_1063992_b_26132_tn_0","18:20:00","18:20:00","12030043","2","","0","0","1418.29209636",1
"t_1063992_b_26132_tn_0","18:45:00","18:45:00","890002","3","","0","0","11655.08664677",1
"t_1216483_b_26809_tn_0","6:30:00","6:30:00","890004","1","","0","0","0.00000000",1
"t_1216483_b_26809_tn_0","7:05:00","7:05:00","890001","2","","0","0","17218.57848375",1
"t_1216484_b_26809_tn_0","8:00:00","8:00:00","890004","1","","0","0","0.00000000",1
"t_1216484_b_26809_tn_0","8:35:00","8:35:00","890001","2","","0","0","17218.57848375",1
"t_1216488_b_26809_tn_0","9:30:00","9:30:00","890004","1","","0","0","0.00000000",1
"t_1216488_b_26809_tn_0","10:05:00","10:05:00","890001","2","","0","0","17218.57848375",1
"t_1216485_b_26809_tn_0","16:45:00","16:45:00","890004","1","","0","0","0.00000000",1
"t_1216485_b_26809_tn_0","17:20:00","17:20:00","890001","2","","0","0","17218.57848375",1
"t_1216487_b_26809_tn_0","18:15:00","18:15:00","890004","1","","0","0","0.00000000",1
"t_1216487_b_26809_tn_0","18:50:00","18:50:00","890001","2","","0","0","17218.57848375",1
"t_1216477_b_26809_tn_0","7:15:00","7:15:00","890001","1","","0","0","0.00000000",1
