trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_1077541_b_26212_tn_1,07:10:00,07:10:00,2561390,1,,0,0,0,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:17:00,07:17:00,2561419,2,,0,0,1353.5808264856,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:28:00,07:28:00,2335511,3,,0,0,2922.71845388634,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:30:00,07:30:00,2561394,4,,0,0,3301.69319710745,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:33:00,07:33:00,2335518,5,,0,0,3785.37990665003,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:36:00,07:36:00,2561395,6,,0,0,4457.51958615421,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:37:00,07:37:00,2561396,7,,0,0,4657.93924311924,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:38:00,07:38:00,2452885,8,,0,0,4890.5540985549,1,,,,,1,1,,,,
t_1077541_b_26212_tn_1,07:46:00,07:46:00,2561390,9,,0,0,7452.07680756,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,07:46:00,07:46:00,2561390,1,,0,0,0,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,07:53:00,07:53:00,2561419,2,,0,0,1353.5808264856,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:06:00,08:06:00,2335511,3,,0,0,2922.71845388634,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:08:00,08:08:00,2561394,4,,0,0,3301.69319710745,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:11:00,08:11:00,2335518,5,,0,0,3785.37990665003,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:14:00,08:14:00,2561395,6,,0,0,4457.51958615421,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:15:00,08:15:00,2561396,7,,0,0,4657.93924311924,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:16:00,08:16:00,2452885,8,,0,0,4890.5540985549,1,,,,,1,1,,,,
t_1077542_b_26212_tn_0,08:26:00,08:26:00,2561390,9,,0,0,7452.07680756,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:26:00,08:26:00,2561390,1,,0,0,0,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:34:00,08:34:00,2561419,2,,0,0,1353.5808264856,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:47:00,08:47:00,2335511,3,,0,0,2922.71845388634,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:49:00,08:49:00,2561394,4,,0,0,3301.69319710745,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:52:00,08:52:00,2335518,5,,0,0,3785.37990665003,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:55:00,08:55:00,2561395,6,,0,0,4457.51958615421,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:56:00,08:56:00,2561396,7,,0,0,4657.93924311924,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,08:57:00,08:57:00,2452885,8,,0,0,4890.5540985549,1,,,,,1,1,,,,
t_1077543_b_26212_tn_0,09:07:00,09:07:00,2561390,9,,0,0,7452.07680756,1,,,,,1,1,,,,
