route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
10992,c_15975_b_26877_d_31,t_501090_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501107_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501105_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501104_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501103_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501102_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501101_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501100_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501099_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501098_b_26877_tn_0,,,,11,p_787944,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501097_b_26877_tn_0,,,,11,p_787943,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501096_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501095_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501094_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501093_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501092_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501091_b_26877_tn_0,,,,11,p_178322,,,,,,,,,,
10992,c_15975_b_26877_d_31,t_501108_b_26877_tn_0,,,,11,p_787945,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077585_b_26212_tn_0,,Loop,,,p_899714,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077584_b_26212_tn_0,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077583_b_26212_tn_0,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077582_b_26212_tn_5,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077582_b_26212_tn_4,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077582_b_26212_tn_3,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077582_b_26212_tn_2,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077582_b_26212_tn_1,,Loop,,,p_899713,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077581_b_26212_tn_0,,Loop,,,p_899712,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_6,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_5,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_4,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_3,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_2,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077580_b_26212_tn_1,,Loop,,,p_899711,,,,,,,,,,
10992,c_19775_b_26212_d_31,t_1077589_b_26212_tn_0,,Loop,,,p_899713,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881261_b_26877_tn_0,,East Loop,,4,p_787930,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881451_b_26877_tn_0,,BART (5th and Market),,4,p_787942,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881450_b_26877_tn_0,,BART (5th and Market),,6,p_787942,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881449_b_26877_tn_0,,BART (5th and Market),,5,p_787942,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881446_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881445_b_26877_tn_0,,BART (5th and Market),,6,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881444_b_26877_tn_0,,BART (5th and Market),,5,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881443_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881442_b_26877_tn_0,,BART (5th and Market),,6,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881441_b_26877_tn_0,,BART (5th and Market),,5,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881440_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881439_b_26877_tn_0,,BART (5th and Market),,6,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881438_b_26877_tn_0,,BART (5th and Market),,5,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881437_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881436_b_26877_tn_0,,BART (5th and Market),,6,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881435_b_26877_tn_0,,BART (5th and Market),,5,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881434_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881433_b_26877_tn_0,,BART (5th and Market),,6,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881432_b_26877_tn_0,,BART (5th and Market),,4,p_787937,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881278_b_26877_tn_0,,East Loop,,4,p_787935,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881277_b_26877_tn_0,,East Loop,,4,p_787930,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881276_b_26877_tn_0,,East Loop,,5,p_787930,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881275_b_26877_tn_0,,East Loop,,6,p_787935,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881274_b_26877_tn_0,,East Loop,,6,p_787930,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881273_b_26877_tn_0,,East Loop,,4,p_787930,,,,,,,,,,
6279,c_15975_b_26877_d_31,t_881272_b_26877_tn_0,,East Loop,,5,p_787935,,,,,,,,,,
