route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15222,SFMTA,1,CALIFORNIA, ,3,https://SFMTA.com/1              , , 
15227,SFMTA,5,FULTON, ,3,https://SFMTA.com/5              , , 
15230,SFMTA,7,HAIGHT-NORIEGA, ,3,https://SFMTA.com/7              , , 
15232,SFMTA,8,BAYSHORE, ,3,https://SFMTA.com/8              , , 
15235,SFMTA,9,SAN BRUNO, ,3,https://SFMTA.com/9              , , 
15236,SFMTA,9R,SAN BRUNO RAPID, ,3,https://SFMTA.com/9R             , , 
15238,SFMTA,12,FOLSOM-PACIFIC, ,3,https://SFMTA.com/12             , , 
15239,SFMTA,14,MISSION, ,3,https://SFMTA.com/14             , , 
15240,SFMTA,14R,MISSION RAPID, ,3,https://SFMTA.com/14R            , , 
15243,SFMTA,19,POLK, ,3,https://SFMTA.com/19             , , 
15245,SFMTA,22,FILLMORE, ,3,https://SFMTA.com/22             , , 
15247,SFMTA,24,DIVISADERO, ,3,https://SFMTA.com/24             , , 
15248,SFMTA,25,TREASURE ISLAND, ,3,https://SFMTA.com/25             , ,
15250,SFMTA,28,19TH AVENUE, ,3,https://SFMTA.com/28             , , 
15252,SFMTA,29,SUNSET, ,3,https://SFMTA.com/29             , , 
15435,SFMTA,30,STOCKTON, ,3,https://SFMTA.com/30             , , 
15262,SFMTA,38,GEARY, ,3,https://SFMTA.com/38             , , 
15265,SFMTA,38R,GEARY RAPID, ,3,https://SFMTA.com/38R            , , 
15268,SFMTA,43,MASONIC, ,3,https://SFMTA.com/43             , , 
15269,SFMTA,44,O'SHAUGHNESSY, ,3,https://SFMTA.com/44             , , 
15273,SFMTA,49,VAN NESS-MISSION, ,3,https://SFMTA.com/49             , ,
15275,SFMTA,54,FELTON, ,3,https://SFMTA.com/54             , ,  
15291,SFMTA,90,SAN BRUNO OWL, ,3,https://SFMTA.com/90             , , 
15292,SFMTA,91,3RD-19TH AVE OWL, ,3,https://SFMTA.com/91             , , 
15293,SFMTA,714,BART EARLY BIRD, ,3,https://SFMTA.com/714            , , 
15301,SFMTA,L-OWL,OWL TARAVAL, ,3,https://SFMTA.com/L-OWL          , , 
15441,SFMTA,LBUS,TARAVAL BUS, ,3,https://SFMTA.com/LBUS           , , 
15442,SFMTA,MBUS,OCEANVIEW BUS, ,3,https://SFMTA.com/MBUS           , , 
15307,SFMTA,N-OWL,OWL JUDAH, ,3,https://SFMTA.com/N-OWL          , , 
15443,SFMTA,NBUS,JUDAH BUS, ,3,https://SFMTA.com/NBUS           , ,
15760,SFMTA,TBUS,THIRD BUS, ,3,https://SFMTA.com/TBUS          , , 
