stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
390,10390,19th Avenue & Holloway St, ,37.72119,-122.475096, , 
3016,13016,3rd St & 4th St  , ,37.772618,-122.389786, , 
3018,13018,Bacon St & San Bruno Ave   , ,37.727739,-122.40324, , 
3019,13019,Bacon St & San Bruno Ave  , ,37.727645,-122.403269, , 
3020,13020,Bacon St & Somerset St  , ,37.72667,-122.40746, , 
3021,13021,Bacon St & Somerset St  , ,37.72654,-122.40766, , 
3023,13023,Baker Beach Parking Lot SW, ,37.790249,-122.482263, , 
3025,13025,Battery St & Broadway  , ,37.798311,-122.401093, , 
3030,13030,Battery St & Jackson St  , ,37.79686,-122.40077, , 
3031,13031,Bay St & Midway St  , ,37.806094,-122.409161, , 
3072,13072,Broderick St & Bay St  , ,37.801541,-122.444798, , 
3074,13074,Broderick St & Beach St  , ,37.803415,-122.445176, , 
3075,13075,Broderick St & Francisco St  , ,37.800622,-122.444603, , 
3076,13076,Broderick St & Jefferson St  , ,37.804343,-122.44536, , 
3077,13077,Broderick St & North Point St , ,37.802478,-122.444982, , 
3082,13082,Broadway & Grant Ave  , ,37.797831,-122.406345, , 
3084,13084,Broadway & Montgomery St  , ,37.798134,-122.40396, , 
3085,13085,Broadway & Steiner St  , ,37.794131,-122.436442, , 
3086,13086,Broadway & Steiner St  , ,37.794056,-122.436278, , 
3087,13087,Broadway & Stockton St  , ,37.797591,-122.408294, , 
3089,13089,Beale St & Mission St   , ,37.791939,-122.396879, , 
3092,13092,Beach St & Mason St  , ,37.807407,-122.414125, , 
3093,13093,Beach St & Polk St   , ,37.806375,-122.423195, , 
3095,13095,Beach St & Stockton St  , ,37.807841,-122.41081, , 
3103,13103,3rd St & 20th St  , ,37.76079,-122.38846, , 
3104,13104,3rd St & 20th St  , ,37.76059,-122.3887, , 
3107,13107,3rd St & 23rd St  , ,37.75569,-122.3879, , 
3108,13108,3rd St & 23rd St  , ,37.75506,-122.3881, , 
3113,13113,3rd St & Bayview St  , ,37.7322,-122.391731, , 
3114,13114,3rd St & Brannan St   , ,37.779285,-122.393185, , 
3115,13115,3rd St & Carroll Ave   , ,37.72567,-122.3943, , 
3116,13116,3rd St & Carroll Ave   , ,37.7253,-122.3942, , 
3123,13123,3rd St & Evans Ave  , ,37.74244,-122.38815, , 
3124,13124,3rd St & Folsom St   , ,37.784204,-122.399326, , 
3127,13127,3rd St & Hudson Ave   , ,37.74012,-122.3887, , 
3129,13129,3rd St & Innes Ave   , ,37.73932,-122.38926, , 
3134,13134,3rd St & La Salle Ave   , ,37.737213,-122.389803, , 
3135,13135,3rd St & Kirkwood Ave, ,37.737927,-122.389619, , 
3136,13136,3rd St & Stevenson St, ,37.786373,-122.40211, , 
3141,13141,3rd St & Palou Ave   , ,37.734091,-122.390928, , 
3143,13143,3rd St & Oakdale Ave, ,37.734787,-122.390721, , 
3144,13144,3rd St & Bryant St, ,37.781651,-122.396198, , 
3145,13145,3rd St & Revere Ave   , ,37.73225,-122.39146, , 
3146,13146,3rd St & Salinas Ave  , ,37.720861,-122.396459, , 
3149,13149,3rd St & Van Dyke Ave   , ,37.729238,-122.392593, , 
3150,13150,3rd St & Williams Ave  , ,37.729166,-122.392776, , 
3153,13153,4th St & 3rd St   , ,37.772966,-122.389694, , 
3156,13156,4th St & Brannan St   , ,37.778305,-122.396602, , 
3158,13158,4th St & Folsom St   , ,37.781804,-122.401012, , 
3159,13159,4th St & Howard St   , ,37.783036,-122.402548, , 
3160,13160,4th St & Mission St   , ,37.784259,-122.404117, , 
3161,13161,4th St & Market St   , ,37.785527,-122.405675, , 
3164,13164,4TH ST & TOWNSEND ST, ,37.776894,-122.394895, , 
3188,13188,1697 7th Ave  , ,37.756597,-122.463741, , 
3189,13189,1697 7th Ave, ,37.756767,-122.46357, , 
3191,13191,7th St & Brannan St   , ,37.773266,-122.403367, , 
3192,13192,7th St & Folsom St   , ,37.776864,-122.407904, , 
3193,13193,7th St & Harrison St   , ,37.77573,-122.40646, , 
3194,13194,7th St & Howard St   , ,37.777935,-122.409222, , 
3195,13195,7th St & Mission St   , ,37.779327,-122.411032, , 
3196,13196,7th St & Market St   , ,37.780309,-122.412395, , 
3197,13197,7th St & Townsend St   , ,37.772034,-122.401821, , 
3203,13203,8th St & Brannan St   , ,37.771179,-122.405386, , 
3204,13204,8th St & Bryant St   , ,37.772536,-122.407127, , 
3205,13205,8th St & Folsom St   , ,37.774767,-122.409922, , 
3206,13206,8th St & Harrison St   , ,37.773536,-122.408376, , 
3208,13208,8th St & Mission St   , ,37.77724,-122.413027, , 
3209,13209,8th St & Market St   , ,37.778498,-122.414597, , 
3214,13214,9th Ave & Judah St  , ,37.762093,-122.46608, , 
3215,13215,9th Ave & Judah St  , ,37.76204,-122.466241, , 
3216,13216,9th Ave & Kirkham St  , ,37.760407,-122.466149, , 
3217,13217,9th Ave & Kirkham St  , ,37.760237,-122.465954, , 
3218,13218,9th Ave & Lawton St  , ,37.758533,-122.466022, , 
3229,13229,9th St & Avenue H  , ,37.825196,-122.370063, , 
3235,13235,11th St & Bryant St   , ,37.769807,-122.4113, , 
3238,13238,11th St & Harrison St   , ,37.770691,-122.412526, , 
3239,13239,11th St & Harrison St   , ,37.770557,-122.412492, , 
3240,13240,11th St & Howard St   , ,37.77333,-122.41573, , 
3241,13241,11th St & Howard St   , ,37.77283,-122.41538, , 
3243,13243,11th St & Mission St   , ,37.774038,-122.416891, , 
3244,13244,11th St & Market St   , ,37.7755,-122.41852, , 
3245,13245,11th St & Market St   , ,37.775368,-122.418575, , 
3266,13266,15th Ave & Taraval St  , ,37.743124,-122.471297, , 
3267,13267,15th Ave & Taraval St  , ,37.743069,-122.471405, , 
3281,13281,16th St & Bryant St  , ,37.765658,-122.410294, , 
3282,13282,16th St & Bryant St  , ,37.765595,-122.410408, , 
3283,13283,16th St & Church St  , ,37.764579,-122.428523, , 
3284,13284,16th St & Dolores St  , ,37.764731,-122.426156, , 
3285,13285,16th St & Dolores St  , ,37.764575,-122.426579, , 
3286,13286,16th St & Guerrero St  , ,37.764853,-122.423959, , 
3287,13287,16th St & Guerrero St  , ,37.76472,-122.424256, , 
3288,13288,16th St & Harrison St  , ,37.765523,-122.412976, , 
3289,13289,16th St & Harrison St  , ,37.765377,-122.41329, , 
3291,13291,16th St & Mission St  , ,37.765152,-122.419611, , 
3293,13293,16th St & Mission St  , ,37.764983,-122.419835, , 
3295,13295,16th St & Potrero Ave  , ,37.7658,-122.407624, , 
3296,13296,16th St & Potrero Ave  , ,37.765764,-122.407612, , 
3297,13297,16th St & San Bruno Ave  , ,37.765861,-122.405515, , 
3299,13299,16th St & Shotwell St  , ,37.765218,-122.416048, , 
3300,13300,16th St & Valencia St  , ,37.764987,-122.421746, , 
3301,13301,16th St & Valencia St  , ,37.764849,-122.422056, , 
3302,13302,16th St & Vermont St  , ,37.766039,-122.40469, , 
3311,13311,17th St & Castro St  , ,37.762576,-122.434979, , 
3312,13312,17th St & De Haro St  , ,37.764904,-122.401451, , 
3313,13313,17th St & De Haro St  , ,37.764771,-122.401711, , 
3317,13317,17th St & Kansas St  , ,37.764727,-122.403544, , 
3321,13321,18th St & 3rd St  , ,37.762992,-122.388925, , 
3324,13324,18th St & Connecticut St  , ,37.76258,-122.397352, , 
3337,13337,18th St & Minnesota St  , ,37.762874,-122.390848, , 
3342,13342,18th St & Pennsylvania Ave  , ,37.762828,-122.393471, , 
3343,13343,18th St & Pennsylvania Ave  , ,37.762732,-122.39322, , 
3346,13346,18th St & Texas St  , ,37.762701,-122.395422, , 
3347,13347,18th St & Texas St  , ,37.762621,-122.39516, , 
3354,13354,19th Ave & Eucalyptus Dr  , ,37.731175,-122.474962, , 
3355,13355,19th Ave & Eucalyptus Dr  , ,37.73097,-122.47472, , 
3356,13356,19th Ave & Holloway Ave  , ,37.72111,-122.475302, , 
3357,13357,19TH AVE & Holloway Ave, ,37.72094,-122.475004, , 
3359,13359,19th Ave & Irving St  , ,37.76368,-122.47731, , 
3360,13360,19th Ave & Irving St  , ,37.76343,-122.47704, , 
3361,13361,19th Ave & Junipero Serra Blvd , ,37.716889,-122.472275, , 
3362,13362,19th Ave & Junipero Serra Blvd , ,37.71805,-122.47318, , 
3363,13363,19th Ave & Junipero Serra Blvd , ,37.717323,-122.47297, , 
3364,13364,19th Ave & Judah St  , ,37.7616,-122.476932, , 
3365,13365,19th Ave & Judah St  , ,37.7614,-122.47711, , 
3366,13366,19th Ave & Kirkham St  , ,37.76015,-122.47671, , 
3367,13367,19th Ave & Kirkham St  , ,37.75995,-122.47695, , 
3368,13368,19th Ave & Lawton St  , ,37.75786,-122.47654, , 
3369,13369,19th Ave & Lawton St  , ,37.757889,-122.476782, , 
3371,13371,19th Ave & Lincoln Way  , ,37.765375,-122.477404, , 
3372,13372,19th Ave & Moraga St  , ,37.75622,-122.47669, , 
3373,13373,19th Ave & Moraga St  , ,37.75599,-122.47642, , 
3374,13374,19th Ave & Noriega St  , ,37.75412,-122.47629, , 
3375,13375,19th Ave & Noriega St  , ,37.75392,-122.47653, , 
3376,13376,19th Ave & Randolph St  , ,37.7162,-122.47167, , 
3377,13377,19th Ave & Ocean Ave  , ,37.73279,-122.4751, , 
3378,13378,19th Ave & Ocean Ave  , ,37.73212,-122.4748, , 
3379,13379,19th Ave & Ortega St  , ,37.75272,-122.47619, , 
3380,13380,19th Ave & Ortega St  , ,37.75206,-122.4764, , 
