route_id,direction_id,direction
SFO-180,1,Counterclockwise
FCX-180,0,North
FCX-180,1,South
292-180,1,South
292-180,0,North
397-180,1,South
397-180,0,North
398-180,0,North
398-180,1,South
294-180,0,East
294-180,1,West
281-180,0,East
281-180,1,West
280-180,0,East
280-180,1,West
270-180,1,Counterclockwise
260-180,0,East
260-180,1,West
256-180,0,East
256-180,1,West
251-180,0,East
251-180,1,West
250-180,0,East
250-180,1,West
141-180,1,West
141-180,0,East
140-180,0,East
140-180,1,West
130-180,0,North
130-180,1,South
122-180,0,North
122-180,1,South
121-180,0,North
121-180,1,South
120-180,0,North
120-180,1,South
296-180,0,North
296-180,1,South
278-180,1,West
278-180,0,East
17-180,0,North
17-180,1,South
110-180,0,North
110-180,1,South
ECR-180,0,North
ECR-180,1,South
112-180,0,North
112-180,1,South
713-180,0,North
713-180,1,South
295-180,0,North
295-180,1,South
286-180,0,East
286-180,1,West
38-180,1,Outbound
38-180,0,Inbound
SFO-180,1,Counterclockwise
FCX-180,0,North
FCX-180,1,South
292-180,1,South
292-180,0,North
397-180,1,South
397-180,0,North
398-180,0,North
398-180,1,South
294-180,0,East
294-180,1,West
281-180,0,East
281-180,1,West
280-180,0,East
280-180,1,West
270-180,1,Counterclockwise
260-180,0,East
260-180,1,West
256-180,0,East
256-180,1,West
251-180,0,East
251-180,1,West
250-180,0,East
250-180,1,West
141-180,1,West
141-180,0,East
140-180,0,East
140-180,1,West
130-180,0,North
130-180,1,South
122-180,0,North
122-180,1,South
121-180,0,North
121-180,1,South
120-180,0,North
120-180,1,South
296-180,0,North
296-180,1,South
278-180,1,West
278-180,0,East
17-180,0,North
17-180,1,South
110-180,0,North
110-180,1,South
ECR-180,0,North
ECR-180,1,South
112-180,0,North
112-180,1,South
713-180,0,North
713-180,1,South
295-180,0,North
295-180,1,South
286-180,0,East
286-180,1,West
38-180,1,Outbound
38-180,0,Inbound
FLXP-180,0,Clockwise
FCX-180,0,North
FCX-180,1,South
292-180,1,South
292-180,0,North
397-180,1,South
397-180,0,North
398-180,0,North
398-180,1,South
294-180,0,East
294-180,1,West
281-180,0,East
281-180,1,West
280-180,0,East
280-180,1,West
270-180,1,Counterclockwise
260-180,0,East
260-180,1,West
256-180,0,East
256-180,1,West
251-180,0,East
251-180,1,West
250-180,0,East
250-180,1,West
141-180,1,West
141-180,0,East
140-180,0,East
140-180,1,West
130-180,0,North
130-180,1,South
122-180,0,North
122-180,1,South
121-180,0,North
121-180,1,South
120-180,0,North
120-180,1,South
296-180,0,North
296-180,1,South
278-180,1,West
278-180,0,East
110-180,0,North
110-180,1,South
ECR-180,0,North
ECR-180,1,South
112-180,0,North
112-180,1,South
713-180,0,North
713-180,1,South
295-180,0,North
295-180,1,South
286-180,0,East
286-180,1,West
38-180,1,Outbound
38-180,0,Inbound
17-180,0,North
17-180,1,South
SFO-180,1,Counterclockwise
FLXP-180,0,Clockwise
SFO-180,1,Counterclockwise
292-180,1,South
292-180,0,North
398-180,0,North
398-180,1,South
296-180,0,North
296-180,1,South
281-180,0,East
281-180,1,West
280-180,0,East
280-180,1,West
141-180,1,West
141-180,0,East
122-180,0,North
122-180,1,South
110-180,0,North
110-180,1,South
112-180,0,North
112-180,1,South
120-180,0,North
120-180,1,South
397-180,1,South
397-180,0,North
294-180,0,East
294-180,1,West
270-180,1,Counterclockwise
260-180,0,East
260-180,1,West
256-180,0,East
256-180,1,West
251-180,0,East
251-180,1,West
250-180,0,East
250-180,1,West
140-180,0,East
140-180,1,West
130-180,0,North
130-180,1,South
121-180,0,North
121-180,1,South
278-180,1,West
278-180,0,East
17-180,0,North
17-180,1,South
ECR-180,0,North
ECR-180,1,South
38-180,1,Outbound
38-180,0,Inbound
SFO-180,1,Counterclockwise
ECR-180,1,South
ECR-180,0,North
397-180,0,North
397-180,1,South
294-180,1,West
294-180,0,East
250-180,0,East
250-180,1,West
140-180,0,East
140-180,1,West
130-180,1,South
130-180,0,North
121-180,0,North
121-180,1,South
17-180,0,North
17-180,1,South
398-180,0,North
398-180,1,South
296-180,0,North
296-180,1,South
292-180,1,South
292-180,0,North
281-180,0,East
281-180,1,West
280-180,0,East
280-180,1,West
141-180,1,West
141-180,0,East
122-180,0,North
122-180,1,South
110-180,0,North
110-180,1,South
112-180,0,North
112-180,1,South
120-180,0,North
120-180,1,South
38-180,0,Inbound
38-180,1,Outbound
