trip_id,realtime_trip_id
10748989-132-Blocks-Weekday-50,7471001
10748991-132-Blocks-Weekday-50,7471003
10748993-132-Blocks-Weekday-50,7471005
10748995-132-Blocks-Weekday-50,7471007
10748997-132-Blocks-Weekday-50,7471009
10748999-132-Blocks-Weekday-50,7471011
10749000-132-Blocks-Weekday-50,7471013
10749001-132-Blocks-Weekday-50,7471015
10749003-132-Blocks-Weekday-50,7471017
10749005-132-Blocks-Weekday-50,7471019
10749008-132-Blocks-Weekday-50,7471021
10749010-132-Blocks-Weekday-50,7471023
10749013-132-Blocks-Weekday-50,7471025
10749015-132-Blocks-Weekday-50,7471027
10749016-132-Blocks-Weekday-50,7471029
10749018-132-Blocks-Weekday-50,7471031
10749019-132-Blocks-Weekday-50,7471033
10755725-132-Blocks-Weekday-50,4021004
10755735-132-Blocks-Weekday-50,4021001
10755738-132-Blocks-Weekday-50,4021002
10755750-132-Blocks-Weekday-50,4021003
10761461-132-Blocks-Weekday-50,2921025
10761462-132-Blocks-Weekday-50,2921028
10761463-132-Blocks-Weekday-50,2921027
10761464-132-Blocks-Weekday-50,2921030
10761465-132-Blocks-Weekday-50,2921029
10761466-132-Blocks-Weekday-50,2921032
10761467-132-Blocks-Weekday-50,2921031
10761468-132-Blocks-Weekday-50,2921034
10761469-132-Blocks-Weekday-50,2921033
10761470-132-Blocks-Weekday-50,2921036
10761471-132-Blocks-Weekday-50,2921035
10761472-132-Blocks-Weekday-50,2921038
10761473-132-Blocks-Weekday-50,2921037
10761474-132-Blocks-Weekday-50,2921040
10761475-132-Blocks-Weekday-50,2921039
10761476-132-Blocks-Weekday-50,2921042
10761477-132-Blocks-Weekday-50,2921041
10761478-132-Blocks-Weekday-50,2921044
10761479-132-Blocks-Weekday-50,2921002
10761480-132-Blocks-Weekday-50,2921001
10761481-132-Blocks-Weekday-50,2921004
10761482-132-Blocks-Weekday-50,2921003
10761483-132-Blocks-Weekday-50,2921006
10761484-132-Blocks-Weekday-50,2921005
10761485-132-Blocks-Weekday-50,2921008
10761486-132-Blocks-Weekday-50,2921007
10761487-132-Blocks-Weekday-50,2921010
10761488-132-Blocks-Weekday-50,2921009
10761489-132-Blocks-Weekday-50,2921012
10761490-132-Blocks-Weekday-50,2921011
10761491-132-Blocks-Weekday-50,2921014
10761492-132-Blocks-Weekday-50,2921026
10761493-132-Blocks-Weekday-50,2921013
10761494-132-Blocks-Weekday-50,2921016
10761495-132-Blocks-Weekday-50,2921015
10761496-132-Blocks-Weekday-50,2921018
10761497-132-Blocks-Weekday-50,2921017
10761498-132-Blocks-Weekday-50,2921020
10761499-132-Blocks-Weekday-50,2921019
10761500-132-Blocks-Weekday-50,2921022
10761501-132-Blocks-Weekday-50,2921021
10761502-132-Blocks-Weekday-50,2921024
10761503-132-Blocks-Weekday-50,2921023
10761523-132-Blocks-Weekday-50,3971003
10761524-132-Blocks-Weekday-50,3971002
