shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
170508,37.595579,-122.502939,10001
170508,37.595632,-122.503015,10002
170508,37.595662,-122.503091,10003
170508,37.595655,-122.503166,10004
170508,37.595614,-122.503248,10005
170508,37.595944,-122.503710,10006
170508,37.596009,-122.503841,10007
170508,37.595888,-122.503965,10008
170508,37.595576,-122.504286,10009
170508,37.595470,-122.504316,10010
170508,37.594865,-122.504941,10011
170508,37.594699,-122.505126,10012
170508,37.594487,-122.505359,10013
170508,37.594305,-122.505530,10014
170508,37.594196,-122.505618,10015
170508,37.594075,-122.505695,10016
170508,37.593964,-122.505753,10017
170508,37.593841,-122.505811,10018
170508,37.593617,-122.505869,10019
170508,37.593504,-122.505879,10020
170508,37.593297,-122.505865,10021
170508,37.593202,-122.505851,10022
170508,37.593037,-122.505791,10023
170508,37.592875,-122.505727,10024
170508,37.592682,-122.505597,10025
170508,37.592474,-122.505424,10026
170508,37.591395,-122.504376,10027
170508,37.591031,-122.504100,10028
170508,37.590916,-122.504006,10029
170508,37.590815,-122.503948,10030
170508,37.590663,-122.503883,10031
170508,37.590604,-122.503864,10032
170508,37.590453,-122.503824,10033
170508,37.590350,-122.503831,10034
170508,37.590229,-122.503851,10035
170508,37.590085,-122.503892,10036
170508,37.589953,-122.503956,10037
170508,37.589840,-122.504029,10038
170508,37.589647,-122.504208,10039
170508,37.589502,-122.504376,10040
170508,37.589135,-122.504810,10041
170508,37.588808,-122.505180,10042
170508,37.588704,-122.505270,10043
170508,37.588610,-122.505338,10044
170508,37.588499,-122.505393,10045
170508,37.588388,-122.505426,10046
170508,37.588268,-122.505444,10047
170508,37.588101,-122.505436,10048
170508,37.587987,-122.505401,10049
170508,37.587932,-122.505377,10050
170508,37.587833,-122.505313,10051
170508,37.587774,-122.505263,10052
170508,37.587536,-122.505023,10053
170508,37.587400,-122.504914,10054
170508,37.587283,-122.504781,10055
170508,37.586765,-122.504388,10056
170508,37.586712,-122.504352,10057
170508,37.586574,-122.504290,10058
170508,37.586352,-122.504272,10059
170508,37.586173,-122.504294,10060
170508,37.586038,-122.504331,10061
170508,37.585827,-122.504421,10062
170508,37.585754,-122.504473,10063
