stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
311010,311010,"Terra Nova Blvd & Alicante Dr",,  37.585609,-122.476654,1,,0,
311013,311013,"Bradford Way & Fairway Dr",,  37.621694,-122.485818,1,,0,
311019,311019,"Clarendon Rd & Francisco Blvd",,  37.629827,-122.489951,1,,0,
311020,311020,"Clarendon Rd & Francisco Blvd",,  37.629935,-122.490219,1,,0,
311025,311025,"Crespi Dr & De Solo Dr",,  37.595272,-122.497519,1,,0,
311026,311026,"Crespi Dr & Seville Dr",,  37.593491,-122.492214,1,,0,
311029,311029,"Crespi Dr & Fassler Ave",,  37.598728,-122.482538,1,,0,
311030,311030,"Crespi Dr & Hwy 1",,  37.598951,-122.499371,1,,0,
311034,311034,"Crespi Dr & Lerida Way",,  37.594293,-122.480849,1,,0,
311035,311035,"Crespi Dr & Manzanita Dr",,  37.589688,-122.484194,1,,0,
311038,311038,"Crespi Dr & Peralta Rd",,  37.593324,-122.496091,1,,0,
311039,311039,"Crespi Dr & Regina Way",,  37.593406,-122.488870,1,,0,
311040,311040,"Crespi Dr & Roberts Rd",,  37.598040,-122.498012,1,,0,
311042,311042,"Crespi Dr & Tapis Way",,  37.589759,-122.488455,1,,0,
311043,311043,"De Solo Dr & Anza Dr",,  37.595982,-122.498681,1,,0,
311049,311049,"Francisco Blvd & Lakeside Ave",,  37.628538,-122.489777,1,,0,
311050,311050,"Gateway Dr & Eastridge Cir",,  37.664568,-122.482055,1,,0,
311051,311051,"Gateway Dr & Eastridge Cir",,  37.664629,-122.482516,1,,0,
311052,311052,"Gateway Dr & Hickey Blvd",,  37.660276,-122.478764,1,,0,
311053,311053,"Gateway Dr & Hickey Blvd",,  37.660598,-122.478832,1,,0,
311054,311054,"Gateway Dr & Skyline Dr",,  37.665769,-122.485931,1,,0,
311055,311055,"Gateway Dr & Springdale Dr",,  37.663181,-122.479520,1,,0,
311056,311056,"Gateway Dr & Springdale Dr",,  37.662976,-122.479581,1,,0,
311060,311060,"Glencourt Way & Inverness Dr",,  37.648432,-122.474911,1,,0,
311062,311062,"Hickey Blvd & Catalina Ave",,  37.653929,-122.480670,1,,0,
311063,311063,"Hickey Blvd & Catalina Ave",,  37.654096,-122.480784,1,,0,
311064,311064,"Hickey Blvd & Firecrest Ave",,  37.657405,-122.478883,1,,0,
311067,311067,"Hickey Blvd & Gateway Dr",,  37.659331,-122.478147,1,,0,
311068,311068,"Hickey Blvd & Gateway Dr",,  37.659939,-122.477901,1,,0,
311069,311069,"Hickey Blvd & Inverness Dr",,  37.655155,-122.478923,1,,0,
311072,311072,"Hickey Blvd & Parkview Cir",,  37.656789,-122.479046,1,,0,
311074,311074,"Hwy 1 & Crespi Dr",,  37.599209,-122.500147,1,,0,
311078,311078,"Hwy 1 & Fassler Ave",,  37.608866,-122.494765,1,,0,
311081,311081,"Hwy 1 & Reina Del Mar Ave",,  37.614154,-122.486501,1,,0,
311082,311082,"Hwy 1 & Reina Del Mar Ave",,  37.613675,-122.487606,1,,0,
311085,311085,"Hwy 1 & Rockaway Beach Ave",,  37.608310,-122.496235,1,,0,
311087,311087,"Hwy 1 & Westport Dr",,  37.620861,-122.484829,1,,0,
311088,311088,"Hwy 1 & Westport Dr",,  37.620447,-122.485282,1,,0,
311089,311089,"Inverness Dr & Foothill Dr",,  37.652040,-122.478171,1,,0,
311090,311090,"Inverness Dr & Foothill Dr",,  37.652117,-122.478058,1,,0,
311093,311093,"Inverness Dr & Glencourt Way",,  37.648244,-122.475101,1,,0,
311095,311095,"Inverness Dr & Heathcliff Dr",,  37.651087,-122.477508,1,,0,
311096,311096,"Inverness Dr & Heathcliff Dr",,  37.651153,-122.477332,1,,0,
311099,311099,"Inverness Dr & Horizon Way",,  37.653907,-122.479200,1,,0,
311106,311106,"Linda Mar Park N Ride",,  37.595585,-122.502932,1,,0,
311112,311112,"Lundy Way & Ridgeway Dr",,  37.621728,-122.484298,1,,0,
311113,311113,"Manor Dr & Skyline Blvd",,  37.645945,-122.471708,1,,0,
311115,311115,"Monterey Rd & Beaumont Blvd",,  37.651201,-122.483763,1,,0,
311116,311116,"Monterey Rd & Beaumont Blvd",,  37.651043,-122.483479,1,,0,
311117,311117,"Monterey Rd & Waterford St",,  37.651685,-122.488842,1,,0,
311118,311118,"Monterey Rd & Waterford St",,  37.651803,-122.488979,1,,0,
311119,311119,"Oceana Blvd & Brighton Rd",,  37.630466,-122.488969,1,,0,
311120,311120,"Oceana Blvd & Clarendon Rd",,  37.630123,-122.489105,1,,0,
311121,311121,"Oceana Blvd & Eureka Sq",,  37.634078,-122.489363,1,,0,
311122,311122,"Oceana Blvd & Eureka Sq",,  37.634338,-122.489237,1,,0,
311123,311123,"904 Oceana Blvd-Good Shepherd School",,  37.641356,-122.490672,1,,0,
311124,311124,"903 Oceana Blvd-Good Shepherd School",,  37.641910,-122.490790,1,,0,
311126,311126,"Oceana Blvd & Manor Dr",,  37.648947,-122.490504,1,,0,
311127,311127,"Oceana Blvd & Milagra Dr",,  37.645975,-122.491054,1,,0,
311128,311128,"Oceana Blvd & Milagra Dr",,  37.646991,-122.490958,1,,0,
311132,311132,"Oceana Blvd & Pacific Manor School Rear Entrance",,  37.650369,-122.490358,1,,0,
311133,311133,"Oceana Blvd & Pacific Manor School Rear Entrance",,  37.650746,-122.490156,1,,0,
311134,311134,"Oceana Blvd & Paloma Ave",,  37.636889,-122.489257,1,,0,
311135,311135,"Oceana Blvd & Paloma Ave",,  37.636720,-122.489429,1,,0,
311142,311142,"Oddstad Blvd & Terra Nova Blvd",,  37.582905,-122.474648,1,,0,
311145,311145,"95 Palmetto Ave",,  37.653953,-122.490951,1,,0,
311146,311146,"Palmetto Ave & Bella Vista Ave",,  37.637103,-122.492322,1,,0,
311147,311147,"Palmetto Ave & Brighton Rd",,  37.630489,-122.492478,1,,0,
311148,311148,"Palmetto Ave & Clarendon Rd",,  37.630116,-122.492677,1,,0,
311149,311149,"Palmetto Ave & Esplanade Ave",,  37.654638,-122.491459,1,,0,
311150,311150,"Palmetto Ave & Manor Dr",,  37.649897,-122.491070,1,,0,
311151,311151,"Palmetto Ave & Manor Dr",,  37.648955,-122.491141,1,,0,
311152,311152,"Palmetto Ave & Montecito Ave",,  37.632984,-122.492205,1,,0,
311153,311153,"Palmetto Ave & Montecito Ave",,  37.632495,-122.492630,1,,0,
311154,311154,"Palmetto Ave & Monterey Rd",,  37.652384,-122.490786,1,,0,
311155,311155,"Palmetto Ave & Monterey Rd",,  37.652209,-122.490916,1,,0,
311157,311157,"Palmetto Ave & Paradise Dr",,  37.660515,-122.489483,1,,0,
311158,311158,"Palmetto Ave & Hwy 1 Onramp-SF RV Resort",,  37.645991,-122.492018,1,,0,
311159,311159,"700 Palmetto Ave-SF RV Resort",,  37.646097,-122.492229,1,,0,
311160,311160,"Palmetto Ave & Santa Maria Ave",,  37.635497,-122.492003,1,,0,
311161,311161,"Palmetto Ave & Santa Maria Ave",,  37.635156,-122.492141,1,,0,
311163,311163,"Westport Dr & Hwy 1",,  37.620597,-122.485479,1,,0,
311164,311164,"Palmetto Ave & Westline Dr",,  37.660865,-122.491733,1,,0,
311182,311182,"Skyline Blvd & Glencourt Way",,  37.648825,-122.472054,1,,0,
311184,311184,"Skyline Blvd & Manor Dr",,  37.645892,-122.470858,1,,0,
311191,311191,"1450 Terra Nova Blvd.",,  37.593872,-122.476132,1,,0,
311193,311193,"Terra Nova Blvd & Mason Dr",,  37.596010,-122.479583,1,,0,
311194,311194,"Terra Nova Blvd & Miranda Ct",,  37.597602,-122.481531,1,,0,
311196,311196,"Terra Nova Blvd & Oddstad Blvd",,  37.583847,-122.474912,1,,0,
311197,311197,"West Manor Dr & Palmetto Ave",,  37.649393,-122.491492,1,,0,
311199,311199,"Westport Dr & Lundy Way",,  37.620582,-122.484582,1,,0,
311302,311302,"Terra Nova Blvd & Lerida Way",,  37.587627,-122.477459,1,,0,
311420,311420,"Gateway Dr & Skyline Dr",,  37.665623,-122.485382,1,,0,
311506,311506,"Palmetto Ave & Shoreview Ave",,  37.640160,-122.492583,1,,0,
311510,311510,"Linda Mar Blvd & Madeira Dr",,  37.582148,-122.479467,1,,0,
311609,311609,"Palmetto Ave & Shell St",,  37.639268,-122.492397,1,,0,
311613,311613,"Linda Mar Blvd & Capistrano Dr",,  37.582598,-122.483315,1,,0,
311615,311615,"Linda Mar Blvd & Peralta Rd",,  37.591180,-122.497013,1,,0,
311616,311616,"Linda Mar Blvd & Alicante Dr",,  37.584162,-122.486210,1,,0,
311617,311617,"Linda Mar Blvd & Seville Dr",,  37.588464,-122.493991,1,,0,
311619,311619,"Devil's Slide Tunnel Stop",,  37.570210,-122.515648,1,,0,
311620,311620,"Devil's Slide Tunnel Stop",,  37.569983,-122.515805,1,,0,
312002,312002,"2nd St & Main St",,  37.545439,-122.513636,1,,0,
312004,312004,"Hwy 1 & 14th St",,  37.537453,-122.517388,1,,0,
312005,312005,"Hwy 1 & 16th St",,  37.535555,-122.517960,1,,0,
312006,312006,"Main St & 4th St",,  37.543749,-122.514103,1,,0,
312007,312007,"Main St & 4th St",,  37.544011,-122.513807,1,,0,
312008,312008,"Main St & 7th St",,  37.541945,-122.515420,1,,0,
312009,312009,"Main St & 7th St",,  37.542241,-122.515007,1,,0,
312011,312011,"Harte St & Date St",,  37.538289,-122.504862,1,,0,
312012,312012,"Crescent St & Sunshine Valley Rd",,  37.537169,-122.500355,1,,0,
312013,312013,"1619 Sunshine Valley Rd",,  37.532276,-122.503600,1,,0,
312014,312014,"Sunshine Valley Rd & Hawthorne St",,  37.535843,-122.500780,1,,0,
312018,312018,"Sunshine Valley Rd & Harte St",,  37.537452,-122.500317,1,,0,
312021,312021,"Harte St & Date St",,  37.538100,-122.504822,1,,0,
312022,312022,"Sunshine Valley Rd & Hawthorne St",,  37.535997,-122.500768,1,,0,
312023,312023,"1604 Sunshine Valley Rd",,  37.532379,-122.503665,1,,0,
312024,312024,"6th St & Le Conte Ave",,  37.540410,-122.509680,1,,0,
312025,312025,"6th St & Le Conte Ave.",,  37.540450,-122.509730,1,,0,
312026,312026,"6th St & Audubon Ave.",,  37.539567,-122.507903,1,,0,
312027,312027,"6th St & Audubon Ave",,  37.539497,-122.507580,1,,0,
313001,313001,"Airport St & La Granada Ln-Mobile Home Park",,  37.509370,-122.498098,1,,0,
313002,313002,"Etheldore St & California Ave",,  37.528466,-122.512891,1,,0,
313003,313003,"Etheldore St & California Ave",,  37.528455,-122.512654,1,,0,
313004,313004,"Etheldore St & Vermont Ave",,  37.527691,-122.511389,1,,0,
313005,313005,"Etheldore St & Marine Blvd",,  37.525073,-122.508628,1,,0,
313006,313006,"Marine Blvd & Etheldore St",,  37.524974,-122.508646,1,,0,
313007,313007,"Etheldore St & Sunshine Valley Rd",,  37.527541,-122.510890,1,,0,
313011,313011,"Airport St & La Granada Ln-Mobile Home Park",,  37.509622,-122.498204,1,,0,
313604,313604,"Seton Coastside Med Ctr",,  37.526519,-122.507641,1,,0,
313605,313605,"Sunshine Valley Rd & Etheldore St",,  37.527489,-122.510738,1,,0,
313606,313606,"Etheldore St & Sunshine Valley Rd",,  37.527291,-122.510730,1,,0,
313607,313607,"Cypress Ave & Hwy 1",,  37.524148,-122.510597,1,,0,
313608,313608,"Cypress Ave & Hwy 1",,  37.523727,-122.510935,1,,0,
313609,313609,"Airport St & Harvard Ave",,  37.504337,-122.491840,1,,0,
313610,313610,"Airport St & Harvard Ave",,  37.504177,-122.491853,1,,0,
314001,314001,"Ave Alhambra & The Alameda",,  37.503520,-122.474582,1,,0,
314002,314002,"Ave Alhambra & Vallejo St-Carmel Ave",,  37.505533,-122.480407,1,,0,
314003,314003,"Ave Alhambra & Coronado St-San Luis Ave",,  37.503369,-122.473562,1,,0,
314004,314004,"Ave Alhambra & Francisco St-Sonora Ave",,  37.504227,-122.476858,1,,0,
314005,314005,"Ave Alhambra & Sonora Ave-Francisco St",,  37.504167,-122.477026,1,,0,
314006,314006,"Ave Alhambra & Vallejo St",,  37.505089,-122.480079,1,,0,
314009,314009,"Plaza Alhambra & Ave Portola",,  37.502396,-122.469338,1,,0,
314010,314010,"Plaza Alhambra & Ave Portola",,  37.502656,-122.469620,1,,0,
314011,314011,"Plaza Alhambra & Coronado St",,  37.500674,-122.467325,1,,0,
314012,314012,"Plaza Alhambra & Coronado St",,  37.500704,-122.467128,1,,0,
314013,314013,"Hwy 1 & Medio Ave",,  37.495848,-122.457500,1,,0,
