route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
SFO-180,132-Blocks-Weekday-50,10748989-132-Blocks-Weekday-50,"Millbrae Caltrain",7471001,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10748991-132-Blocks-Weekday-50,"Millbrae Caltrain",7471003,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10748993-132-Blocks-Weekday-50,"Millbrae Caltrain",7471005,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10748995-132-Blocks-Weekday-50,"Millbrae Caltrain",7471007,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10748997-132-Blocks-Weekday-50,"Millbrae Caltrain",7471009,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10748999-132-Blocks-Weekday-50,"Millbrae Caltrain",7471011,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749000-132-Blocks-Weekday-50,"Millbrae Caltrain",7471013,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749001-132-Blocks-Weekday-50,"Millbrae Caltrain",7471015,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749003-132-Blocks-Weekday-50,"Millbrae Caltrain",7471017,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749005-132-Blocks-Weekday-50,"Millbrae Caltrain",7471019,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749008-132-Blocks-Weekday-50,"Millbrae Caltrain",7471021,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749010-132-Blocks-Weekday-50,"Millbrae Caltrain",7471023,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749013-132-Blocks-Weekday-50,"Millbrae Caltrain",7471025,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749015-132-Blocks-Weekday-50,"Millbrae Caltrain",7471027,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749016-132-Blocks-Weekday-50,"Millbrae Caltrain",7471029,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749018-132-Blocks-Weekday-50,"Millbrae Caltrain",7471031,1,,SFO0014
SFO-180,132-Blocks-Weekday-50,10749019-132-Blocks-Weekday-50,"Millbrae Caltrain",7471033,1,,SFO0014
FCX-180,132-Blocks-Weekday-50,10755725-132-Blocks-Weekday-50,"San Francisco",4021004,0,,FCX0030
FCX-180,132-Blocks-Weekday-50,10755735-132-Blocks-Weekday-50,"Foster City",4021001,1,,FCX0032
FCX-180,132-Blocks-Weekday-50,10755738-132-Blocks-Weekday-50,"San Francisco",4021002,0,,FCX0030
FCX-180,132-Blocks-Weekday-50,10755750-132-Blocks-Weekday-50,"Foster City",4021003,1,,FCX0032
292-180,132-Blocks-Weekday-50,10761461-132-Blocks-Weekday-50,"Hillsdale Mall",2921025,1,,2921169
292-180,132-Blocks-Weekday-50,10761462-132-Blocks-Weekday-50,"San Francisco",2921028,0,,2921168
292-180,132-Blocks-Weekday-50,10761463-132-Blocks-Weekday-50,"Hillsdale Mall",2921027,1,,2921169
292-180,132-Blocks-Weekday-50,10761464-132-Blocks-Weekday-50,"San Francisco",2921030,0,,2921168
292-180,132-Blocks-Weekday-50,10761465-132-Blocks-Weekday-50,"Hillsdale Mall",2921029,1,,2921169
292-180,132-Blocks-Weekday-50,10761466-132-Blocks-Weekday-50,"San Francisco",2921032,0,,2921168
292-180,132-Blocks-Weekday-50,10761467-132-Blocks-Weekday-50,"Hillsdale Mall",2921031,1,,2921169
292-180,132-Blocks-Weekday-50,10761468-132-Blocks-Weekday-50,"San Francisco",2921034,0,,2921168
292-180,132-Blocks-Weekday-50,10761469-132-Blocks-Weekday-50,"Hillsdale Mall",2921033,1,,2921169
292-180,132-Blocks-Weekday-50,10761470-132-Blocks-Weekday-50,"San Francisco",2921036,0,,2921168
292-180,132-Blocks-Weekday-50,10761471-132-Blocks-Weekday-50,"Hillsdale Mall",2921035,1,,2921169
292-180,132-Blocks-Weekday-50,10761472-132-Blocks-Weekday-50,"San Francisco",2921038,0,,2921168
292-180,132-Blocks-Weekday-50,10761473-132-Blocks-Weekday-50,"Hillsdale Mall",2921037,1,,2921169
292-180,132-Blocks-Weekday-50,10761474-132-Blocks-Weekday-50,"San Francisco",2921040,0,,2921168
292-180,132-Blocks-Weekday-50,10761475-132-Blocks-Weekday-50,"Hillsdale Mall",2921039,1,,2921169
292-180,132-Blocks-Weekday-50,10761476-132-Blocks-Weekday-50,"San Francisco",2921042,0,,2921168
292-180,132-Blocks-Weekday-50,10761477-132-Blocks-Weekday-50,"Hillsdale Mall",2921041,1,,2921169
292-180,132-Blocks-Weekday-50,10761478-132-Blocks-Weekday-50,"San Francisco",2921044,0,,2921168
292-180,132-Blocks-Weekday-50,10761479-132-Blocks-Weekday-50,"San Francisco",2921002,0,,2921168
292-180,132-Blocks-Weekday-50,10761480-132-Blocks-Weekday-50,"Hillsdale Mall",2921001,1,,2921169
292-180,132-Blocks-Weekday-50,10761481-132-Blocks-Weekday-50,"San Francisco",2921004,0,,2921168
